Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Zamora;Abezames;;W5.43;N41.64;12;
2;ESP;Zamora;Alcañices;;W6.36;N41.69;12;
2;ESP;Zamora;Alcubilla de Nogales;;W5.91;N42.13;12;
2;ESP;Zamora;Alfaraz de Sayago;;W5.96;N41.22;12;
2;ESP;Zamora;Algodre;;W5.60;N41.57;12;
2;ESP;Zamora;Almaraz de Duero;;W5.90;N41.49;12;
2;ESP;Zamora;Almeida de Sayago;;W6.04;N41.26;12;
2;ESP;Zamora;Andavías;;W5.85;N41.59;12;
2;ESP;Zamora;Arcenillas;;W5.70;N41.47;12;
2;ESP;Zamora;Arcos de la Polvorosa;;W5.71;N41.94;12;
2;ESP;Zamora;Argañín;;W6.21;N41.44;12;
2;ESP;Zamora;Argujillo;;W5.59;N41.30;12;
2;ESP;Zamora;Arquillinos;;W5.64;N41.71;12;
2;ESP;Zamora;Arrabalde;;W5.90;N42.12;12;
2;ESP;Zamora;Aspariegos;;W5.59;N41.67;12;
2;ESP;Zamora;Asturianos;;W6.48;N42.05;12;
2;ESP;Zamora;Ayoó de Vidriales;;W6.08;N42.13;12;
2;ESP;Zamora;Barcial del Barco;;W5.65;N41.93;12;
2;ESP;Zamora;Belver de los Montes;;W5.45;N41.72;12;
2;ESP;Zamora;Benavente;;W5.68;N42.01;12;
2;ESP;Zamora;Benegiles;;W5.61;N41.63;12;
2;ESP;Zamora;Bermillo de Sayago;;W6.07;N41.37;12;
2;ESP;Zamora;La Bóveda de Toro;;W5.40;N41.33;12;
2;ESP;Zamora;Bretó;;W5.75;N41.87;12;
2;ESP;Zamora;Bretocino;;W5.77;N41.88;12;
2;ESP;Zamora;Brime de Sog;;W6.05;N42.06;12;
2;ESP;Zamora;Brime de Urz;;W5.87;N42.04;12;
2;ESP;Zamora;Burganes de Valverde;;W5.78;N41.92;12;
2;ESP;Zamora;Bustillo del Oro;;W5.45;N41.68;12;
2;ESP;Zamora;Cabañas de Sayago;;W5.81;N41.32;12;
2;ESP;Zamora;Calzadilla de Tera;;W6.10;N41.97;12;
2;ESP;Zamora;Camarzana de Tera;;W6.00;N42.01;12;
2;ESP;Zamora;Cañizal;;W5.37;N41.17;12;
2;ESP;Zamora;Cañizo;;W5.51;N41.75;12;
2;ESP;Zamora;Carbajales de Alba;;W5.99;N41.64;12;
2;ESP;Zamora;Carbellino;;W6.14;N41.23;12;
2;ESP;Zamora;Casaseca de Campeán;;W5.76;N41.37;12;
2;ESP;Zamora;Casaseca de las Chanas;;W5.67;N41.43;12;
2;ESP;Zamora;Castrillo de la Guareña;;W5.32;N41.23;12;
2;ESP;Zamora;Castrogonzalo;;W5.60;N41.99;12;
2;ESP;Zamora;Castronuevo;;W5.55;N41.72;12;
2;ESP;Zamora;Castroverde de Campos;;W5.35;N41.99;12;
2;ESP;Zamora;Cazurra;;W5.70;N41.41;12;
2;ESP;Zamora;Cerecinos de Campos;;W5.48;N41.90;12;
2;ESP;Zamora;Cerecinos del Carrizal;;W5.66;N41.68;12;
2;ESP;Zamora;Cernadilla;;W6.41;N42.01;12;
2;ESP;Zamora;Cobreros;;W6.68;N42.07;12;
2;ESP;Zamora;Coomonte;;W5.82;N42.11;12;
2;ESP;Zamora;Coreses;;W5.61;N41.54;12;
2;ESP;Zamora;Corrales;;W5.72;N41.32;12;
2;ESP;Zamora;Cotanes del Monte;;W5.31;N41.81;12;
2;ESP;Zamora;Cubillos;;W5.75;N41.58;12;
2;ESP;Zamora;Cubo de Benavente;;W6.16;N42.13;12;
2;ESP;Zamora;El Cubo de Tierra del Vino;;W5.71;N41.25;12;
2;ESP;Zamora;Cuelgamures;;W5.66;N41.30;12;
2;ESP;Zamora;Entrala;;W5.76;N41.44;12;
2;ESP;Zamora;Espadañedo;;W6.42;N42.14;12;
2;ESP;Zamora;Faramontanos de Tábara;;W5.86;N41.86;12;
2;ESP;Zamora;Fariza;;W6.26;N41.42;12;
2;ESP;Zamora;Fermoselle;;W6.40;N41.31;12;
2;ESP;Zamora;Ferreras de Abajo;;W6.06;N41.91;12;
2;ESP;Zamora;Ferreras de Arriba;;W6.21;N41.92;12;
2;ESP;Zamora;Ferreruela;;W6.04;N41.79;12;
2;ESP;Zamora;Figueruela de Arriba;;W6.46;N41.86;12;
2;ESP;Zamora;Fonfría;;W1.09;N40.99;12;
2;ESP;Zamora;Fresno de la Polvorosa;;W5.77;N42.09;12;
2;ESP;Zamora;Fresno de la Ribera;;W5.56;N41.55;12;
2;ESP;Zamora;Fresno de Sayago;;W5.98;N41.32;12;
2;ESP;Zamora;Friera de Valverde;;W5.86;N41.90;12;
2;ESP;Zamora;Fuente Encalada;;W6.00;N42.12;12;
2;ESP;Zamora;Fuentelapeña;;W5.39;N41.25;12;
2;ESP;Zamora;Fuentes de Ropel;;W5.57;N42.02;12;
2;ESP;Zamora;Fuentesaúco;;W5.50;N41.24;12;
