Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
2;ESP;Zaragoza;Abanto;;W1.68;N41.13;12;
2;ESP;Zaragoza;Acered;;W1.60;N41.16;12;
2;ESP;Zaragoza;Agón;;W1.44;N41.85;12;
2;ESP;Zaragoza;Aguarón;;W1.30;N41.33;12;
2;ESP;Zaragoza;Aguilón;;W1.03;N41.29;12;
2;ESP;Zaragoza;Ainzón;;W1.52;N41.79;12;
2;ESP;Zaragoza;Aladrén;;W1.15;N41.24;12;
2;ESP;Zaragoza;Alagón;;W1.12;N41.77;12;
2;ESP;Zaragoza;Alarba;;W1.61;N41.21;12;
2;ESP;Zaragoza;Alberite de San Juan;;W1.46;N41.81;12;
2;ESP;Zaragoza;Albeta;;W1.50;N41.83;12;
2;ESP;Zaragoza;Alborge;;W0.35;N41.34;12;
2;ESP;Zaragoza;Alcalá de Ebro;;W1.19;N41.82;12;
2;ESP;Zaragoza;Alcalá de Moncayo;;W1.69;N41.80;12;
2;ESP;Zaragoza;Alconchel de Ariza;;W2.09;N41.22;12;
2;ESP;Zaragoza;Aldehuela de Liestos;;W1.72;N41.06;12;
2;ESP;Zaragoza;Alfajarín;;W0.68;N41.62;12;
2;ESP;Zaragoza;Alfamén;;W1.21;N41.46;12;
2;ESP;Zaragoza;Alforque;;W0.39;N41.35;12;
2;ESP;Zaragoza;Alhama de Aragón;;W1.90;N41.30;12;
2;ESP;Zaragoza;Almochuel;;W0.56;N41.30;12;
2;ESP;Zaragoza;La Almolda;;W0.24;N41.54;12;
2;ESP;Zaragoza;Almonacid de la Cuba;;W0.79;N41.28;12;
2;ESP;Zaragoza;Almonacid de la Sierra;;W1.33;N41.41;12;
2;ESP;Zaragoza;La Almunia de Doña Godina;;W1.37;N41.48;12;
2;ESP;Zaragoza;Alpartir;;W1.38;N41.40;12;
2;ESP;Zaragoza;Ambel;;W1.62;N41.77;12;
2;ESP;Zaragoza;Anento;;W1.33;N41.07;12;
2;ESP;Zaragoza;Aniñón;;W1.71;N41.47;12;
2;ESP;Zaragoza;Añón de Moncayo;;W1.75;N41.77;12;
2;ESP;Zaragoza;Aranda de Moncayo;;W1.79;N41.60;12;
2;ESP;Zaragoza;Arándiga;;W1.50;N41.51;12;
2;ESP;Zaragoza;Ardisa;;W0.78;N42.19;12;
2;ESP;Zaragoza;Ariza;;W2.04;N41.31;12;
2;ESP;Zaragoza;Artieda;;W0.99;N42.59;12;
