Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
1;ESP;Álava;;;W2.6;N42.9;8;
1;ESP;Albacete;;;W2.0;N38.8;7;
1;ESP;Alicante;;;W0.7;N38.4;8;
1;ESP;Almería;;;W2.3;N37.0;8;
1;ESP;Ávila;;;W5;N40.7;8;
1;ESP;Badajoz;;;W6.1;N38.7;6;
1;ESP;Islas Baleares;;;E3.0;N39.6;7;
1;ESP;Barcelona;;;W2.0;N41.7;7;
1;ESP;Burgos;;;W3.7;N42.3;7;
1;ESP;Cáceres;;;W6.0;N39.7;7;
1;ESP;Cádiz;;;W5.8;N36.5;7;
1;ESP;Castellón;;;W0.2;N40.2;7;
1;ESP;Ciudad Real;;;W4.0;N39.0;7;
1;ESP;Córdoba;;;W4.8;N38.0;7;
1;ESP;A Coruña;;;W8.4;N43.1;7;
1;ESP;Cuenca;;;W2.0;N40.0;7;
1;ESP;Girona;;;E2.8;N42.0;7;
1;ESP;Granada;;;W3.4;N37.2;8;
1;ESP;Guadalajara;;;W2.5;N40.8;7;
1;ESP;Guipúzcoa;;;W2.2;N43.2;7;
1;ESP;Huelva;;;W7.0;N37.7;7;
1;ESP;Huesca;;;W0.2;N42.2;7;
1;ESP;Jaén;;;W3.5;N38.0;7;
1;ESP;León;;;W6.0;N42.7;7;
1;ESP;Lleida;;;E0.6;N41.6;7;
1;ESP;La Rioja;;;W2.5;N42.3;7;
1;ESP;Lugo;;;W7.5;N43.0;7;
1;ESP;Madrid;;;W3.7;N40.4;7;
1;ESP;Málaga;;;W4.8;N36.8;7;
1;ESP;Murcia;;;W1.5;N38.0;7;
1;ESP;Navarra;;;W1.7;N42.8;7;
1;ESP;Ourense;;;W7.5;N42.2;7;
1;ESP;Asturias;;;W5.9;N43.3;8;
1;ESP;Palencia;;;W4.5;N42.4;7;
1;ESP;Las Palmas;;;W14.3;N28.3;7;
1;ESP;Pontevedra;;;W8.5;N42.5;7;
1;ESP;Salamanca;;;W6.0;N40.8;7;
1;ESP;Santa Cruz de Tenerife;;;W17.3;N28.2;7;
1;ESP;Cantabria;;;W4.1;N43.3;7;
1;ESP;Segovia;;;W4.0;N41.2;7;
1;ESP;Sevilla;;;W5.5;N37.5;8;
1;ESP;Soria;;;W2.7;N41.7;7;
1;ESP;Tarragona;;;E1.0;N41.2;7;
1;ESP;Teruel;;;W0.7;N40.7;7;
1;ESP;Toledo;;;W4.0;N39.8;7;
1;ESP;Valencia;;;W0.8;N39.3;7;
1;ESP;Valladolid;;;W4.7;N41.6;7;
1;ESP;Vizcaya;;;W2.9;N43.2;7;
1;ESP;Zamora;;;W6.0;N41.8;7;
1;ESP;Zaragoza;;;W1.0;N41.6;7;
1;ESP;Ceuta;;;W5.31;N35.89;12;
1;ESP;Melilla;;;W2.94;N35.29;12;
