"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
1;FRA;Aquitaine;;;W0.2000;N44.4000;7;places/FRA/flags/AQ/AQ.png
2;FRA;Aquitaine;Dordogne;;E0.7086;N45.1026;9;places/FRA/flags/AQ/24.gif
3;FRA;Aquitaine;Dordogne;Abjat-sur-Bandiat 24001;E0.7500;N45.5800;13;
3;FRA;Aquitaine;Dordogne;Agonac 24002;E0.7500;N45.2833;13;
3;FRA;Aquitaine;Dordogne;Aillac 24003=24082;E1.3023;N44.8420;13;
3;FRA;Aquitaine;Dordogne;Ajat 24004;E1.0167;N45.1500;13;
3;FRA;Aquitaine;Dordogne;Allas-les-Mines 24006;E1.0667;N44.8333;13;
3;FRA;Aquitaine;Dordogne;Allemans 24007;E0.3000;N45.2800;13;
3;FRA;Aquitaine;Dordogne;Alles-sur-Dordogne 24005;E0.8667;N44.8500;13;
3;FRA;Aquitaine;Dordogne;Angoisse 24008;E1.1333;N45.4167;13;
3;FRA;Aquitaine;Dordogne;Anlhiac 24009;E1.1333;N45.3167;13;
3;FRA;Aquitaine;Dordogne;Annesse-et-Beaulieu 24010;E0.5500;N45.1667;13;
3;FRA;Aquitaine;Dordogne;Antonne-et-Trigonant 24011;E0.8333;N45.2167;13;
3;FRA;Aquitaine;Dordogne;Archignac 24012;E1.3000;N45.0167;13;
3;FRA;Aquitaine;Dordogne;Atur 24013;E0.7500;N45.1500;13;
3;FRA;Aquitaine;Dordogne;Aubas 24014;E1.2000;N45.0833;13;
3;FRA;Aquitaine;Dordogne;Audrix 24015;E0.9333;N44.8833;13;
3;FRA;Aquitaine;Dordogne;Augignac 24016;E0.7000;N45.5833;13;
3;FRA;Aquitaine;Dordogne;Auriac-de-Bourzac 24017=24303;E0.2500;N45.3667;13;
3;FRA;Aquitaine;Dordogne;Auriac-du-Périgord 24018;E1.1333;N45.1000;13;
3;FRA;Aquitaine;Dordogne;Azerat 24019;E1.1167;N45.1500;13;
3;FRA;Aquitaine;Dordogne;Badefols-d'Ans 24021;E1.2000;N45.2333;13;
3;FRA;Aquitaine;Dordogne;Badefols-sur-Dordogne 24022;E0.8000;N44.8500;13;
3;FRA;Aquitaine;Dordogne;Baneuil 24023;E0.6833;N44.8500;13;
3;FRA;Aquitaine;Dordogne;Bardou 24024;E0.6833;N44.7333;13;
3;FRA;Aquitaine;Dordogne;Bars 24025;E1.0667;N45.1000;13;
3;FRA;Aquitaine;Dordogne;Bassillac 24026;E0.8000;N45.1833;13;
3;FRA;Aquitaine;Dordogne;Bayac 24027;E0.7333;N44.8000;13;
3;FRA;Aquitaine;Dordogne;Beaumont-du-Périgord 24028;E0.7667;N44.7667;13;
3;FRA;Aquitaine;Dordogne;Beaupouyet 24029;E0.2667;N45.0000;13;
3;FRA;Aquitaine;Dordogne;Beauregard-de-Terrasson 24030;E1.2167;N45.1500;13;
3;FRA;Aquitaine;Dordogne;Beauregard-et-Bassac 24031;E0.6333;N44.9833;13;
3;FRA;Aquitaine;Dordogne;Beauronne 24032;E0.3833;N45.1000;13;
3;FRA;Aquitaine;Dordogne;Beaussac 24033;E0.5000;N45.5000;13;
3;FRA;Aquitaine;Dordogne;Beleymas 24034;E0.5000;N44.9833;13;
3;FRA;Aquitaine;Dordogne;Belvès 24035;E1.0000;N44.7833;13;
3;FRA;Aquitaine;Dordogne;Berbiguières 24036;E1.0333;N44.8333;13;
