"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Auvergne;Allier;;E3.1970;N46.4151;9;
3;FRA;Auvergne;Allier;Abrest 03001;E3.4333;N46.1000;13;
3;FRA;Auvergne;Allier;Agonges 03002;E3.1500;N46.6000;13;
3;FRA;Auvergne;Allier;Ainay-le-Château 03003;E2.7000;N46.7167;13;
3;FRA;Auvergne;Allier;Andelaroche 03004;E3.7500;N46.2500;13;
3;FRA;Auvergne;Allier;Archignat 03005;E2.4167;N46.3833;13;
3;FRA;Auvergne;Allier;Arfeuilles 03006;E3.7167;N46.1500;13;
3;FRA;Auvergne;Allier;Arpheuilles-Saint-Priest 03007;E2.6833;N46.2333;13;
3;FRA;Auvergne;Allier;Arronnes 03008;E3.5667;N46.0667;13;
3;FRA;Auvergne;Allier;Aubigny 03009;E3.1667;N46.6833;13;
3;FRA;Auvergne;Allier;Audes 03010;E2.5667;N46.4500;13;
3;FRA;Auvergne;Allier;Aurouër 03011;E3.3000;N46.6833;13;
3;FRA;Auvergne;Allier;Autry-Issards 03012;E3.1333;N46.5500;13;
3;FRA;Auvergne;Allier;Avermes 03013;E3.3000;N46.5833;13;
3;FRA;Auvergne;Allier;Avrilly 03014;E3.9833;N46.3333;13;
3;FRA;Auvergne;Allier;Bagneux 03015;E3.2000;N46.6500;13;
3;FRA;Auvergne;Allier;Barberier 03016;E3.2500;N46.2167;13;
3;FRA;Auvergne;Allier;Barrais-Bussolles 03017;E3.7333;N46.2833;13;
3;FRA;Auvergne;Allier;Bayet 03018;E3.2667;N46.2500;13;
3;FRA;Auvergne;Allier;Beaulon 03019;E3.6667;N46.6000;13;
3;FRA;Auvergne;Allier;Beaune-d'Allier 03020;E2.8833;N46.2833;13;
3;FRA;Auvergne;Allier;Bègues 03021;E3.1500;N46.1333;13;
3;FRA;Auvergne;Allier;Bellenaves 03022;E3.0833;N46.2000;13;
3;FRA;Auvergne;Allier;Bellerive-sur-Allier 03023;E3.4000;N46.1167;13;
3;FRA;Auvergne;Allier;Bert 03024;E3.7000;N46.3167;13;
3;FRA;Auvergne;Allier;Bessay-sur-Allier 03025;E3.3667;N46.4333;13;
3;FRA;Auvergne;Allier;Besson 03026;E3.2667;N46.4667;13;
3;FRA;Auvergne;Allier;Bézenet 03027;E2.8500;N46.3333;13;
3;FRA;Auvergne;Allier;Billezois 03028;E3.5667;N46.2167;13;
3;FRA;Auvergne;Allier;Billy 03029;E3.4333;N46.2333;13;
3;FRA;Auvergne;Allier;Biozat 03030;E3.2667;N46.0667;13;
3;FRA;Auvergne;Allier;Bizeneuille 03031;E2.7333;N46.4000;13;
3;FRA;Auvergne;Allier;Blomard 03032;E2.9833;N46.2833;13;
3;FRA;Auvergne;Allier;Bost 03033;E3.5167;N46.1667;13;
3;FRA;Auvergne;Allier;Boucé 03034;E3.4833;N46.3167;13;
3;FRA;Auvergne;Allier;Bourbon-l'Archambault 03036;E3.0500;N46.5833;13;
3;FRA;Auvergne;Allier;Braize 03037;E2.6500;N46.6667;13;
3;FRA;Auvergne;Allier;Bransat 03038;E3.2167;N46.3333;13;
3;FRA;Auvergne;Allier;Bresnay 03039;E3.2500;N46.4500;13;
3;FRA;Auvergne;Allier;Bressolles 03040;E3.3167;N46.5167;13;
3;FRA;Auvergne;Allier;Broût-Vernet 03043;E3.2833;N46.1833;13;
3;FRA;Auvergne;Allier;Brugheas 03044;E3.3667;N46.0833;13;
3;FRA;Auvergne;Allier;Busset 03045;E3.5167;N46.0667;13;
3;FRA;Auvergne;Allier;Buxières-les-Mines 03046;E2.9667;N46.4667;13;
3;FRA;Auvergne;Allier;Cérilly 03048;E2.8333;N46.6167;13;
