"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Basse-Normandie;Calvados;;W0.3131;N49.0811;9;
3;FRA;Basse-Normandie;Calvados;Ablon 14001;E0.3000;N49.4000;13;
3;FRA;Basse-Normandie;Calvados;Acqueville 14002;W0.3600;N48.9700;13;
3;FRA;Basse-Normandie;Calvados;Agy 14003;W0.7667;N49.2500;13;
3;FRA;Basse-Normandie;Calvados;Aignerville 14004;W0.9167;N49.3167;13;
3;FRA;Basse-Normandie;Calvados;Airan 14005;W0.1500;N49.1000;13;
3;FRA;Basse-Normandie;Calvados;Amayé-sur-Orne 14006;W0.4333;N49.0833;13;
3;FRA;Basse-Normandie;Calvados;Amayé-sur-Seulles 14007;W0.7167;N49.0833;13;
3;FRA;Basse-Normandie;Calvados;Amblie 14008;W0.4833;N49.3000;13;
3;FRA;Basse-Normandie;Calvados;Amfreville 14009;W0.2333;N49.2500;13;
3;FRA;Basse-Normandie;Calvados;Ammeville 14010=14697;E0.0333;N48.9333;13;
3;FRA;Basse-Normandie;Calvados;Anctoville 14011;W0.7000;N49.1000;13;
3;FRA;Basse-Normandie;Calvados;Angerville 14012;W0.0333;N49.2500;13;
3;FRA;Basse-Normandie;Calvados;Angoville 14013;W0.3833;N48.9333;13;
3;FRA;Basse-Normandie;Calvados;Anguerny 14014;W0.4000;N49.2667;13;
3;FRA;Basse-Normandie;Calvados;Anisy 14015;W0.3833;N49.2500;13;
3;FRA;Basse-Normandie;Calvados;Annebault 14016;E0.0667;N49.2500;13;
3;FRA;Basse-Normandie;Calvados;Annebecq 14017=14352;W0.9667;N48.9000;13;
3;FRA;Basse-Normandie;Calvados;Arclais 14018=14655;W0.7748;N48.9569;13;
3;FRA;Basse-Normandie;Calvados;Arganchy 14019;W0.7500;N49.2333;13;
3;FRA;Basse-Normandie;Calvados;Argences 14020;W0.1667;N49.1333;13;
3;FRA;Basse-Normandie;Calvados;Arromanches-les-Bains 14021;W0.6167;N49.3333;13;
3;FRA;Basse-Normandie;Calvados;Asnelles 14022;W0.5833;N49.3333;13;
3;FRA;Basse-Normandie;Calvados;Asnières-en-Bessin 14023;W0.9333;N49.3667;13;
3;FRA;Basse-Normandie;Calvados;Auberville 14024;W0.0333;N49.3167;13;
3;FRA;Basse-Normandie;Calvados;Aubigny 14025;W0.2167;N48.9167;13;
3;FRA;Basse-Normandie;Calvados;Audrieu 14026;W0.6000;N49.2000;13;
3;FRA;Basse-Normandie;Calvados;Aunay-sur-Odon 14027;W0.6333;N49.0167;13;
3;FRA;Basse-Normandie;Calvados;Auquainville 14028;E0.2500;N49.0500;13;
3;FRA;Basse-Normandie;Calvados;Authie 14030;W0.4333;N49.2000;13;
3;FRA;Basse-Normandie;Calvados;Auvillars 14033;E0.0667;N49.2000;13;
3;FRA;Basse-Normandie;Calvados;Avenay 14034;W0.4667;N49.1000;13;
3;FRA;Basse-Normandie;Calvados;Balleroy 14035;W0.8333;N49.1833;13;
3;FRA;Basse-Normandie;Calvados;Banneville-la-Campagne 14036;W0.2167;N49.1833;13;
3;FRA;Basse-Normandie;Calvados;Banneville-sur-Ajon 14037;W0.5667;N49.0667;13;
3;FRA;Basse-Normandie;Calvados;Banville 14038;W0.5000;N49.3167;13;
3;FRA;Basse-Normandie;Calvados;Barbery 14039;W0.3500;N49.0167;13;
3;FRA;Basse-Normandie;Calvados;Barbeville 14040;W0.7500;N49.2833;13;
3;FRA;Basse-Normandie;Calvados;Barneville-la-Bertran 14041;E0.1833;N49.3833;13;
3;FRA;Basse-Normandie;Calvados;Baron-sur-Odon 14042;W0.4833;N49.1333;13;
3;FRA;Basse-Normandie;Calvados;Barou-en-Auge 14043;W0.0333;N48.9333;13;
3;FRA;Basse-Normandie;Calvados;Basly 14044;W0.4167;N49.2833;13;
3;FRA;Basse-Normandie;Calvados;Basseneville 14045;W0.1500;N49.2167;13;
3;FRA;Basse-Normandie;Calvados;Bauquay 14056;W0.6167;N49.0333;13;
3;FRA;Basse-Normandie;Calvados;Bavent 14046;W0.1833;N49.2333;13;
3;FRA;Basse-Normandie;Calvados;Bayeux 14047;W0.7000;N49.2667;13;
