"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Bourgogne;Côte-d'Or;;E4.8285;N47.4207;9;
3;FRA;Bourgogne;Côte-d'Or;Agencourt 21001;E4.9833;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Agey 21002;E4.7667;N47.2833;13;
3;FRA;Bourgogne;Côte-d'Or;Ahuy 21003;E5.0333;N47.3667;13;
3;FRA;Bourgogne;Côte-d'Or;Aignay-le-Duc 21004;E4.7333;N47.6667;13;
3;FRA;Bourgogne;Côte-d'Or;Aiserey 21005;E5.1667;N47.1667;13;
3;FRA;Bourgogne;Côte-d'Or;Aisey-sur-Seine 21006;E4.5833;N47.7500;13;
3;FRA;Bourgogne;Côte-d'Or;Aisy-sous-Thil 21007;E4.2833;N47.4000;13;
3;FRA;Bourgogne;Côte-d'Or;Alise-Sainte-Reine 21008;E4.4833;N47.5333;13;
3;FRA;Bourgogne;Côte-d'Or;Allerey 21009;E4.4300;N47.1800;13;
3;FRA;Bourgogne;Côte-d'Or;Aloxe-Corton 21010;E4.8667;N47.0667;13;
3;FRA;Bourgogne;Côte-d'Or;Ampilly-le-Sec 21012;E4.5167;N47.8000;13;
3;FRA;Bourgogne;Côte-d'Or;Ampilly-les-Bordes 21011;E4.6333;N47.6333;13;
3;FRA;Bourgogne;Côte-d'Or;Ancey 21013;E4.8333;N47.3333;13;
3;FRA;Bourgogne;Côte-d'Or;Antheuil 21014;E4.7500;N47.1667;13;
3;FRA;Bourgogne;Côte-d'Or;Antigny-la-Ville 21015;E4.5500;N47.1000;13;
3;FRA;Bourgogne;Côte-d'Or;Arc-sur-Tille 21021;E5.1833;N47.3333;13;
3;FRA;Bourgogne;Côte-d'Or;Arceau 21016;E5.1833;N47.3833;13;
3;FRA;Bourgogne;Côte-d'Or;Arcenant 21017;E4.8500;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Arcey 21018;E4.8167;N47.2833;13;
3;FRA;Bourgogne;Côte-d'Or;Arçon 21019=21060;E5.2821;N47.3549;13;
3;FRA;Bourgogne;Côte-d'Or;Arconcey 21020;E4.4500;N47.2167;13;
3;FRA;Bourgogne;Côte-d'Or;Argilly 21022;E5.0000;N47.0667;13;
3;FRA;Bourgogne;Côte-d'Or;Arnay-le-Duc 21023;E4.4833;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Arnay-sous-Vitteaux 21024;E4.5000;N47.4500;13;
3;FRA;Bourgogne;Côte-d'Or;Arrans 21025;E4.3167;N47.7000;13;
3;FRA;Bourgogne;Côte-d'Or;Asnières-en-Montagne 21026;E4.2833;N47.7167;13;
3;FRA;Bourgogne;Côte-d'Or;Asnières-lès-Dijon 21027;E5.0333;N47.3833;13;
3;FRA;Bourgogne;Côte-d'Or;Athée 21028;E5.3728;N47.2316;13;
3;FRA;Bourgogne;Côte-d'Or;Athie 21029;E4.2500;N47.5667;13;
3;FRA;Bourgogne;Côte-d'Or;Aubaine 21030;E4.7167;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Aubigny-en-Plaine 21031;E5.1667;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Aubigny-la-Ronce 21032;E4.6167;N46.9833;13;
3;FRA;Bourgogne;Côte-d'Or;Aubigny-lès-Sombernon 21033;E4.6500;N47.3000;13;
3;FRA;Bourgogne;Côte-d'Or;Autricourt 21034;E4.6198;N47.9966;13;
3;FRA;Bourgogne;Côte-d'Or;Auvillars-sur-Saône 21035;E5.1000;N47.0500;13;
3;FRA;Bourgogne;Côte-d'Or;Auxant 21036;E4.6167;N47.1167;13;
3;FRA;Bourgogne;Côte-d'Or;Auxey-Duresses 21037;E4.7500;N46.9833;13;
3;FRA;Bourgogne;Côte-d'Or;Auxonne 21038;E5.3833;N47.2000;13;
3;FRA;Bourgogne;Côte-d'Or;Avelanges 21039;E5.0333;N47.5833;13;
3;FRA;Bourgogne;Côte-d'Or;Avosnes 21040;E4.6500;N47.3667;13;
3;FRA;Bourgogne;Côte-d'Or;Avot 21041;E5.0167;N47.6167;13;
3;FRA;Bourgogne;Côte-d'Or;Bagnot 21042;E5.0833;N47.0500;13;
3;FRA;Bourgogne;Côte-d'Or;Baigneux-les-Juifs 21043;E4.6333;N47.6000;13;
3;FRA;Bourgogne;Côte-d'Or;Balot 21044;E4.4333;N47.8167;13;
3;FRA;Bourgogne;Côte-d'Or;Barbirey-sur-Ouche 21045;E4.7500;N47.2500;13;
3;FRA;Bourgogne;Côte-d'Or;Bard-le-Régulier 21046;E4.3167;N47.1333;13;
3;FRA;Bourgogne;Côte-d'Or;Bard-lès-Époisses 21047;E4.2167;N47.5333;13;
3;FRA;Bourgogne;Côte-d'Or;Barges 21048;E5.0667;N47.2167;13;
3;FRA;Bourgogne;Côte-d'Or;Barjon 21049;E4.9667;N47.6167;13;
3;FRA;Bourgogne;Côte-d'Or;Baubigny 21050;E4.6833;N46.9667;13;
3;FRA;Bourgogne;Côte-d'Or;Baulme-la-Roche 21051;E4.8000;N47.3500;13;
3;FRA;Bourgogne;Côte-d'Or;Beaulieu 21052;E4.7167;N47.7167;13;
3;FRA;Bourgogne;Côte-d'Or;Beaumont-sur-Vingeanne 21053;E5.3667;N47.4667;13;
3;FRA;Bourgogne;Côte-d'Or;Beaune 21054;E4.8333;N47.0333;13;
3;FRA;Bourgogne;Côte-d'Or;Beaunotte 21055;E4.7000;N47.6833;13;
3;FRA;Bourgogne;Côte-d'Or;Beire-le-Châtel 21056;E5.2000;N47.4167;13;
3;FRA;Bourgogne;Côte-d'Or;Beire-le-Fort 21057;E5.2500;N47.2333;13;
3;FRA;Bourgogne;Côte-d'Or;Belan-sur-Ource 21058;E4.6500;N47.9333;13;
3;FRA;Bourgogne;Côte-d'Or;Bellefond 21059;E5.0667;N47.3833;13;
3;FRA;Bourgogne;Côte-d'Or;Belleneuve 21060;E5.2667;N47.3667;13;
