"Level";"Country";"State";County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Bretagne;Côtes-d'Armor;;W2.818;N48.4929;9;
3;FRA;Bretagne;Côtes-d'Armor;Allineuc 22001;W2.8667;N48.3167;13;
3;FRA;Bretagne;Côtes-d'Armor;Andel 22002;W2.566;N48.4918;13;
3;FRA;Bretagne;Côtes-d'Armor;Aucaleuc 22003;W2.1291;N48.4563;13;
3;FRA;Bretagne;Côtes-d'Armor;Bégard 22004;W3.3024;N48.6310;13;
3;FRA;Bretagne;Côtes-d'Armor;Belle-Isle-en-Terre 22005;W3.397;N48.5462;13;
3;FRA;Bretagne;Côtes-d'Armor;Berhet 22006;W3.305;N48.6982;13;
3;FRA;Bretagne;Côtes-d'Armor;Binic 22007;W2.8266;N48.6024;13;
3;FRA;Bretagne;Côtes-d'Armor;Bobital 22008;W2.1017;N48.4159;13;
3;FRA;Bretagne;Côtes-d'Armor;Bonen 22010=22266;W3.3000;N48.2000;13;
3;FRA;Bretagne;Côtes-d'Armor;Boqueho 22011;W2.9667;N48.4833;13;
3;FRA;Bretagne;Côtes-d'Armor;Bourbriac 22013;W3.1833;N48.4833;13;
3;FRA;Bretagne;Côtes-d'Armor;Bourseul 22014;W2.2667;N48.4833;13;
3;FRA;Bretagne;Côtes-d'Armor;Bréhand 22015;W2.5833;N48.4000;13;
3;FRA;Bretagne;Côtes-d'Armor;Brélévenez 22017=22113;W3.4451;N48.7292;13;
3;FRA;Bretagne;Côtes-d'Armor;Brélidy 22018;W3.2167;N48.6667;13;
3;FRA;Bretagne;Côtes-d'Armor;Bringolo 22019;W3.0000;N48.5833;13;
3;FRA;Bretagne;Côtes-d'Armor;Broons 22020;W2.2667;N48.3167;13;
3;FRA;Bretagne;Côtes-d'Armor;Brusvily 22021;W2.1333;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;Buhulien 22022=22113;W3.4124;N48.7173;13;
3;FRA;Bretagne;Côtes-d'Armor;Bulat-Pestivien 22023;W3.3333;N48.4333;13;
3;FRA;Bretagne;Côtes-d'Armor;Calanhel 22024;W3.4833;N48.4417;13;
3;FRA;Bretagne;Côtes-d'Armor;Callac 22025;W3.4267;N48.4050;13;
3;FRA;Bretagne;Côtes-d'Armor;Calorguen 22026;W2.0167;N48.4000;13;
3;FRA;Bretagne;Côtes-d'Armor;Camlez 22028;W3.3000;N48.7833;13;
3;FRA;Bretagne;Côtes-d'Armor;Canihuel 22029;W3.1000;N48.3333;13;
3;FRA;Bretagne;Côtes-d'Armor;Caouënnec-Lanvézéac 22030;W3.5167;N48.3667;13;
3;FRA;Bretagne;Côtes-d'Armor;Carnoët 22031;W2.4833;N48.6167;13;
3;FRA;Bretagne;Côtes-d'Armor;Caulnes 22032;W2.1500;N48.2833;13;
3;FRA;Bretagne;Côtes-d'Armor;Caurel 22033;W3.0333;N48.2167;13;
3;FRA;Bretagne;Côtes-d'Armor;Cavan 22034;W3.3500;N48.6667;13;
3;FRA;Bretagne;Côtes-d'Armor;Châtelaudren 22038;W2.9833;N48.5333;13;
3;FRA;Bretagne;Côtes-d'Armor;Coadout 22040;W3.1833;N48.5167;13;
3;FRA;Bretagne;Côtes-d'Armor;Coatascorn 22041;W3.2500;N48.6667;13;
3;FRA;Bretagne;Côtes-d'Armor;Coatréven 22042;W3.3333;N48.7667;13;
3;FRA;Bretagne;Côtes-d'Armor;Coëtlogon 22043;W2.5333;N48.1333;13;
3;FRA;Bretagne;Côtes-d'Armor;Coëtmieux 22044;W2.6000;N48.5000;13;
3;FRA;Bretagne;Côtes-d'Armor;Cohiniac 22045;W2.9500;N48.4667;13;
3;FRA;Bretagne;Côtes-d'Armor;Collinée 22046;W2.5167;N48.3000;13;
3;FRA;Bretagne;Côtes-d'Armor;Corlay 22047;W3.0500;N48.3167;13;
3;FRA;Bretagne;Côtes-d'Armor;Corseul 22048;W2.1667;N48.4833;13;
3;FRA;Bretagne;Côtes-d'Armor;Créhen 22049;W2.2167;N48.5500;13;
3;FRA;Bretagne;Côtes-d'Armor;Dinan 22050;W2.2364;N48.4564;13;
3;FRA;Bretagne;Côtes-d'Armor;Dolo 22051;W2.3333;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;Duault 22052;W3.4333;N48.3667;13;
3;FRA;Bretagne;Côtes-d'Armor;Éréac 22053;W2.3473;N48.2754;13;
3;FRA;Bretagne;Côtes-d'Armor;Erquy 22054;W2.4667;N48.6333;13;
3;FRA;Bretagne;Côtes-d'Armor;Étables-sur-Mer 22055;W2.8333;N48.6167;13;
3;FRA;Bretagne;Côtes-d'Armor;Évran 22056;W1.9833;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;Fréhel 22179;W2.3500;N48.6167;13;
3;FRA;Bretagne;Côtes-d'Armor;Gausson 22060;W2.7500;N48.3000;13;
3;FRA;Bretagne;Côtes-d'Armor;Glomel 22061;W3.4000;N48.2167;13;
3;FRA;Bretagne;Côtes-d'Armor;Gomené 22062;W2.4833;N48.1667;13;
3;FRA;Bretagne;Côtes-d'Armor;Gommenec'h 22063;W3.0500;N48.6500;13;
3;FRA;Bretagne;Côtes-d'Armor;Gouarec 22064;W3.1833;N48.2167;13;
3;FRA;Bretagne;Côtes-d'Armor;Goudelin 22065;W3.0167;N48.6000;13;
3;FRA;Bretagne;Côtes-d'Armor;Grâce-Uzel 22068;W2.8000;N48.2500;13;
3;FRA;Bretagne;Côtes-d'Armor;Grâces 22067;W3.1833;N48.5667;13;
3;FRA;Bretagne;Côtes-d'Armor;Guenroc 22069;W2.0833;N48.3167;13;
3;FRA;Bretagne;Côtes-d'Armor;Guingamp 22070;W3.1500;N48.5500;13;
3;FRA;Bretagne;Côtes-d'Armor;Guitté 22071;W2.1000;N48.3000;13;
3;FRA;Bretagne;Côtes-d'Armor;Gurunhuel 22072;W3.3000;N48.5167;13;
3;FRA;Bretagne;Côtes-d'Armor;Hémonstoir 22075;W2.8333;N48.1667;13;
3;FRA;Bretagne;Côtes-d'Armor;Hénanbihen 22076;W2.3667;N48.5667;13;
3;FRA;Bretagne;Côtes-d'Armor;Hénansal 22077;W2.4333;N48.5500;13;
3;FRA;Bretagne;Côtes-d'Armor;Hengoat 22078;W3.2000;N48.7500;13;
3;FRA;Bretagne;Côtes-d'Armor;Hénon 22079;W2.7000;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;Hillion 22081;W2.6833;N48.5167;13;
3;FRA;Bretagne;Côtes-d'Armor;Île-de-Bréhat 22016;W2.9833;N48.8333;13;
3;FRA;Bretagne;Côtes-d'Armor;Illifaut 22083;W2.3500;N48.1500;13;
3;FRA;Bretagne;Côtes-d'Armor;Jugon-les-Lacs 22084;W3.1833;N48.8333;13;
3;FRA;Bretagne;Côtes-d'Armor;Kerbors 22085;W2.9333;N48.1333;13;
3;FRA;Bretagne;Côtes-d'Armor;Kerfot 22086;W3.0333;N48.7333;13;
3;FRA;Bretagne;Côtes-d'Armor;Kergrist-Moëlou 22087;W3.3167;N48.3167;13;
3;FRA;Bretagne;Côtes-d'Armor;Kerien 22088;W3.2167;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;Kerity 22089=22162;W3.0211;N48.7686;13;
3;FRA;Bretagne;Côtes-d'Armor;Kermaria-Sulard 22090;W3.3667;N48.7667;13;
3;FRA;Bretagne;Côtes-d'Armor;Kermoroc'h 22091;W3.2000;N48.6167;13;
3;FRA;Bretagne;Côtes-d'Armor;Kerpert 22092;W3.1333;N48.3833;13;
3;FRA;Bretagne;Côtes-d'Armor;L'Hermitage-Lorge 22080;W2.8333;N48.3333;13;
3;FRA;Bretagne;Côtes-d'Armor;La Bouillie 22012;W2.4333;N48.5667;13;
3;FRA;Bretagne;Côtes-d'Armor;La Chapelle-Blanche 22036;W2.1500;N48.2667;13;
3;FRA;Bretagne;Côtes-d'Armor;La Chapelle-Neuve 22037;W3.4218;N48.4618;13;
3;FRA;Bretagne;Côtes-d'Armor;La Chèze 22039;W2.6500;N48.1333;13;
