"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Centre;Cher;;E2.4554;N47.0495;9;
3;FRA;Centre;Cher;Achères 18001;E2.4667;N47.2833;13;
3;FRA;Centre;Cher;Ainay-le-Vieil 18002;E2.5500;N46.6667;13;
3;FRA;Centre;Cher;Allogny 18004;E2.3167;N47.2167;13;
3;FRA;Centre;Cher;Allouis 18005;E2.2333;N47.1667;13;
3;FRA;Centre;Cher;Annoix 18006;E2.5500;N46.9500;13;
3;FRA;Centre;Cher;Apremont-sur-Allier 18007;E3.0333;N46.9000;13;
3;FRA;Centre;Cher;Arçay 18008;E2.3500;N46.9500;13;
3;FRA;Centre;Cher;Arcomps 18009;E2.4333;N46.6833;13;
3;FRA;Centre;Cher;Ardenais 18010;E2.3667;N46.6500;13;
3;FRA;Centre;Cher;Argent-sur-Sauldre 18011;E2.4500;N47.5500;13;
3;FRA;Centre;Cher;Argenvières 18012;E3.0000;N47.1333;13;
3;FRA;Centre;Cher;Arpheuilles 18013;E2.5667;N46.7833;13;
3;FRA;Centre;Cher;Assigny 18014;E2.7500;N47.4333;13;
3;FRA;Centre;Cher;Aubigny-sur-Nère 18015;E2.4333;N47.4833;13;
3;FRA;Centre;Cher;Aubinges 18016;E2.5833;N47.2167;13;
3;FRA;Centre;Cher;Augy-sur-Aubois 18017;E2.8500;N46.7833;13;
3;FRA;Centre;Cher;Avord 18018;E2.6500;N47.0333;13;
3;FRA;Centre;Cher;Azy 18019;E2.7167;N47.1833;13;
3;FRA;Centre;Cher;Bannay 18020;E2.8833;N47.3833;13;
3;FRA;Centre;Cher;Bannegon 18021;E2.7167;N46.8000;13;
3;FRA;Centre;Cher;Barlieu 18022;E2.6333;N47.4833;13;
3;FRA;Centre;Cher;Baugy 18023;E2.7333;N47.0833;13;
3;FRA;Centre;Cher;Beddes 18024;E2.2000;N46.6000;13;
3;FRA;Centre;Cher;Beffes 18025;E3.0167;N47.1000;13;
3;FRA;Centre;Cher;Belleville-sur-Loire 18026;E2.8500;N47.5000;13;
3;FRA;Centre;Cher;Bengy-sur-Craon 18027;E2.7500;N47.0000;13;
3;FRA;Centre;Cher;Berry-Bouy 18028;E2.3000;N47.1167;13;
3;FRA;Centre;Cher;Bessais-le-Fromental 18029;E2.7500;N46.7500;13;
3;FRA;Centre;Cher;Blancafort 18030;E2.5333;N47.5333;13;
3;FRA;Centre;Cher;Blet 18031;E2.7333;N46.9000;13;
3;FRA;Centre;Cher;Boulleret 18032;E2.8667;N47.4167;13;
3;FRA;Centre;Cher;Bourges 18033;E2.4000;N47.0833;13;
3;FRA;Centre;Cher;Bouzais 18034;E2.4833;N46.7000;13;
3;FRA;Centre;Cher;Brécy 18035;E2.6167;N47.1167;13;
3;FRA;Centre;Cher;Brinay 18036;E2.1333;N47.1500;13;
3;FRA;Centre;Cher;Brinon-sur-Sauldre 18037;E2.2500;N47.5667;13;
3;FRA;Centre;Cher;Bruère-Allichamps 18038;E2.4500;N46.7667;13;
3;FRA;Centre;Cher;Bué 18039;E2.8000;N47.3000;13;
3;FRA;Centre;Cher;Bussy 18040;E2.6333;N46.9000;13;
3;FRA;Centre;Cher;Cerbois 18044;E2.1000;N47.1167;13;
3;FRA;Centre;Cher;Chalivoy-Milon 18045;E2.7000;N46.8667;13;
3;FRA;Centre;Cher;Chambon 18046;E2.3167;N46.7833;13;
3;FRA;Centre;Cher;Charenton-du-Cher 18052;E2.6500;N46.7333;13;
3;FRA;Centre;Cher;Charentonnay 18053;E2.8833;N47.1500;13;
3;FRA;Centre;Cher;Charly 18054;E2.7500;N46.9000;13;
3;FRA;Centre;Cher;Chârost 18055;E2.1333;N46.9833;13;
3;FRA;Centre;Cher;Chassy 18056;E2.8500;N47.0500;13;
3;FRA;Centre;Cher;Châteaumeillant 18057;E2.2000;N46.5667;13;
3;FRA;Centre;Cher;Châteauneuf-sur-Cher 18058;E2.3167;N46.8500;13;
3;FRA;Centre;Cher;Chaumont 18060;E2.7500;N46.8333;13;
3;FRA;Centre;Cher;Chaumoux-Marcilly 18061;E2.7833;N47.1167;13;
3;FRA;Centre;Cher;Chavannes 18063;E2.3750;N46.8500;13;
3;FRA;Centre;Cher;Chéry 18064;E2.0500;N47.1167;13;
3;FRA;Centre;Cher;Chezal-Benoît 18065;E2.1167;N46.8333;13;
3;FRA;Centre;Cher;Civray 18066;E2.1667;N46.9667;13;
3;FRA;Centre;Cher;Clémont 18067;E2.3000;N47.5667;13;
3;FRA;Centre;Cher;Cogny 18068;E2.6333;N46.8500;13;
3;FRA;Centre;Cher;Colombiers 18069;E2.5333;N46.7000;13;
3;FRA;Centre;Cher;Concressault 18070;E2.5833;N47.4833;13;
3;FRA;Centre;Cher;Contres 18071;E2.5000;N46.8667;13;
3;FRA;Centre;Cher;Cornusse 18072;E2.7333;N46.9500;13;
3;FRA;Centre;Cher;Corquoy 18073;E2.3000;N46.8833;13;
3;FRA;Centre;Cher;Couargues 18074;E2.9167;N47.3000;13;
3;FRA;Centre;Cher;Cours-les-Barres 18075;E3.0333;N47.0167;13;
3;FRA;Centre;Cher;Coust 18076;E2.6000;N46.7000;13;
3;FRA;Centre;Cher;Couy 18077;E2.8333;N47.1167;13;
3;FRA;Centre;Cher;Crézançay-sur-Cher 18078;E2.3667;N46.8167;13;
3;FRA;Centre;Cher;Crézancy-en-Sancerre 18079;E2.7333;N47.3000;13;
3;FRA;Centre;Cher;Croisy 18080;E2.8000;N46.9333;13;
3;FRA;Centre;Cher;Crosses 18081;E2.5833;N47.0167;13;
3;FRA;Centre;Cher;Cuffy 18082;E3.0500;N46.9500;13;
3;FRA;Centre;Cher;Culan 18083;E2.3500;N46.5500;13;
3;FRA;Centre;Cher;Dampierre-en-Crot 18084;E2.5833;N47.4667;13;
3;FRA;Centre;Cher;Dampierre-en-Graçay 18085;E1.9500;N47.1833;13;
3;FRA;Centre;Cher;Drevant 18086;E2.5167;N46.7000;13;
3;FRA;Centre;Cher;Dun-sur-Auron 18087;E2.5667;N46.8833;13;
3;FRA;Centre;Cher;Ennordres 18088;E2.3833;N47.4333;13;
3;FRA;Centre;Cher;Épineuil-le-Fleuriel 18089;E2.5833;N46.5500;13;
3;FRA;Centre;Cher;Étréchy 18090;E2.7167;N47.1500;13;
3;FRA;Centre;Cher;Farges-Allichamps 18091;E2.4167;N46.7667;13;
3;FRA;Centre;Cher;Farges-en-Septaine 18092;E2.6500;N47.0667;13;
3;FRA;Centre;Cher;Faverdines 18093;E2.4667;N46.6500;13;
3;FRA;Centre;Cher;Feux 18094;E2.8667;N47.2333;13;
3;FRA;Centre;Cher;Flavigny 18095;E2.8000;N46.9667;13;
3;FRA;Centre;Cher;Foëcy 18096;E2.1667;N47.1667;13;
3;FRA;Centre;Cher;Fussy 18097;E2.4333;N47.1500;13;
3;FRA;Centre;Cher;Gardefort 18098;E2.8333;N47.2667;13;
3;FRA;Centre;Cher;Garigny 18099;E2.9000;N47.0833;13;
3;FRA;Centre;Cher;Genouilly 18100;E1.8833;N47.1833;13;
3;FRA;Centre;Cher;Germigny-l'Exempt 18101;E2.9000;N46.9167;13;
3;FRA;Centre;Cher;Givardon 18102;E2.8167;N46.8333;13;
3;FRA;Centre;Cher;Graçay 18103;E1.8500;N47.1333;13;
3;FRA;Centre;Cher;Groises 18104;E2.8000;N47.2000;13;
3;FRA;Centre;Cher;Gron 18105;E2.7500;N47.1167;13;
3;FRA;Centre;Cher;Grossouvre 18106;E2.9333;N46.8667;13;
3;FRA;Centre;Cher;Henrichemont 18109;E2.5333;N47.3000;13;
3;FRA;Centre;Cher;Herry 18110;E2.9500;N47.2167;13;
3;FRA;Centre;Cher;Humbligny 18111;E2.6667;N47.2500;13;
3;FRA;Centre;Cher;Ids-Saint-Roch 18112;E2.2500;N46.7167;13;
3;FRA;Centre;Cher;Ignol 18113;E2.8500;N46.9667;13;
3;FRA;Centre;Cher;Ineuil 18114;E2.3000;N46.7833;13;
3;FRA;Centre;Cher;Ivoy-le-Pré 18115;E2.4833;N47.3500;13;
3;FRA;Centre;Cher;Jalognes 18116;E2.7833;N47.2333;13;
3;FRA;Centre;Cher;Jars 18117;E2.6833;N47.4000;13;
3;FRA;Centre;Cher;Jouet-sur-l'Aubois 18118;E3.0000;N47.0500;13;
3;FRA;Centre;Cher;Jussy-Champagne 18119;E2.6500;N46.9833;13;
3;FRA;Centre;Cher;Jussy-le-Chaudrier 18120;E2.9333;N47.1167;13;
3;FRA;Centre;Cher;La Celette 18041;E2.5167;N46.6500;13;
3;FRA;Centre;Cher;La Celle 18042;E2.4500;N46.7667;13;
3;FRA;Centre;Cher;La Celle-Condé 18043;E2.1833;N46.8000;13;
3;FRA;Centre;Cher;La Chapelle-d'Angillon 18047;E2.4333;N47.3667;13;
3;FRA;Centre;Cher;La Chapelle-Hugon 18048;E2.9500;N46.9000;13;
3;FRA;Centre;Cher;La Chapelle-Montlinard 18049;E2.9833;N47.1667;13;
3;FRA;Centre;Cher;La Chapelle-Saint-Ursin 18050;E2.3167;N47.0667;13;
3;FRA;Centre;Cher;La Chapelotte 18051;E2.5833;N47.3500;13;
3;FRA;Centre;Cher;La Groutte 18107;E2.5167;N46.6833;13;
3;FRA;Centre;Cher;La Guerche-sur-l'Aubois 18108;E2.9500;N46.9500;13;
3;FRA;Centre;Cher;La Perche 18178;E2.5667;N46.6500;13;
3;FRA;Centre;Cher;Lantan 18121;E2.6667;N46.9000;13;
3;FRA;Centre;Cher;Lapan 18122;E2.3000;N46.9167;13;
3;FRA;Centre;Cher;Laverdines 18123;E2.7833;N47.0333;13;
3;FRA;Centre;Cher;Lazenay 18124;E2.0583;N47.0750;13;
3;FRA;Centre;Cher;Le Châtelet 18059;E2.2833;N46.6333;13;
3;FRA;Centre;Cher;Le Chautay 18062;E2.9667;N46.9833;13;
3;FRA;Centre;Cher;Le Noyer 18168;E2.6667;N47.3833;13;
3;FRA;Centre;Cher;Le Pondy 18183;E2.6500;N46.8000;13;
3;FRA;Centre;Cher;Le Subdray 18255;E2.3000;N47.0167;13;
3;FRA;Centre;Cher;Léré 18125;E2.8667;N47.4667;13;
3;FRA;Centre;Cher;Les Aix-d'Angillon 18003;E2.5667;N47.2000;13;
3;FRA;Centre;Cher;Levet 18126;E2.4167;N46.9333;13;
3;FRA;Centre;Cher;Lignières 18127;E2.1667;N46.7500;13;
3;FRA;Centre;Cher;Limeux 18128;E2.1167;N47.0667;13;
3;FRA;Centre;Cher;Lissay-Lochy 18129;E2.4167;N46.9667;13;
3;FRA;Centre;Cher;Loye-sur-Arnon 18130;E2.3833;N46.6500;13;
3;FRA;Centre;Cher;Lugny-Bourbonnais 18131;E2.7000;N46.9333;13;
3;FRA;Centre;Cher;Lugny-Champagne 18132;E2.8167;N47.2000;13;
3;FRA;Centre;Cher;Lunery 18133;E2.2667;N46.9333;13;
3;FRA;Centre;Cher;Lury-sur-Arnon 18134;E2.0500;N47.1167;13;
3;FRA;Centre;Cher;Maisonnais 18135;E2.2000;N46.6333;13;
3;FRA;Centre;Cher;Marçais 18136;E2.3667;N46.7000;13;
3;FRA;Centre;Cher;Mareuil-sur-Arnon 18137;E2.1667;N46.8833;13;
3;FRA;Centre;Cher;Marmagne 18138;E2.2833;N47.1000;13;
3;FRA;Centre;Cher;Marseilles-lès-Aubigny 18139;E3.0000;N47.0667;13;
3;FRA;Centre;Cher;Massay 18140;E2.0000;N47.1500;13;
3;FRA;Centre;Cher;Mehun-sur-Yèvre 18141;E2.2167;N47.1500;13;
3;FRA;Centre;Cher;Meillant 18142;E2.5000;N46.7833;13;
3;FRA;Centre;Cher;Menetou-Couture 18143;E2.9167;N47.0333;13;
3;FRA;Centre;Cher;Menetou-Râtel 18144;E2.7500;N47.3500;13;
3;FRA;Centre;Cher;Menetou-Salon 18145;E2.5000;N47.2333;13;
3;FRA;Centre;Cher;Ménétréol-sous-Sancerre 18146;E2.8667;N47.3167;13;
3;FRA;Centre;Cher;Ménétréol-sur-Sauldre 18147;E2.3167;N47.4500;13;
3;FRA;Centre;Cher;Méreau 18148;E2.0500;N47.1667;13;
3;FRA;Centre;Cher;Méry-ès-Bois 18149;E2.3667;N47.3167;13;
3;FRA;Centre;Cher;Méry-sur-Cher 18150;E1.9833;N47.2333;13;
3;FRA;Centre;Cher;Montigny 18151;E2.6667;N47.2333;13;
3;FRA;Centre;Cher;Montlouis 18152;E2.2333;N46.8167;13;
3;FRA;Centre;Cher;Morlac 18153;E2.3167;N46.7167;13;
3;FRA;Centre;Cher;Mornay-Berry 18154;E2.8833;N47.0500;13;
3;FRA;Centre;Cher;Mornay-sur-Allier 18155;E3.0333;N46.8167;13;
3;FRA;Centre;Cher;Morogues 18156;E2.6000;N47.2333;13;
3;FRA;Centre;Cher;Morthomiers 18157;E2.2667;N47.0333;13;
3;FRA;Centre;Cher;Moulins-sur-Yèvre 18158;E2.5167;N47.0833;13;
3;FRA;Centre;Cher;Nançay 18159;E2.2000;N47.3500;13;
3;FRA;Centre;Cher;Nérondes 18160;E2.8333;N47.0000;13;
3;FRA;Centre;Cher;Neuilly-en-Dun 18161;E2.7833;N46.8000;13;
3;FRA;Centre;Cher;Neuilly-en-Sancerre 18162;E2.6833;N47.3000;13;
3;FRA;Centre;Cher;Neuvy-Deux-Clochers 18163;E2.6833;N47.2833;13;
3;FRA;Centre;Cher;Neuvy-le-Barrois 18164;E3.0500;N46.8667;13;
3;FRA;Centre;Cher;Neuvy-sur-Barangeon 18165;E2.2500;N47.3167;13;
3;FRA;Centre;Cher;Nohant-en-Goût 18166;E2.5667;N47.1000;13;
3;FRA;Centre;Cher;Nohant-en-Graçay 18167;E1.8833;N47.1333;13;
3;FRA;Centre;Cher;Nozières 18169;E2.4333;N46.7333;13;
3;FRA;Centre;Cher;Oizon 18170;E2.5167;N47.4667;13;
3;FRA;Centre;Cher;Orcenais 18171;E2.4333;N46.7167;13;
3;FRA;Centre;Cher;Orval 18172;E2.4833;N46.7333;13;
3;FRA;Centre;Cher;Osmery 18173;E2.6500;N46.9333;13;
3;FRA;Centre;Cher;Osmoy 18174;E2.5167;N47.0667;13;
3;FRA;Centre;Cher;Ourouer-les-Bourdelins 18175;E2.8167;N46.9167;13;
3;FRA;Centre;Cher;Parassy 18176;E2.5500;N47.2333;13;
3;FRA;Centre;Cher;Parnay 18177;E2.5667;N46.8500;13;
3;FRA;Centre;Cher;Pigny 18179;E2.4333;N47.1833;13;
3;FRA;Centre;Cher;Plaimpied-Givaudins 18180;E2.4500;N47.0000;13;
3;FRA;Centre;Cher;Plou 18181;E2.1333;N47.0333;13;
3;FRA;Centre;Cher;Poisieux 18182;E2.0833;N47.0167;13;
3;FRA;Centre;Cher;Précy 18184;E2.9333;N47.1000;13;
3;FRA;Centre;Cher;Presly 18185;E2.3500;N47.3833;13;
3;FRA;Centre;Cher;Preuilly 18186;E2.1833;N47.1000;13;
3;FRA;Centre;Cher;Préveranges 18187;E2.2500;N46.4333;13;
3;FRA;Centre;Cher;Primelles 18188;E2.2167;N46.9000;13;
3;FRA;Centre;Cher;Quantilly 18189;E2.4500;N47.2333;13;
3;FRA;Centre;Cher;Quincy 18190;E2.1667;N47.1333;13;
3;FRA;Centre;Cher;Raymond 18191;E2.6833;N46.9667;13;
3;FRA;Centre;Cher;Reigny 18192;E2.7500;N47.3000;13;
3;FRA;Centre;Cher;Rezay 18193;E2.1833;N46.6833;13;
3;FRA;Centre;Cher;Rians 18194;E2.6167;N47.1833;13;
3;FRA;Centre;Cher;Sagonne 18195;E2.8333;N46.8500;13;
3;FRA;Centre;Cher;Saint-Aignan-des-Noyers 18196;E2.8167;N46.7667;13;
3;FRA;Centre;Cher;Saint-Amand-Montrond 18197;E2.5056;N46.7236;13;
3;FRA;Centre;Cher;Saint-Ambroix 18198;E2.1167;N46.9333;13;
3;FRA;Centre;Cher;Saint-Baudel 18199;E2.2167;N46.8333;13;
3;FRA;Centre;Cher;Saint-Bouize 18200;E2.8833;N47.2833;13;
3;FRA;Centre;Cher;Saint-Caprais 18201;E2.3000;N46.9667;13;
3;FRA;Centre;Cher;Saint-Céols 18202;E2.6333;N47.2167;13;
3;FRA;Centre;Cher;Saint-Christophe-le-Chaudry 18203;E2.3667;N46.5833;13;
3;FRA;Centre;Cher;Saint-Denis-de-Palin 18204;E2.5333;N46.9333;13;
3;FRA;Centre;Cher;Saint-Doulchard 18205;E2.3500;N47.1000;13;
3;FRA;Centre;Cher;Saint-Éloy-de-Gy 18206;E2.3500;N47.1500;13;
3;FRA;Centre;Cher;Saint-Florent-sur-Cher 18207;E2.2500;N46.9833;13;
3;FRA;Centre;Cher;Saint-Georges-de-Poisieux 18209;E2.4833;N46.6833;13;
3;FRA;Centre;Cher;Saint-Georges-sur-la-Prée 18210;E1.9333;N47.2167;13;
3;FRA;Centre;Cher;Saint-Georges-sur-Moulon 18211;E2.4333;N47.1833;13;
3;FRA;Centre;Cher;Saint-Germain-des-Bois 18212;E2.4500;N46.9167;13;
3;FRA;Centre;Cher;Saint-Germain-du-Puy 18213;E2.4833;N47.1000;13;
3;FRA;Centre;Cher;Saint-Hilaire-de-Court 18214;E2.0167;N47.2167;13;
3;FRA;Centre;Cher;Saint-Hilaire-de-Gondilly 18215;E2.8667;N47.0500;13;
3;FRA;Centre;Cher;Saint-Hilaire-en-Lignières 18216;E2.1667;N46.7333;13;
3;FRA;Centre;Cher;Saint-Jeanvrin 18217;E2.2333;N46.5833;13;
3;FRA;Centre;Cher;Saint-Just 18218;E2.5167;N46.9833;13;
3;FRA;Centre;Cher;Saint-Laurent 18219;E2.2000;N47.2167;13;
3;FRA;Centre;Cher;Saint-Léger-le-Petit 18220;E3.0000;N47.1167;13;
3;FRA;Centre;Cher;Saint-Loup-des-Chaumes 18221;E2.3833;N46.8167;13;
3;FRA;Centre;Cher;Saint-Martin-d'Auxigny 18223;E2.4167;N47.2000;13;
3;FRA;Centre;Cher;Saint-Martin-des-Champs 18224;E2.9167;N47.1500;13;
3;FRA;Centre;Cher;Saint-Maur 18225;E2.2833;N46.5667;13;
3;FRA;Centre;Cher;Saint-Michel-de-Volangis 18226;E2.5000;N47.1500;13;
3;FRA;Centre;Cher;Saint-Outrille 18228;E1.8409;N47.1439;13;
3;FRA;Centre;Cher;Saint-Palais 18229;E2.4167;N47.2333;13;
3;FRA;Centre;Cher;Saint-Pierre-les-Bois 18230;E2.2833;N46.6667;13;
3;FRA;Centre;Cher;Saint-Pierre-les-Étieux 18231;E2.6167;N46.7333;13;
3;FRA;Centre;Cher;Saint-Priest-la-Marche 18232;E2.1667;N46.4500;13;
3;FRA;Centre;Cher;Saint-Satur 18233;E2.8500;N47.3333;13;
3;FRA;Centre;Cher;Saint-Saturnin 18234;E2.2333;N46.5000;13;
3;FRA;Centre;Cher;Saint-Symphorien 18236;E2.3167;N46.8167;13;
3;FRA;Centre;Cher;Saint-Vitte 18238;E2.5333;N46.5333;13;
3;FRA;Centre;Cher;Sainte-Gemme-en-Sancerrois 18208;E2.8167;N47.3833;13;
3;FRA;Centre;Cher;Sainte-Lunaise 18222;E2.3500;N46.9333;13;
3;FRA;Centre;Cher;Sainte-Montaine 18227;E2.3167;N47.4833;13;
3;FRA;Centre;Cher;Sainte-Solange 18235;E2.5500;N47.1333;13;
3;FRA;Centre;Cher;Sainte-Thorette 18237;E2.2000;N47.0833;13;
3;FRA;Centre;Cher;Saligny-le-Vif 18239;E2.7667;N47.0500;13;
3;FRA;Centre;Cher;Sancergues 18240;E2.9167;N47.1500;13;
3;FRA;Centre;Cher;Sancerre 18241;E2.8333;N47.3333;13;
3;FRA;Centre;Cher;Sancoins 18242;E2.9167;N46.8333;13;
3;FRA;Centre;Cher;Santranges 18243;E2.7667;N47.5000;13;
3;FRA;Centre;Cher;Saugy 18244;E2.1333;N46.9667;13;
3;FRA;Centre;Cher;Saulzais-le-Potier 18245;E2.5000;N46.6000;13;
3;FRA;Centre;Cher;Savigny-en-Sancerre 18246;E2.8167;N47.4333;13;
3;FRA;Centre;Cher;Savigny-en-Septaine 18247;E2.5500;N47.0333;13;
3;FRA;Centre;Cher;Senneçay 18248;E2.4500;N46.9500;13;
