"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Champagne-Ardenne;Ardennes;;E4.6939;N49.6338;9;
3;FRA;Champagne-Ardenne;Ardennes;Acy-Romance 08001;E4.3333;N49.5000;13;
3;FRA;Champagne-Ardenne;Ardennes;Adon 08002=08113;E4.2694;N49.6342;13;
3;FRA;Champagne-Ardenne;Ardennes;Aiglemont 08003;E4.7833;N49.7833;13;
3;FRA;Champagne-Ardenne;Ardennes;Aire 08004;E4.1667;N49.4817;13;
3;FRA;Champagne-Ardenne;Ardennes;Alincourt 08005;E4.3500;N49.4000;13;
3;FRA;Champagne-Ardenne;Ardennes;Alland'Huy-et-Sausseuil 08006;E4.5667;N49.5167;13;
3;FRA;Champagne-Ardenne;Ardennes;Amagne 08008;E4.5000;N49.5167;13;
3;FRA;Champagne-Ardenne;Ardennes;Amblimont 08009;E5.0667;N49.6333;13;
3;FRA;Champagne-Ardenne;Ardennes;Ambly-Fleury 08010;E4.4833;N49.4833;13;
3;FRA;Champagne-Ardenne;Ardennes;Anchamps 08011;E4.6833;N49.9333;13;
3;FRA;Champagne-Ardenne;Ardennes;Andevanne 08012=08437;E5.0833;N49.3833;13;
3;FRA;Champagne-Ardenne;Ardennes;Angecourt 08013;E4.9833;N49.6333;13;
3;FRA;Champagne-Ardenne;Ardennes;Annelles 08014;E4.4167;N49.4333;13;
3;FRA;Champagne-Ardenne;Ardennes;Antheny 08015;E4.3167;N49.8500;13;
3;FRA;Champagne-Ardenne;Ardennes;Aouste 08016;E4.3167;N49.7833;13;
3;FRA;Champagne-Ardenne;Ardennes;Apremont 08017;E5.0000;N49.2667;13;
3;FRA;Champagne-Ardenne;Ardennes;Ardeuil-et-Montfauxelles 08018;E4.7167;N49.2667;13;
3;FRA;Champagne-Ardenne;Ardennes;Arnicourt 08021;E4.3500;N49.5500;13;
3;FRA;Champagne-Ardenne;Ardennes;Arreux 08022;E4.6500;N49.8333;13;
3;FRA;Champagne-Ardenne;Ardennes;Artaise-le-Vivier 08023;E4.9000;N49.5833;13;
3;FRA;Champagne-Ardenne;Ardennes;Asfeld 08024;E4.1167;N49.4667;13;
