"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Corse;Corse-du-Sud;;E8.93;N41.93;9;
3;FRA;Corse;Corse-du-Sud;Afa 2A001;E8.8;N41.983333;12;
3;FRA;Corse;Corse-du-Sud;Ajaccio 2A004;E8.733333;N41.916667;12;
3;FRA;Corse;Corse-du-Sud;Alata 2A006;E8.75;N41.95;12;
3;FRA;Corse;Corse-du-Sud;Albitreccia 2A008;E8.933333;N41.85;12;
3;FRA;Corse;Corse-du-Sud;Altagène 2A011;E9.066667;N41.7;12;
3;FRA;Corse;Corse-du-Sud;Ambiegna 2A014;E8.783333;N42.083333;12;
3;FRA;Corse;Corse-du-Sud;Appietto 2A017;E8.766667;N42;12;
3;FRA;Corse;Corse-du-Sud;Arbellara 2A018;E8.983333;N41.683333;12;
3;FRA;Corse;Corse-du-Sud;Arbori 2A019;E8.8;N42.133333;12;
3;FRA;Corse;Corse-du-Sud;Argiusta-Moriccio 2A021;E9.016667;N41.8;12;
3;FRA;Corse;Corse-du-Sud;Arro 2A022;E8.816667;N42.083333;12;
3;FRA;Corse;Corse-du-Sud;Aullène 2A024;E9.083333;N41.766667;12;
3;FRA;Corse;Corse-du-Sud;Azilone-Ampaza 2A026;E9.016667;N41.866667;12;
3;FRA;Corse;Corse-du-Sud;Azzana 2A027;E8.916667;N42.116667;12;
3;FRA;Corse;Corse-du-Sud;Balogna 2A028;E8.783333;N42.166667;12;
3;FRA;Corse;Corse-du-Sud;Bastelica 2A031;E9.05;N42;12;
3;FRA;Corse;Corse-du-Sud;Bastelicaccia 2A032;E8.8242;N41.9205;12;
3;FRA;Corse;Corse-du-Sud;Belvédère-Campomoro 2A035;E8.8093;N41.6238;12;
3;FRA;Corse;Corse-du-Sud;Bilia 2A038;E8.916667;N41.616667;12;
3;FRA;Corse;Corse-du-Sud;Bocognano 2A040;E9.066667;N42.083333;12;
3;FRA;Corse;Corse-du-Sud;Bonifacio 2A041;E9.166667;N41.391667;12;
3;FRA;Corse;Corse-du-Sud;Calcatoggio 2A048;E8.766667;N42.016667;12;
3;FRA;Corse;Corse-du-Sud;Campo 2A056;E9.003;N41.8887;12;
3;FRA;Corse;Corse-du-Sud;Cannelle 2A060;E8.833333;N42.05;12;
3;FRA;Corse;Corse-du-Sud;Carbini 2A061;E9.133333;N41.666667;12;
3;FRA;Corse;Corse-du-Sud;Carbuccia 2A062;E8.95;N42.033333;12;
3;FRA;Corse;Corse-du-Sud;Cardo-Torgia 2A064;E8.983333;N41.866667;12;
3;FRA;Corse;Corse-du-Sud;Cargèse 2A065;E8.583333;N42.133333;12;
3;FRA;Corse;Corse-du-Sud;Cargiaca 2A066;E9.05;N41.716667;12;
3;FRA;Corse;Corse-du-Sud;Casaglione 2A070;E8.783333;N42.066667;12;
3;FRA;Corse;Corse-du-Sud;Casalabriva 2A071;E8.933333;N41.75;12;
3;FRA;Corse;Corse-du-Sud;Cauro 2A085;E8.916667;N41.9;12;
3;FRA;Corse;Corse-du-Sud;Ciamannacce 2A089;E9.15;N41.95;12;
3;FRA;Corse;Corse-du-Sud;Coggia 2A090;E8.75;N42.116667;12;
3;FRA;Corse;Corse-du-Sud;Cognocoli-Monticchi 2A091;E8.9;N41.816667;12;
3;FRA;Corse;Corse-du-Sud;Conca 2A092;E9.333333;N41.733333;12;
3;FRA;Corse;Corse-du-Sud;Corrano 2A094;E9.066667;N41.883333;12;
3;FRA;Corse;Corse-du-Sud;Coti-Chiavari 2A098;E8.766667;N41.766667;12;
3;FRA;Corse;Corse-du-Sud;Cozzano 2A099;E9.15;N41.933333;12;
3;FRA;Corse;Corse-du-Sud;Cristinacce 2A100;E8.833333;N42.233333;12;
3;FRA;Corse;Corse-du-Sud;Cuttoli-Corticchiato 2A103;E8.9042;N41.9872;12;
3;FRA;Corse;Corse-du-Sud;Eccica-Suarella 2A104;E8.9042;N41.921;12;
3;FRA;Corse;Corse-du-Sud;Évisa 2A108;E8.8;N42.25;12;
3;FRA;Corse;Corse-du-Sud;Figari 2A114;E9.1247;N41.4867;12;
3;FRA;Corse;Corse-du-Sud;Foce 2A115;E9;N41.616667;12;
3;FRA;Corse;Corse-du-Sud;Forciolo 2A117;E9.016667;N41.85;12;
3;FRA;Corse;Corse-du-Sud;Fozzano 2A118;E9;N41.7;12;
3;FRA;Corse;Corse-du-Sud;Frasseto 2A119;E9.016667;N41.883333;12;
3;FRA;Corse;Corse-du-Sud;Giuncheto 2A127;E8.966667;N41.583333;12;
3;FRA;Corse;Corse-du-Sud;Granace 2A128;E9;N41.633333;12;
3;FRA;Corse;Corse-du-Sud;Grossa 2A129;E8.883333;N41.6;12;
3;FRA;Corse;Corse-du-Sud;Grosseto-Prugna 2A130;E8.966667;N41.866667;12;
3;FRA;Corse;Corse-du-Sud;Guagno 2A131;E8.933333;N42.166667;12;
3;FRA;Corse;Corse-du-Sud;Guargualé 2A132;E8.933333;N41.833333;12;
3;FRA;Corse;Corse-du-Sud;Guitera-les-Bains 2A133;E9.0855;N741.9088;12;
3;FRA;Corse;Corse-du-Sud;Lecci 2A139;E9.3175;N41.6747;12;
3;FRA;Corse;Corse-du-Sud;Letia 2A141;E8.833333;N42.183333;12;
3;FRA;Corse;Corse-du-Sud;Levie 2A142;E9.116667;N41.7;12;
3;FRA;Corse;Corse-du-Sud;Lopigna 2A144;E8.833333;N42.1;12;
3;FRA;Corse;Corse-du-Sud;Loreto-di-Tallano 2A146;E9.05;N41.716667;12;
3;FRA;Corse;Corse-du-Sud;Marignana 2A154;E8.8;N42.216667;12;
3;FRA;Corse;Corse-du-Sud;Mela 2A158;E9.0902;N41.6913;12;
3;FRA;Corse;Corse-du-Sud;Moca-Croce 2A160;E9;N41.8;12;
3;FRA;Corse;Corse-du-Sud;Monacia-d'Aullène 2A163;E9.016667;N41.516667;12;
3;FRA;Corse;Corse-du-Sud;Murzo 2A174;E8.833333;N42.166667;12;
3;FRA;Corse;Corse-du-Sud;Ocana 2A181;E8.933333;N41.95;12;
3;FRA;Corse;Corse-du-Sud;Olivese 2A186;E9.05;N41.833333;12;
3;FRA;Corse;Corse-du-Sud;Olmeto 2A189;E8.916667;N41.716667;12;
3;FRA;Corse;Corse-du-Sud;Olmiccia 2A191;E9.05;N41.683333;12;
3;FRA;Corse;Corse-du-Sud;Orto 2A196;E8.933333;N42.183333;12;
3;FRA;Corse;Corse-du-Sud;Osani 2A197;E8.633333;N42.316667;12;
3;FRA;Corse;Corse-du-Sud;Ota 2A198;E8.75;N42.266667;12;
3;FRA;Corse;Corse-du-Sud;Palneca 2A200;E9.166667;N41.966667;12;
3;FRA;Corse;Corse-du-Sud;Partinello 2A203;E8.683333;N42.3;12;
3;FRA;Corse;Corse-du-Sud;Pastricciola 2A204;E8.9842;N72.1378;12;
3;FRA;Corse;Corse-du-Sud;Peri 2A209;E8.916667;N42;12;
