"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Franche-Comté;Doubs;;E6.4215;N47.2401;9;
3;FRA;Franche-Comté;Doubs;Abbans-Dessous 25001;E5.8833;N47.1333;13;
3;FRA;Franche-Comté;Doubs;Abbans-Dessus 25002;E5.8833;N47.1167;13;
3;FRA;Franche-Comté;Doubs;Abbenans 25003;E6.4500;N47.5000;13;
3;FRA;Franche-Comté;Doubs;Abbévillers 25004;E6.9167;N47.4333;13;
3;FRA;Franche-Comté;Doubs;Accolans 25005;E6.5333;N47.5000;13;
3;FRA;Franche-Comté;Doubs;Adam-lès-Passavant 25006;E6.3667;N47.3000;13;
3;FRA;Franche-Comté;Doubs;Adam-lès-Vercel 25007;E6.4000;N47.1667;13;
3;FRA;Franche-Comté;Doubs;Aibre 25008;E6.7000;N47.5500;13;
3;FRA;Franche-Comté;Doubs;Aïssey 25009;E6.3333;N47.2667;13;
3;FRA;Franche-Comté;Doubs;Alaise 25010=25223;E5.9667;N47.0167;13;
3;FRA;Franche-Comté;Doubs;Allenjoie 25011;E6.9000;N47.5333;13;
3;FRA;Franche-Comté;Doubs;Allondans 25013;E6.7500;N47.5167;13;
3;FRA;Franche-Comté;Doubs;Amagney 25014;E6.1500;N47.3000;13;
3;FRA;Franche-Comté;Doubs;Amancey 25015;E6.0833;N47.0333;13;
3;FRA;Franche-Comté;Doubs;Amathay-Vésigneux 25016;E6.2000;N47.0167;13;
3;FRA;Franche-Comté;Doubs;Amondans 25017;E6.0333;N47.0667;13;
3;FRA;Franche-Comté;Doubs;Anteuil 25018;E6.5667;N47.3833;13;
3;FRA;Franche-Comté;Doubs;Appenans 25019;E5.8000;N47.1833;13;
3;FRA;Franche-Comté;Doubs;Arbouans 25020;E6.8167;N47.4833;13;
3;FRA;Franche-Comté;Doubs;Arc-et-Senans 25021;E5.7667;N47.0333;13;
3;FRA;Franche-Comté;Doubs;Arc-sous-Cicon 25025;E6.3833;N47.0500;13;
3;FRA;Franche-Comté;Doubs;Arc-sous-Montenot 25026;E6.0000;N46.9167;13;
3;FRA;Franche-Comté;Doubs;Arcey 25022;E6.6667;N47.5167;13;
3;FRA;Franche-Comté;Doubs;Arcier 25023=25575;E6.1208;N47.2709;13;
3;FRA;Franche-Comté;Doubs;Arçon 25024;E6.3833;N46.9500;13;
3;FRA;Franche-Comté;Doubs;Arguel 25027;E6.0000;N47.2000;13;
3;FRA;Franche-Comté;Doubs;Athose 25028;E6.3167;N47.0833;13;
3;FRA;Franche-Comté;Doubs;Aubonne 25029;E6.3333;N47.0333;13;
3;FRA;Franche-Comté;Doubs;Audeux 25030;E5.8833;N47.2667;13;
3;FRA;Franche-Comté;Doubs;Audincourt 25031;E6.8333;N47.4833;13;
3;FRA;Franche-Comté;Doubs;Autechaux 25032;E6.3833;N47.3833;13;
3;FRA;Franche-Comté;Doubs;Autechaux-Roide 25033;E6.8167;N47.3833;13;
3;FRA;Franche-Comté;Doubs;Auxon-Dessous 25034;E5.9500;N47.3000;13;
3;FRA;Franche-Comté;Doubs;Auxon-Dessus 25035;E5.9667;N47.3000;13;
3;FRA;Franche-Comté;Doubs;Avanne-Aveney 25036;E5.9609;N47.1977;13;
3;FRA;Franche-Comté;Doubs;Aveney 25037=25036;E5.9667;N47.2000;13;
3;FRA;Franche-Comté;Doubs;Avilley 25038;E6.2667;N47.4333;13;
3;FRA;Franche-Comté;Doubs;Avoudrey 25039;E6.4333;N47.1333;13;
3;FRA;Franche-Comté;Doubs;Badevel 25040;E6.9333;N47.5000;13;
3;FRA;Franche-Comté;Doubs;Bannans 25041;E6.2333;N46.8833;13;
3;FRA;Franche-Comté;Doubs;Bart 25043;E6.7667;N47.4833;13;
