"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Haute-Normandie;Eure;;E0.95;N49.14;9;
3;FRA;Haute-Normandie;Eure;Aclou 27001;E0.7000;N49.1667;13;
3;FRA;Haute-Normandie;Eure;Acon 27002;E1.1000;N48.7667;13;
3;FRA;Haute-Normandie;Eure;Acquigny 27003;E1.1833;N49.1667;13;
3;FRA;Haute-Normandie;Eure;Aigleville 27004;E1.4167;N49.0000;13;
3;FRA;Haute-Normandie;Eure;Ailly 27005;E1.2440;N49.1616;13;
3;FRA;Haute-Normandie;Eure;Aizier 27006;E0.6333;N49.4333;13;
3;FRA;Haute-Normandie;Eure;Ajou 27007;E0.7833;N48.9833;13;
3;FRA;Haute-Normandie;Eure;Alizay 27008;E1.1833;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Ambenay 27009;E0.7333;N48.8333;13;
3;FRA;Haute-Normandie;Eure;Amécourt 27010;E1.7333;N49.3833;13;
3;FRA;Haute-Normandie;Eure;Amfreville-la-Campagne 27011;E0.9500;N49.2167;13;
3;FRA;Haute-Normandie;Eure;Amfreville-les-Champs 27012;E1.3167;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Amfreville-sous-les-Monts 27013;E1.2667;N49.3000;13;
3;FRA;Haute-Normandie;Eure;Amfreville-sur-Iton 27014;E1.1500;N49.1500;13;
3;FRA;Haute-Normandie;Eure;Andé 27015;E1.2333;N49.2333;13;
3;FRA;Haute-Normandie;Eure;Angerville-la-Campagne 27017;E1.1667;N48.9917;13;
3;FRA;Haute-Normandie;Eure;Appeville-Annebault 27018;E0.6500;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Armentières-sur-Avre 27019;E0.7847;N48.6796;13;
3;FRA;Haute-Normandie;Eure;Arnières-sur-Iton 27020;E1.1167;N48.9833;13;
3;FRA;Haute-Normandie;Eure;Asnières 27021;E0.3833;N49.2000;13;
3;FRA;Haute-Normandie;Eure;Aubevoye 27022;E1.3333;N49.1500;13;
3;FRA;Haute-Normandie;Eure;Aulnay-sur-Iton 27023;E1.0500;N49.0000;13;
3;FRA;Haute-Normandie;Eure;Autheuil-Authouillet 27025;E1.2863;N49.0910;13;
3;FRA;Haute-Normandie;Eure;Authevernes 27026;E1.6333;N49.2167;13;
3;FRA;Haute-Normandie;Eure;Authou 27028;E0.7000;N49.2333;13;
3;FRA;Haute-Normandie;Eure;Authouillet 27029=27025;E1.2833;N49.1000;13;
3;FRA;Haute-Normandie;Eure;Auvergny 27030=27427;E0.7333;N48.8833;13;
3;FRA;Haute-Normandie;Eure;Aviron 27031;E1.1167;N49.0500;13;
3;FRA;Haute-Normandie;Eure;Avrilly 27032;E1.1500;N48.9333;13;
3;FRA;Haute-Normandie;Eure;Bacquepuis 27033;E1.0500;N49.0833;13;
3;FRA;Haute-Normandie;Eure;Bacqueville 27034;E1.3667;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Bailleul-la-Vallée 27035;E0.4333;N49.2000;13;
3;FRA;Haute-Normandie;Eure;Bâlines 27036;E0.9778;N48.7433;13;
3;FRA;Haute-Normandie;Eure;Barc 27037;E0.8167;N49.0667;13;
3;FRA;Haute-Normandie;Eure;Barneville-sur-Seine 27039;E0.8500;N49.3833;13;
3;FRA;Haute-Normandie;Eure;Barquet 27040;E0.8667;N49.0500;13;
3;FRA;Haute-Normandie;Eure;Barville 27042;E0.4778;N49.1573;13;
3;FRA;Haute-Normandie;Eure;Bazincourt-sur-Epte 27045;E1.7667;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Bazoques 27046;E0.5500;N49.1667;13;
3;FRA;Haute-Normandie;Eure;Beaubray 27047;E0.9167;N48.9167;13;
3;FRA;Haute-Normandie;Eure;Beauficel-en-Lyons 27048;E1.5333;N49.4000;13;
3;FRA;Haute-Normandie;Eure;Beaumesnil 27049;E0.7167;N49.0167;13;
3;FRA;Haute-Normandie;Eure;Beaumont-le-Roger 27051;E0.7833;N49.0833;13;
3;FRA;Haute-Normandie;Eure;Beaumontel 27050;E0.7667;N49.0833;13;
3;FRA;Haute-Normandie;Eure;Bémécourt 27054;E0.8833;N48.8500;13;
3;FRA;Haute-Normandie;Eure;Bérengeville-la-Campagne 27055;E1.0667;N49.1000;13;
3;FRA;Haute-Normandie;Eure;Bernay 27056;E0.6000;N49.1000;13;
3;FRA;Haute-Normandie;Eure;Bernienville 27057;E1.0333;N49.0833;13;
3;FRA;Haute-Normandie;Eure;Bernières-sur-Seine 27058;E1.3500;N49.2333;13;
3;FRA;Haute-Normandie;Eure;Bernouville 27059;E1.7000;N49.3000;13;
3;FRA;Haute-Normandie;Eure;Berthenonville 27060;E1.6667;N49.1833;13;
3;FRA;Haute-Normandie;Eure;Berthouville 27061;E0.6333;N49.1833;13;
3;FRA;Haute-Normandie;Eure;Berville-en-Roumois 27062;E0.8333;N49.3000;13;
3;FRA;Haute-Normandie;Eure;Berville-la-Campagne 27063;E0.9000;N49.0333;13;
3;FRA;Haute-Normandie;Eure;Berville-sur-Mer 27064;E0.3667;N49.4333;13;
3;FRA;Haute-Normandie;Eure;Beuzeville 27065;E0.3500;N49.3333;13;
3;FRA;Haute-Normandie;Eure;Bézu-la-Forêt 27066;E1.6333;N49.4167;13;
3;FRA;Haute-Normandie;Eure;Bézu-Saint-Éloi 27067;E1.7000;N49.3000;13;
3;FRA;Haute-Normandie;Eure;Bois-Anzeray 27068;E0.7000;N48.9167;13;
3;FRA;Haute-Normandie;Eure;Bois-Arnault 27069;E0.7333;N48.8167;13;
3;FRA;Haute-Normandie;Eure;Bois-Jérôme-Saint-Ouen 27072;E1.5333;N49.1167;13;
3;FRA;Haute-Normandie;Eure;Bois-le-Roi 27073;E1.3500;N48.8667;13;
3;FRA;Haute-Normandie;Eure;Bois-Normand-près-Lyre 27075;E0.7000;N48.9000;13;
3;FRA;Haute-Normandie;Eure;Boisemont 27070;E1.5000;N49.2833;13;
3;FRA;Haute-Normandie;Eure;Boisney 27074;E0.6500;N49.1500;13;
3;FRA;Haute-Normandie;Eure;Boisset-les-Prévanches 27076;E1.3333;N48.9667;13;
3;FRA;Haute-Normandie;Eure;Boissey-le-Châtel 27077;E0.7833;N49.2667;13;
3;FRA;Haute-Normandie;Eure;Boissy-Lamberville 27079;E0.5833;N49.1667;13;
3;FRA;Haute-Normandie;Eure;Boissy-sur-Damville 27080=27416;E1.1167;N48.8333;13;
3;FRA;Haute-Normandie;Eure;Boncourt 27081;E1.3000;N49.0333;13;
3;FRA;Haute-Normandie;Eure;Bonneville-Aptot 27083;E0.7667;N49.2500;13;
3;FRA;Haute-Normandie;Eure;Bosc-Bénard-Commin 27084;E0.8333;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Bosc-Bénard-Crescy 27085;E0.8000;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Bosc-Renoult-en-Ouche 27088;E0.7000;N48.9500;13;
3;FRA;Haute-Normandie;Eure;Bosc-Renoult-en-Roumois 27089;E0.7767;N49.2943;13;
3;FRA;Haute-Normandie;Eure;Boscherville 27086=27105;E0.8833;N49.2833;13;
3;FRA;Haute-Normandie;Eure;Bosgouet 27091;E0.8500;N49.3500;13;
3;FRA;Haute-Normandie;Eure;Bosguérard-de-Marcouville 27092;E0.8333;N49.2667;13;
3;FRA;Haute-Normandie;Eure;Bosnormand 27093;E0.9000;N49.2833;13;
3;FRA;Haute-Normandie;Eure;Bosquentin 27094;E1.5833;N49.4167;13;
3;FRA;Haute-Normandie;Eure;Bosrobert 27095;E0.7500;N49.2333;13;
3;FRA;Haute-Normandie;Eure;Bouafles 27097;E1.3833;N49.2167;13;
3;FRA;Haute-Normandie;Eure;Bouchevilliers 27098;E1.7000;N49.4000;13;
3;FRA;Haute-Normandie;Eure;Boulleville 27100;E0.3833;N49.3667;13;
3;FRA;Haute-Normandie;Eure;Bouquelon 27101;E0.4833;N49.4000;13;
3;FRA;Haute-Normandie;Eure;Bouquetot 27102;E0.7833;N49.3667;13;
3;FRA;Haute-Normandie;Eure;Bourg-Achard 27103;E0.8167;N49.3500;13;
3;FRA;Haute-Normandie;Eure;Bourg-Beaudouin 27104;E1.2995;N49.3836;13;
3;FRA;Haute-Normandie;Eure;Bourgtheroulde-Infreville 27105;E0.8833;N49.3000;13;
3;FRA;Haute-Normandie;Eure;Bournainville-Faverolles 27106;E0.4833;N49.1333;13;
3;FRA;Haute-Normandie;Eure;Bourneville 27107;E0.6167;N49.3833;13;
3;FRA;Haute-Normandie;Eure;Bourth 27108;E0.8167;N48.7667;13;
3;FRA;Haute-Normandie;Eure;Bray 27109;E0.8500;N49.1000;13;
3;FRA;Haute-Normandie;Eure;Brestot 27110;E0.6833;N49.3500;13;
3;FRA;Haute-Normandie;Eure;Bretagnolles 27111;E1.3525;N48.9514;13;
3;FRA;Haute-Normandie;Eure;Breteuil 27112;E0.9179;N48.8363;13;
3;FRA;Haute-Normandie;Eure;Brétigny 27113;E0.6750;N49.2167;13;
3;FRA;Haute-Normandie;Eure;Breuilpont 27114;E1.4333;N48.9667;13;
3;FRA;Haute-Normandie;Eure;Breux-sur-Avre 27115;E1.0833;N48.7667;13;
3;FRA;Haute-Normandie;Eure;Brionne 27116;E0.7167;N49.2000;13;
3;FRA;Haute-Normandie;Eure;Broglie 27117;E0.5333;N49.0167;13;
3;FRA;Haute-Normandie;Eure;Brosville 27118;E1.1167;N49.1000;13;
3;FRA;Haute-Normandie;Eure;Bueil 27119;E1.4500;N48.9333;13;
3;FRA;Haute-Normandie;Eure;Buis-sur-Damville 27416;E1.1214;N48.8314;13;
3;FRA;Haute-Normandie;Eure;Burey 27120;E0.9500;N48.9833;13;
3;FRA;Haute-Normandie;Eure;Bus-Saint-Rémy 27121;E1.6167;N49.1500;13;
3;FRA;Haute-Normandie;Eure;Cahaignes 27122;E1.6000;N49.2000;13;
3;FRA;Haute-Normandie;Eure;Caillouet-Orgeville 27123;E1.3167;N49.0000;13;
3;FRA;Haute-Normandie;Eure;Cailly-sur-Eure 27124;E1.2167;N49.1167;13;
3;FRA;Haute-Normandie;Eure;Calleville 27125;E0.7667;N49.2000;13;
3;FRA;Haute-Normandie;Eure;Campigny 27126;E0.5500;N49.3167;13;
3;FRA;Haute-Normandie;Eure;Canappeville 27127;E1.1000;N49.1500;13;
3;FRA;Haute-Normandie;Eure;Cantiers 27128;E1.5833;N49.2333;13;
3;FRA;Haute-Normandie;Eure;Caorches-Saint-Nicolas 27129;E0.5528;N49.0829;13;
3;FRA;Haute-Normandie;Eure;Capelle-les-Grands 27130;E0.4734;N49.0462;13;
3;FRA;Haute-Normandie;Eure;Carsix 27131;E0.6667;N49.1333;13;
3;FRA;Haute-Normandie;Eure;Caugé 27132;E1.0333;N49.0167;13;
3;FRA;Haute-Normandie;Eure;Caumont 27133;E0.9000;N49.3667;13;
3;FRA;Haute-Normandie;Eure;Cauverville-en-Roumois 27134;E0.6500;N49.3500;13;
3;FRA;Haute-Normandie;Eure;Cesseville 27135;E0.9833;N49.1833;13;
3;FRA;Haute-Normandie;Eure;Chaignes 27136;E1.4500;N49.0167;13;
3;FRA;Haute-Normandie;Eure;Chaise-Dieu-du-Theil 27137;E0.7667;N48.7667;13;
