"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Île-de-FRA;Essonne;;E2.3016;N48.6075;9;
3;FRA;Île-de-FRA;Essonne;Abbéville-la-Rivière 91001;E2.1667;N48.3500;13;
3;FRA;Île-de-FRA;Essonne;Angerville 91016;E2.0000;N48.3167;13;
3;FRA;Île-de-FRA;Essonne;Angervilliers 91017;E2.0667;N48.5833;13;
3;FRA;Île-de-FRA;Essonne;Arpajon 91021;E2.2500;N48.5833;13;
3;FRA;Île-de-FRA;Essonne;Arrancourt 91022;E2.1667;N48.3333;13;
3;FRA;Île-de-FRA;Essonne;Athis-Mons 91027;E2.4000;N48.7167;13;
3;FRA;Île-de-FRA;Essonne;Authon-la-Plaine 91035;E1.9500;N48.4500;13;
3;FRA;Île-de-FRA;Essonne;Auvernaux 91037;E2.4833;N48.5333;13;
3;FRA;Île-de-FRA;Essonne;Auvers-Saint-Georges 91038;E2.2333;N48.4833;13;
3;FRA;Île-de-FRA;Essonne;Avrainville 91041;E2.2500;N48.5667;13;
3;FRA;Île-de-FRA;Essonne;Ballainvilliers 91044;E2.2833;N48.6667;13;
3;FRA;Île-de-FRA;Essonne;Ballancourt-sur-Essonne 91045;E2.3855;N48.5250;13;
3;FRA;Île-de-FRA;Essonne;Baulne 91047;E2.3500;N48.5000;13;
3;FRA;Île-de-FRA;Essonne;Bièvres 91064;E2.2167;N48.7500;13;
3;FRA;Île-de-FRA;Essonne;Blandy 91067;E2.2583;N48.3167;13;
3;FRA;Île-de-FRA;Essonne;Boigneville 91069;E2.3667;N48.3333;13;
3;FRA;Île-de-FRA;Essonne;Bois-Herpin 91075;E2.2333;N48.3667;13;
3;FRA;Île-de-FRA;Essonne;Boissy-la-Rivière 91079;E2.1500;N48.3667;13;
3;FRA;Île-de-FRA;Essonne;Boissy-le-Cutté 91080;E2.2833;N48.4667;13;
3;FRA;Île-de-FRA;Essonne;Boissy-le-Sec 91081;E2.0833;N48.4667;13;
3;FRA;Île-de-FRA;Essonne;Boissy-sous-Saint-Yon 91085;E2.2167;N48.5500;13;
3;FRA;Île-de-FRA;Essonne;Bondoufle 91086;E2.3833;N48.6167;13;
3;FRA;Île-de-FRA;Essonne;Boullay-les-Troux 91093;E2.0500;N48.6833;13;
3;FRA;Île-de-FRA;Essonne;Bouray-sur-Juine 91095;E2.3000;N48.5167;13;
3;FRA;Île-de-FRA;Essonne;Boussy-Saint-Antoine 91097;E2.5333;N48.6833;13;
3;FRA;Île-de-FRA;Essonne;Boutervilliers 91098;E2.0500;N48.4500;13;
3;FRA;Île-de-FRA;Essonne;Boutigny-sur-Essonne 91099;E2.3769;N48.4360;13;
3;FRA;Île-de-FRA;Essonne;Bouville 91100;E2.3000;N48.4333;13;
