"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Languedoc-Roussillon;Aude;;E2.30;N43.05;10;
3;FRA;Languedoc-Roussillon;Aude;Aigues-Vives 11001;E2.5342;N43.2305;13;
3;FRA;Languedoc-Roussillon;Aude;Airoux 11002;E1.8667;N43.3667;13;
3;FRA;Languedoc-Roussillon;Aude;Ajac 11003;E2.1500;N43.0500;13;
3;FRA;Languedoc-Roussillon;Aude;Alaigne 11004;E2.1000;N43.1167;13;
3;FRA;Languedoc-Roussillon;Aude;Alairac 11005;E2.2500;N43.1833;13;
3;FRA;Languedoc-Roussillon;Aude;Albas 11006;E2.7333;N43.0000;13;
3;FRA;Languedoc-Roussillon;Aude;Albières 11007;E2.4833;N42.9500;13;
3;FRA;Languedoc-Roussillon;Aude;Alet-les-Bains 11008;E2.2667;N43.0000;13;
3;FRA;Languedoc-Roussillon;Aude;Alzonne 11009;E2.1833;N43.2667;13;
3;FRA;Languedoc-Roussillon;Aude;Antugnac 11010;E2.2333;N42.9500;13;
3;FRA;Languedoc-Roussillon;Aude;Aragon 11011;E2.3167;N43.3000;13;
3;FRA;Languedoc-Roussillon;Aude;Argeliers 11012;E2.9167;N43.3167;13;
3;FRA;Languedoc-Roussillon;Aude;Argens-Minervois 11013;E2.7673;N43.2415;13;
3;FRA;Languedoc-Roussillon;Aude;Armissan 11014;E3.1000;N43.1833;13;
3;FRA;Languedoc-Roussillon;Aude;Arques 11015;E2.3833;N42.9500;13;
3;FRA;Languedoc-Roussillon;Aude;Arquettes-en-Val 11016;E2.5020;N43.1041;13;
3;FRA;Languedoc-Roussillon;Aude;Artigues 11017;E2.2167;N42.8000;13;
3;FRA;Languedoc-Roussillon;Aude;Arzens 11018;E2.2167;N43.2000;13;
3;FRA;Languedoc-Roussillon;Aude;Aunat 11019;E2.1000;N42.8000;13;
3;FRA;Languedoc-Roussillon;Aude;Auriac 11020;E2.5000;N42.9333;13;
3;FRA;Languedoc-Roussillon;Aude;Axat 11021;E2.2333;N42.8000;13;
3;FRA;Languedoc-Roussillon;Aude;Azille 11022;E2.6667;N43.2833;13;
3;FRA;Languedoc-Roussillon;Aude;Badens 11023;E2.5167;N43.2167;13;
3;FRA;Languedoc-Roussillon;Aude;Bages 11024;E2.9915;N43.1233;13;
3;FRA;Languedoc-Roussillon;Aude;Bagnoles 11025;E2.4364;N43.2712;13;
3;FRA;Languedoc-Roussillon;Aude;Baraigne 11026;E1.8333;N43.3333;13;
3;FRA;Languedoc-Roussillon;Aude;Barbaira 11027;E2.5167;N43.1833;13;
3;FRA;Languedoc-Roussillon;Aude;Belcaire 11028;E1.9667;N42.8167;13;
3;FRA;Languedoc-Roussillon;Aude;Belcastel-et-Buc 11029;E2.3667;N43.0333;13;
3;FRA;Languedoc-Roussillon;Aude;Belflou 11030;E1.7833;N43.3167;13;
3;FRA;Languedoc-Roussillon;Aude;Belfort-sur-Rebenty 11031;E2.0500;N42.8333;13;
3;FRA;Languedoc-Roussillon;Aude;Bellegarde-du-Razès 11032;E2.0167;N43.1000;13;
3;FRA;Languedoc-Roussillon;Aude;Belpech 11033;E1.7500;N43.2000;13;
3;FRA;Languedoc-Roussillon;Aude;Belvèze-du-Razès 11034;E2.1000;N43.1333;13;
3;FRA;Languedoc-Roussillon;Aude;Belvianes-et-Cavirac 11035;E2.2000;N42.8500;13;
3;FRA;Languedoc-Roussillon;Aude;Belvis 11036;E2.0833;N42.8500;13;
3;FRA;Languedoc-Roussillon;Aude;Berriac 11037;E2.4167;N43.2167;13;
3;FRA;Languedoc-Roussillon;Aude;Bessède-de-Sault 11038;E2.1167;N42.7833;13;
3;FRA;Languedoc-Roussillon;Aude;Bizanet 11040;E2.8833;N43.1667;13;
3;FRA;Languedoc-Roussillon;Aude;Bize-Minervois 11041;E2.8833;N43.3167;13;
3;FRA;Languedoc-Roussillon;Aude;Blomac 11042;E2.6000;N43.2000;13;
3;FRA;Languedoc-Roussillon;Aude;Bouilhonnac 11043;E2.4333;N43.2333;13;
3;FRA;Languedoc-Roussillon;Aude;Bouisse 11044;E2.4500;N42.9833;13;
3;FRA;Languedoc-Roussillon;Aude;Bouriège 11045;E2.1667;N42.9833;13;
3;FRA;Languedoc-Roussillon;Aude;Bourigeole 11046;E2.1333;N42.9833;13;
3;FRA;Languedoc-Roussillon;Aude;Boutenac 11048;E2.8000;N43.1333;13;
3;FRA;Languedoc-Roussillon;Aude;Bram 11049;E2.1167;N43.2500;13;
3;FRA;Languedoc-Roussillon;Aude;Brenac 11050;E2.1500;N42.8833;13;
3;FRA;Languedoc-Roussillon;Aude;Brézilhac 11051;E2.0667;N43.1667;13;
3;FRA;Languedoc-Roussillon;Aude;Brousses-et-Villaret 11052;E2.2667;N43.3500;13;
3;FRA;Languedoc-Roussillon;Aude;Brugairolles 11053;E2.1500;N43.1167;13;
3;FRA;Languedoc-Roussillon;Aude;Bugarach 11055;E2.3500;N42.8833;13;
3;FRA;Languedoc-Roussillon;Aude;Cabrespine 11056;E2.4667;N43.3667;13;
3;FRA;Languedoc-Roussillon;Aude;Cahuzac 11057;E1.8500;N43.1833;13;
3;FRA;Languedoc-Roussillon;Aude;Cailhau 11058;E2.1333;N43.1500;13;
3;FRA;Languedoc-Roussillon;Aude;Cailhavel 11059;E2.1167;N43.1667;13;
3;FRA;Languedoc-Roussillon;Aude;Cailla 11060;E2.2000;N42.8167;13;
3;FRA;Languedoc-Roussillon;Aude;Cambieure 11061;E2.1333;N43.1167;13;
3;FRA;Languedoc-Roussillon;Aude;Campagna-de-Sault 11062;E2.0500;N42.7667;13;
3;FRA;Languedoc-Roussillon;Aude;Campagne-sur-Aude 11063;E2.2000;N42.9167;13;
3;FRA;Languedoc-Roussillon;Aude;Camplong-d'Aude 11064;E2.6500;N43.1333;13;
3;FRA;Languedoc-Roussillon;Aude;Camps-sur-l'Agly 11065;E2.4333;N42.8667;13;
3;FRA;Languedoc-Roussillon;Aude;Camurac 11066;E1.9167;N42.8000;13;
3;FRA;Languedoc-Roussillon;Aude;Canet 11067;E2.8475;N43.2288;13;
3;FRA;Languedoc-Roussillon;Aude;Capendu 11068;E2.5667;N43.1833;13;
3;FRA;Languedoc-Roussillon;Aude;Carcassonne 11069;E2.3500;N43.2167;13;
3;FRA;Languedoc-Roussillon;Aude;Carlipa 11070;E2.1167;N43.3000;13;
3;FRA;Languedoc-Roussillon;Aude;Cascastel-des-Corbières 11071;E2.7500;N42.9833;13;
3;FRA;Languedoc-Roussillon;Aude;Cassaignes 11073;E2.3000;N42.9500;13;
3;FRA;Languedoc-Roussillon;Aude;Castans 11075;E2.4833;N43.4000;13;
3;FRA;Languedoc-Roussillon;Aude;Castelnau-d'Aude 11077;E2.6833;N43.2333;13;
3;FRA;Languedoc-Roussillon;Aude;Castelnaudary 11076;E1.9500;N43.3167;13;
3;FRA;Languedoc-Roussillon;Aude;Castelreng 11078;E2.1333;N43.0333;13;
3;FRA;Languedoc-Roussillon;Aude;Caudebronde 11079;E2.3000;N43.3833;13;
3;FRA;Languedoc-Roussillon;Aude;Caudeval 11080;E1.9500;N43.0667;13;
3;FRA;Languedoc-Roussillon;Aude;Caunes-Minervois 11081;E2.5333;N43.3167;13;
3;FRA;Languedoc-Roussillon;Aude;Caunette-sur-Lauquet 11082;E2.4333;N43.0333;13;
3;FRA;Languedoc-Roussillon;Aude;Caunettes-en-Val 11083;E2.5500;N43.0667;13;
3;FRA;Languedoc-Roussillon;Aude;Caux-et-Sauzens 11084;E2.2500;N43.2333;13;
3;FRA;Languedoc-Roussillon;Aude;Cavanac 11085;E2.3333;N43.1667;13;
3;FRA;Languedoc-Roussillon;Aude;Caves 11086;E2.9833;N42.9333;13;
3;FRA;Languedoc-Roussillon;Aude;Cazalrenoux 11087;E1.9500;N43.2000;13;
3;FRA;Languedoc-Roussillon;Aude;Cazilhac 11088;E2.3614;N43.1821;13;
3;FRA;Languedoc-Roussillon;Aude;Cenne-Monestiés 11089;E2.1167;N43.3333;13;
3;FRA;Languedoc-Roussillon;Aude;Cépie 11090;E2.2500;N43.1000;13;
3;FRA;Languedoc-Roussillon;Aude;Chalabre 11091;E2.0000;N42.9833;13;
3;FRA;Languedoc-Roussillon;Aude;Citou 11092;E2.5500;N43.3833;13;
3;FRA;Languedoc-Roussillon;Aude;Clermont-sur-Lauquet 11094;E2.4167;N43.0500;13;
3;FRA;Languedoc-Roussillon;Aude;Comigne 11095;E2.5833;N43.1667;13;
3;FRA;Languedoc-Roussillon;Aude;Comus 11096;E1.8833;N42.8167;13;
