"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Limousin;Corrèze;;E1.73;N45.28;9;
3;FRA;Limousin;Corrèze;Affieux 19001;E1.7642;N45.5209;13;
3;FRA;Limousin;Corrèze;Aix 19002;E2.3833;N45.6167;13;
3;FRA;Limousin;Corrèze;Albignac 19003;E1.6771;N45.1383;13;
3;FRA;Limousin;Corrèze;Albussac 19004;E1.8347;N45.1398;13;
3;FRA;Limousin;Corrèze;Allassac 19005;E1.4751;N45.2582;13;
3;FRA;Limousin;Corrèze;Alleyrat 19006;E2.2158;N45.5762;13;
3;FRA;Limousin;Corrèze;Altillac 19007;E1.8478;N44.9782;13;
3;FRA;Limousin;Corrèze;Ambrugeat 19008;E2.1197;N45.5285;13;
3;FRA;Limousin;Corrèze;Argentat 19010;E1.9372;N45.0947;13;
3;FRA;Limousin;Corrèze;Arnac-Pompadour 19011;E1.3667;N45.4167;13;
3;FRA;Limousin;Corrèze;Astaillac 19012;E1.8304;N44.9536;13;
3;FRA;Limousin;Corrèze;Aubazines 19013;E1.6703;N45.1744;13;
3;FRA;Limousin;Corrèze;Auriac 19014;E2.1667;N45.2000;13;
3;FRA;Limousin;Corrèze;Ayen 19015;E1.3167;N45.2500;13;
3;FRA;Limousin;Corrèze;Bar 19016;E1.8167;N45.3500;13;
3;FRA;Limousin;Corrèze;Bassignac-le-Bas 19017;E1.8667;N45.0167;13;
3;FRA;Limousin;Corrèze;Bassignac-le-Haut 19018;E2.0667;N45.2167;13;
3;FRA;Limousin;Corrèze;Beaulieu-sur-Dordogne 19019;E1.8333;N44.9833;13;
3;FRA;Limousin;Corrèze;Beaumont 19020;E1.8026;N45.4222;13;
3;FRA;Limousin;Corrèze;Bellechassagne 19021;E2.2333;N45.6500;13;
3;FRA;Limousin;Corrèze;Benayes 19022;E1.4667;N45.5167;13;
3;FRA;Limousin;Corrèze;Beynat 19023;E1.8019;N45.4223;13;
3;FRA;Limousin;Corrèze;Beyssac 19024;E1.4000;N45.3667;13;
3;FRA;Limousin;Corrèze;Beyssenac 19025;E1.2667;N45.4000;13;
3;FRA;Limousin;Corrèze;Billac 19026;E1.7833;N44.9500;13;
3;FRA;Limousin;Corrèze;Bonnefond 19027;E1.9833;N45.5333;13;
3;FRA;Limousin;Corrèze;Bort-les-Orgues 19028;E2.5000;N45.4000;13;
3;FRA;Limousin;Corrèze;Branceilles 19029;E1.7000;N45.0167;13;
3;FRA;Limousin;Corrèze;Brignac-la-Plaine 19030;E1.3333;N45.1833;13;
3;FRA;Limousin;Corrèze;Brive-la-Gaillarde 19031;E1.5333;N45.1500;13;
3;FRA;Limousin;Corrèze;Brivezac 19032;E1.8500;N45.0333;13;
3;FRA;Limousin;Corrèze;Bugeat 19033;E1.9333;N45.6000;13;
3;FRA;Limousin;Corrèze;Camps-Saint-Mathurin-Léobazel 19034;E1.9896;N44.9832;13;
3;FRA;Limousin;Corrèze;Chabrignac 19035;E1.3333;N45.3167;13;
3;FRA;Limousin;Corrèze;Chamberet 19036;E1.7167;N45.5833;13;
3;FRA;Limousin;Corrèze;Chamboulive 19037;E1.7000;N45.4333;13;
3;FRA;Limousin;Corrèze;Chameyrat 19038;E1.7000;N45.2333;13;
3;FRA;Limousin;Corrèze;Champagnac-la-Noaille 19039;E2.0167;N45.3167;13;
3;FRA;Limousin;Corrèze;Champagnac-la-Prune 19040;E1.9833;N45.1833;13;
3;FRA;Limousin;Corrèze;Chanac-les-Mines 19041;E1.8167;N45.2667;13;
3;FRA;Limousin;Corrèze;Chanteix 19042;E1.6333;N45.3000;13;
3;FRA;Limousin;Corrèze;Chapelle-Spinasse 19046;E2.0426;N45.3602;13;
3;FRA;Limousin;Corrèze;Chartrier-Ferrière 19047;E1.4333;N45.0667;13;
3;FRA;Limousin;Corrèze;Chasteaux 19049;E1.4667;N45.1000;13;
3;FRA;Limousin;Corrèze;Chauffour-sur-Vell 19050;E1.6667;N45.0167;13;
3;FRA;Limousin;Corrèze;Chaumeil 19051;E1.8813;N45.4561;13;
3;FRA;Limousin;Corrèze;Chavanac 19052;E2.1000;N45.6333;13;
3;FRA;Limousin;Corrèze;Chaveroche 19053;E2.2500;N45.5833;13;
3;FRA;Limousin;Corrèze;Chenailler-Mascheix 19054;E1.8047;N45.0696;13;
3;FRA;Limousin;Corrèze;Chirac-Bellevue 19055;E2.3167;N45.4500;13;
3;FRA;Limousin;Corrèze;Clergoux 19056;E1.9833;N45.2833;13;
3;FRA;Limousin;Corrèze;Collonges-la-Rouge 19057;E1.6556;N45.0619;13;
3;FRA;Limousin;Corrèze;Combressol 19058;E2.1667;N45.4833;13;
3;FRA;Limousin;Corrèze;Concèze 19059;E1.3500;N45.3500;13;
3;FRA;Limousin;Corrèze;Condat-sur-Ganaveix 19060;E1.6000;N45.4667;13;
3;FRA;Limousin;Corrèze;Confolent-Port-Dieu 19167;E2.5167;N45.5500;13;
3;FRA;Limousin;Corrèze;Cornil 19061;E1.6833;N45.2167;13;
3;FRA;Limousin;Corrèze;Corrèze 19062;E1.8833;N45.3667;13;
3;FRA;Limousin;Corrèze;Cosnac 19063;E1.6000;N45.1333;13;
3;FRA;Limousin;Corrèze;Couffy-sur-Sarsonne 19064;E2.3333;N45.6667;13;
3;FRA;Limousin;Corrèze;Courteix 19065;E2.3500;N45.6500;13;
3;FRA;Limousin;Corrèze;Cublac 19066;E1.3167;N45.1500;13;
3;FRA;Limousin;Corrèze;Curemonte 19067;E1.7500;N45.0000;13;
3;FRA;Limousin;Corrèze;Dampniat 19068;E1.6333;N45.1667;13;
3;FRA;Limousin;Corrèze;Darazac 19069;E2.1000;N45.1833;13;
3;FRA;Limousin;Corrèze;Darnets 19070;E2.1104;N45.4261;13;
3;FRA;Limousin;Corrèze;Davignac 19071;E2.1000;N45.4833;13;
3;FRA;Limousin;Corrèze;Donzenac 19072;E1.5333;N45.2333;13;
3;FRA;Limousin;Corrèze;Égletons 19073;E2.0500;N45.4000;13;
3;FRA;Limousin;Corrèze;Espagnac 19075;E1.9000;N45.2333;13;
3;FRA;Limousin;Corrèze;Espartignac 19076;E1.6000;N45.4167;13;
3;FRA;Limousin;Corrèze;Estivals 19077;E1.4667;N45.0333;13;
3;FRA;Limousin;Corrèze;Estivaux 19078;E1.4833;N45.3167;13;
3;FRA;Limousin;Corrèze;Eyburie 19079;E1.6333;N45.4500;13;
3;FRA;Limousin;Corrèze;Eygurande 19080;E2.4667;N45.6667;13;
3;FRA;Limousin;Corrèze;Eyrein 19081;E1.9500;N45.3333;13;
3;FRA;Limousin;Corrèze;Favars 19082;E1.6667;N45.2667;13;
3;FRA;Limousin;Corrèze;Feyt 19083;E2.4833;N45.7000;13;
3;FRA;Limousin;Corrèze;Forgès 19084;E1.8833;N45.1667;13;
3;FRA;Limousin;Corrèze;Gimel-les-Cascades 19085;E1.8516;N45.2990;13;
3;FRA;Limousin;Corrèze;Goulles 19086;E2.0833;N45.0500;13;
3;FRA;Limousin;Corrèze;Gourdon-Murat 19087;E1.9000;N45.5333;13;
3;FRA;Limousin;Corrèze;Grandsaigne 19088;E1.9333;N45.4833;13;
3;FRA;Limousin;Corrèze;Gros-Chastang 19089;E1.9833;N45.2167;13;
3;FRA;Limousin;Corrèze;Gumond 19090;E1.9833;N45.2167;13;
3;FRA;Limousin;Corrèze;Hautefage 19091;E2.0167;N45.0833;13;
3;FRA;Limousin;Corrèze;Jugeals-Nazareth 19093;E1.5500;N45.0833;13;
3;FRA;Limousin;Corrèze;Juillac 19094;E1.3167;N45.3167;13;
3;FRA;Limousin;Corrèze;L'Église-aux-Bois 19074;E1.8000;N45.6500;13;
3;FRA;Limousin;Corrèze;La Chapelle-aux-Brocs 19043;E1.6167;N45.1500;13;
3;FRA;Limousin;Corrèze;La Chapelle-aux-Saints 19044;E1.7167;N44.9833;13;
3;FRA;Limousin;Corrèze;La Chapelle-Saint-Géraud 19045;E1.9667;N45.0333;13;
3;FRA;Limousin;Corrèze;La Roche-Canillac 19174;E1.9667;N45.2000;13;
3;FRA;Limousin;Corrèze;La Tourette 19267=19275;E2.3167;N45.5833;13;
3;FRA;Limousin;Corrèze;Lacelle 19095;E1.8167;N45.6500;13;
3;FRA;Limousin;Corrèze;Ladignac-sur-Rondelles 19096;E1.8363;N45.2326;13;
3;FRA;Limousin;Corrèze;Lafage-sur-Sombre 19097;E2.0833;N45.3000;13;
3;FRA;Limousin;Corrèze;Lagarde-Enval 19098;E1.8167;N45.1833;13;
3;FRA;Limousin;Corrèze;Lagleygeolle 19099;E1.7000;N45.0833;13;
3;FRA;Limousin;Corrèze;Lagraulière 19100;E1.6333;N45.3500;13;
3;FRA;Limousin;Corrèze;Laguenne 19101;E1.7833;N45.2333;13;
3;FRA;Limousin;Corrèze;Lamazière-Basse 19102;E2.1667;N45.3667;13;
3;FRA;Limousin;Corrèze;Lamazière-Haute 19103;E2.4000;N45.6667;13;
3;FRA;Limousin;Corrèze;Lamongerie 19104;E1.5667;N45.5333;13;
3;FRA;Limousin;Corrèze;Lanteuil 19105;E1.6667;N45.1333;13;
3;FRA;Limousin;Corrèze;Lapleau 19106;E2.1667;N45.2833;13;
3;FRA;Limousin;Corrèze;Larche 19107;E1.4167;N45.1167;13;
3;FRA;Limousin;Corrèze;Laroche-près-Feyt 19108;E2.5167;N45.7000;13;
3;FRA;Limousin;Corrèze;Lascaux 19109;E1.3667;N45.3333;13;
3;FRA;Limousin;Corrèze;Latronche 19110;E2.2304;N45.2959;13;
3;FRA;Limousin;Corrèze;Laval-sur-Luzège 19111;E2.1500;N45.2333;13;
3;FRA;Limousin;Corrèze;Le Chastang 19048;E1.7333;N45.1833;13;
3;FRA;Limousin;Corrèze;Le Jardin 19092;E2.0500;N45.3167;13;
3;FRA;Limousin;Corrèze;Le Lonzac 19118;E1.7167;N45.4667;13;
3;FRA;Limousin;Corrèze;Le Pescher 19163;E1.7333;N45.0833;13;
3;FRA;Limousin;Corrèze;Les Angles-sur-Corrèze 19009;E1.8000;N45.3000;13;
3;FRA;Limousin;Corrèze;Lestards 19112;E1.8667;N45.5167;13;
3;FRA;Limousin;Corrèze;Liginiac 19113;E2.3331;N45.4148;13;
3;FRA;Limousin;Corrèze;Lignareix 19114;E2.3000;N45.6167;13;
3;FRA;Limousin;Corrèze;Ligneyrac 19115;E1.6167;N45.0500;13;
3;FRA;Limousin;Corrèze;Liourdres 19116;E1.8000;N44.9333;13;
3;FRA;Limousin;Corrèze;Lissac-sur-Couze 19117;E1.4667;N45.1000;13;
3;FRA;Limousin;Corrèze;Lostanges 19119;E1.7667;N45.0667;13;
3;FRA;Limousin;Corrèze;Louignac 19120;E1.2667;N45.2167;13;
3;FRA;Limousin;Corrèze;Lubersac 19121;E1.4000;N45.4500;13;
3;FRA;Limousin;Corrèze;Madranges 19122;E1.7833;N45.4833;13;
3;FRA;Limousin;Corrèze;Malemort-sur-Corrèze 19123;E1.5500;N45.1667;13;
3;FRA;Limousin;Corrèze;Mansac 19124;E1.3833;N45.1667;13;
3;FRA;Limousin;Corrèze;Marc-la-Tour 19127;E1.8500;N45.2000;13;
3;FRA;Limousin;Corrèze;Marcillac-la-Croisille 19125;E2.0333;N45.2833;13;
3;FRA;Limousin;Corrèze;Marcillac-la-Croze 19126;E1.7455;N45.0362;13;
3;FRA;Limousin;Corrèze;Margerides 19128;E2.4000;N45.4500;13;
3;FRA;Limousin;Corrèze;Masseret 19129;E1.5167;N45.5333;13;
3;FRA;Limousin;Corrèze;Maussac 19130;E2.1500;N45.4833;13;
3;FRA;Limousin;Corrèze;Meilhards 19131;E1.6500;N45.5500;13;
3;FRA;Limousin;Corrèze;Ménoire 19132;E1.8000;N45.1000;13;
3;FRA;Limousin;Corrèze;Mercoeur 19133;E1.9500;N45.0167;13;
3;FRA;Limousin;Corrèze;Merlines 19134;E2.4602;N45.6469;13;
3;FRA;Limousin;Corrèze;Mestes 19135;E2.3167;N45.5000;13;
3;FRA;Limousin;Corrèze;Meymac 19136;E2.1667;N45.5333;13;
3;FRA;Limousin;Corrèze;Meyrignac-l'Église 19137;E1.8500;N45.4000;13;
3;FRA;Limousin;Corrèze;Meyssac 19138;E1.6667;N45.0500;13;
3;FRA;Limousin;Corrèze;Millevaches 19139;E2.1000;N45.6500;13;
3;FRA;Limousin;Corrèze;Monceaux-sur-Dordogne 19140;E1.9167;N45.0833;13;
3;FRA;Limousin;Corrèze;Monestier-Merlines 19141;E2.4833;N45.6500;13;
3;FRA;Limousin;Corrèze;Monestier-Port-Dieu 19142;E2.5167;N45.5000;13;
3;FRA;Limousin;Corrèze;Montaignac-Saint-Hippolyte 19143;E2.0167;N45.3500;13;
3;FRA;Limousin;Corrèze;Montgibaud 19144;E1.4167;N45.5167;13;
3;FRA;Limousin;Corrèze;Moustier-Ventadour 19145;E2.1167;N45.4000;13;
3;FRA;Limousin;Corrèze;Naves 19146;E1.7667;N45.3167;13;
3;FRA;Limousin;Corrèze;Nespouls 19147;E1.5000;N45.0500;13;
