"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Lorraine;Meurthe-et-Moselle;;E6.10;N48.74;9;
3;FRA;Lorraine;Meurthe-et-Moselle;Abaucourt 54001;E6.2500;N48.9000;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Abbéville-lès-Conflans 54002;E5.8500;N49.2000;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Aboncourt 54003;E5.9667;N48.3583;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Affléville 54004;E5.7667;N49.2667;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Affracourt 54005;E6.1667;N48.4667;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Agincourt 54006;E6.2333;N48.7333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Aingeray 54007;E6.0000;N48.7333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Allain 54008;E5.9167;N48.5500;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Allamont 54009;E5.7667;N49.1167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Allamps 54010;E5.8167;N48.5500;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Allondrelle-la-Malmaison 54011;E5.5667;N49.5167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Amance 54012;E6.2833;N48.7667;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Amenoncourt 54013;E6.7833;N48.6333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Ancerviller 54014;E6.8333;N48.5333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Anderny 54015;E5.8667;N49.3333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Andilly 54016;E5.8833;N48.7667;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Angomont 54017;E6.9500;N48.5167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Anoux 54018;E5.8667;N49.2667;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Ansauville 54019;E5.8333;N48.8167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Anthelupt 54020;E6.4167;N48.6167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Armaucourt 54021;E6.3000;N48.8167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Arnaville 54022;E6.0333;N49.0000;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Arracourt 54023;E6.5333;N48.7333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Arraye-et-Han 54024;E6.3000;N48.8333;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Art-sur-Meurthe 54025;E6.2667;N48.6500;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Athienville 54026;E6.5000;N48.7167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Atton 54027;E6.0833;N48.9000;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Auboué 54028;E5.9833;N49.2167;13;
3;FRA;Lorraine;Meurthe-et-Moselle;Audun-le-Roman 54029;E5.8833;N49.3667;13;
