"Level";Country;"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Midi-Pyrénées;Ariège;;E1.58;N43.03;9;
3;FRA;Midi-Pyrénées;Ariège;Aigues-Juntes 09001;E1.4667;N43.0500;13;
3;FRA;Midi-Pyrénées;Ariège;Aigues-Vives 09002;E1.8833;N43.0000;13;
3;FRA;Midi-Pyrénées;Ariège;Albiès 09004;E1.7000;N42.7667;13;
3;FRA;Midi-Pyrénées;Ariège;Aleu 09005;E1.2667;N42.9000;13;
3;FRA;Midi-Pyrénées;Ariège;Alliat 09006;E1.5833;N42.8167;13;
3;FRA;Midi-Pyrénées;Ariège;Allières 09007;E1.3500;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Alos 09008;E1.1450;N42.9081;13;
3;FRA;Midi-Pyrénées;Ariège;Alzen 09009;E1.4667;N42.9833;13;
3;FRA;Midi-Pyrénées;Ariège;Amplaing 09010=09188;E1.6167;N42.8833;13;
3;FRA;Midi-Pyrénées;Ariège;Antras 09011;E0.9431;N42.8817;13;
3;FRA;Midi-Pyrénées;Ariège;Appy 09012;E1.7333;N42.8000;13;
3;FRA;Midi-Pyrénées;Ariège;Arabaux 09013;E1.6333;N42.9833;13;
3;FRA;Midi-Pyrénées;Ariège;Argein 09014;E1.0000;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Arignac 09015;E1.6000;N42.8667;13;
3;FRA;Midi-Pyrénées;Ariège;Arnave 09016;E1.6500;N42.8500;13;
3;FRA;Midi-Pyrénées;Ariège;Arrien-en-Bethmale 09017;E1.0500;N42.9000;13;
3;FRA;Midi-Pyrénées;Ariège;Arrout 09018;E1.0333;N42.9500;13;
3;FRA;Midi-Pyrénées;Ariège;Artigat 09019;E1.4333;N43.1333;13;
3;FRA;Midi-Pyrénées;Ariège;Artigues 09020;E2.0692;N42.7178;13;
3;FRA;Midi-Pyrénées;Ariège;Artix 09021;E1.5667;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Arvigna 09022;E1.7333;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Ascou 09023;E1.8667;N42.7167;13;
3;FRA;Midi-Pyrénées;Ariège;Aston 09024;E1.6667;N42.7667;13;
3;FRA;Midi-Pyrénées;Ariège;Aucazein 09025;E0.9833;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Audressein 09026;E1.0167;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Augirein 09027;E0.9167;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Aulos 09028;E1.6833;N42.8000;13;
3;FRA;Midi-Pyrénées;Ariège;Aulus-les-Bains 09029;E1.3333;N42.8000;13;
3;FRA;Midi-Pyrénées;Ariège;Auzat 09030;E1.4833;N42.7667;13;
3;FRA;Midi-Pyrénées;Ariège;Ax-les-Thermes 09032;E1.8333;N42.7167;13;
3;FRA;Midi-Pyrénées;Ariège;Axiat 09031;E1.7500;N42.7833;13;
3;FRA;Midi-Pyrénées;Ariège;Bagert 09033;E1.0833;N43.0833;13;
3;FRA;Midi-Pyrénées;Ariège;Balacet 09034;E0.9833;N42.8833;13;
3;FRA;Midi-Pyrénées;Ariège;Balaguères 09035;E1.0167;N42.9667;13;
3;FRA;Midi-Pyrénées;Ariège;Banat 09036=09306;E1.5833;N42.8500;13;
3;FRA;Midi-Pyrénées;Ariège;Barjac 09037;E1.1333;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Baulou 09044;E1.5500;N43.0167;13;
3;FRA;Midi-Pyrénées;Ariège;Bédeilhac-et-Aynat 09045;E1.5667;N42.8667;13;
3;FRA;Midi-Pyrénées;Ariège;Bédeille 09046;E1.1000;N43.0833;13;
3;FRA;Midi-Pyrénées;Ariège;Bélesta 09047;E1.9333;N42.9000;13;
3;FRA;Midi-Pyrénées;Ariège;Belloc 09048;E1.9333;N43.0167;13;
3;FRA;Midi-Pyrénées;Ariège;Bénac 09049;E1.5333;N42.9500;13;
3;FRA;Midi-Pyrénées;Ariège;Benagues 09050;E1.6167;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Bénaix 09051;E1.8500;N42.9167;13;
3;FRA;Midi-Pyrénées;Ariège;Besset 09052;E1.8333;N43.0833;13;
3;FRA;Midi-Pyrénées;Ariège;Bestiac 09053;E1.7833;N42.7667;13;
3;FRA;Midi-Pyrénées;Ariège;Betchat 09054;E1.0167;N43.1000;13;
3;FRA;Midi-Pyrénées;Ariège;Bethmale 09055;E1.0833;N42.8667;13;
3;FRA;Midi-Pyrénées;Ariège;Bézac 09056;E1.5833;N43.1500;13;
3;FRA;Midi-Pyrénées;Ariège;Biert 09057;E1.3167;N42.9000;13;
3;FRA;Midi-Pyrénées;Ariège;Bompas 09058;E1.6167;N42.8667;13;
3;FRA;Midi-Pyrénées;Ariège;Bonac-Irazein 09059;E0.9739;N42.8769;13;
3;FRA;Midi-Pyrénées;Ariège;Bonnac 09060;E1.6000;N43.1667;13;
3;FRA;Midi-Pyrénées;Ariège;Bouan 09064;E1.6500;N42.8167;13;
3;FRA;Midi-Pyrénées;Ariège;Boussenac 09065;E1.3500;N42.9000;13;
3;FRA;Midi-Pyrénées;Ariège;Brassac 09066;E1.5372;N42.9458;13;
3;FRA;Midi-Pyrénées;Ariège;Brie 09067;E1.5167;N43.2000;13;
3;FRA;Midi-Pyrénées;Ariège;Burret 09068;E1.4833;N42.9500;13;
3;FRA;Midi-Pyrénées;Ariège;Buzan 09069;E0.9667;N42.9500;13;
3;FRA;Midi-Pyrénées;Ariège;Cadarcet 09071;E1.5000;N43.0167;13;
3;FRA;Midi-Pyrénées;Ariège;Calzan 09072;E1.7333;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Camarade 09073;E1.2667;N43.0833;13;
3;FRA;Midi-Pyrénées;Ariège;Camon 09074;E1.9667;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Campagne-sur-Arize 09075;E1.3333;N43.1167;13;
3;FRA;Midi-Pyrénées;Ariège;Canté 09076;E1.5333;N43.2500;13;
3;FRA;Midi-Pyrénées;Ariège;Capoulet-et-Junac 09077;E1.6000;N42.8000;13;
3;FRA;Midi-Pyrénées;Ariège;Carcanières 09078;E2.1167;N42.7167;13;
3;FRA;Midi-Pyrénées;Ariège;Carla-Bayle 09079;E1.4000;N43.1500;13;
3;FRA;Midi-Pyrénées;Ariège;Carla-de-Roquefort 09080;E1.7667;N42.9667;13;
3;FRA;Midi-Pyrénées;Ariège;Castelnau-Durban 09082;E1.3500;N43.0000;13;
3;FRA;Midi-Pyrénées;Ariège;Castéras 09083;E1.4000;N43.1333;13;
3;FRA;Midi-Pyrénées;Ariège;Castex 09084;E1.3128;N43.1661;13;
3;FRA;Midi-Pyrénées;Ariège;Castillon-en-Couserans 09085;E1.0333;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Caumont 09086;E1.0856;N43.0306;13;
3;FRA;Midi-Pyrénées;Ariège;Caussou 09087;E1.8000;N42.7667;13;
3;FRA;Midi-Pyrénées;Ariège;Caychax 09088;E1.7167;N42.8000;13;
3;FRA;Midi-Pyrénées;Ariège;Cazals-des-Baylès 09089;E1.9500;N43.0833;13;
3;FRA;Midi-Pyrénées;Ariège;Cazaux 09090;E1.5167;N43.0500;13;
3;FRA;Midi-Pyrénées;Ariège;Cazavet 09091;E1.0500;N43.0000;13;
3;FRA;Midi-Pyrénées;Ariège;Cazenave-Serres-et-Allens 09092;E1.6725;N42.8403;13;
3;FRA;Midi-Pyrénées;Ariège;Celles 09093;E1.6833;N42.9167;13;
3;FRA;Midi-Pyrénées;Ariège;Cérizols 09094;E1.0667;N43.1167;13;
3;FRA;Midi-Pyrénées;Ariège;Cescau 09095;E1.0500;N42.9333;13;
3;FRA;Midi-Pyrénées;Ariège;Château-Verdun 09096;E1.6833;N42.7833;13;
3;FRA;Midi-Pyrénées;Ariège;Clermont 09097;E1.2833;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Contrazy 09098;E1.2333;N43.0500;13;
3;FRA;Midi-Pyrénées;Ariège;Cos 09099;E1.5667;N42.9833;13;
3;FRA;Midi-Pyrénées;Ariège;Couflens 09100;E1.1833;N42.7833;13;
3;FRA;Midi-Pyrénées;Ariège;Coussa 09101;E1.6667;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Coutens 09102;E1.8333;N43.0667;13;
3;FRA;Midi-Pyrénées;Ariège;Crampagna 09103;E1.6167;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Dalou 09104;E1.6333;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Daumazan-sur-Arize 09105;E1.3167;N43.1500;13;
3;FRA;Midi-Pyrénées;Ariège;Dreuilhe 09106;E1.8667;N42.9500;13;
3;FRA;Midi-Pyrénées;Ariège;Dun 09107;E1.8000;N43.0333;13;
3;FRA;Midi-Pyrénées;Ariège;Durban-sur-Arize 09108;E1.3500;N43.0167;13;
3;FRA;Midi-Pyrénées;Ariège;Durfort 09109;E1.4667;N43.2167;13;
3;FRA;Midi-Pyrénées;Ariège;Encourtiech 09110;E1.1822;N42.9594;13;
