"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Nord-Pas-de-Calais;Nord;;E3.9333;N50.4575;9;
3;FRA;Nord-Pas-de-Calais;Nord;Abancourt 59001;E3.2130;N50.2357;13;
3;FRA;Nord-Pas-de-Calais;Nord;Abscon 59002;E3.3000;N50.3333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aibes 59003;E4.1000;N50.2333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aix 59004;E3.2833;N50.4916;13;
3;FRA;Nord-Pas-de-Calais;Nord;Allennes-les-Marais 59005;E2.9500;N50.5370;13;
3;FRA;Nord-Pas-de-Calais;Nord;Amfroipret 59006;E3.7333;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Anhiers 59007;E3.1500;N50.4000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aniche 59008;E3.2500;N50.3333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Anneux 59010;E3.1167;N50.1500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Annoeullin 59011;E2.9333;N50.5333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Anor 59012;E4.1000;N50.0000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Anstaing 59013;E3.2000;N50.6000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Anzin 59014;E3.5000;N50.3667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Arleux 59015;E3.1000;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Armbouts-Cappel 59016;E2.3500;N50.9833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Armentières 59017;E2.8833;N50.6833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Arnèke 59018;E2.4167;N50.8333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Artres 59019;E3.5500;N50.3000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Ascq 59020=59009;E3.1417;N50.1;13;
3;FRA;Nord-Pas-de-Calais;Nord;Assevent 59021;E4.0167;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Attiches 59022;E3.0500;N50.5167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aubencheul-au-Bac 59023;E3.1667;N50.2500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Auberchicourt 59024;E3.2333;N50.3333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aubers 59025;E2.8333;N50.6000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aubigny-au-Bac 59026;E3.1667;N50.2667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aubry-du-Hainaut 59027;E3.4595;N50.3697;13;
3;FRA;Nord-Pas-de-Calais;Nord;Auby 59028;E3.0500;N50.4167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Auchy-lez-Orchies 59029;E3.2000;N50.4833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Audencourt 59030=59139;E3.4333;N50.1167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Audignies 59031;E3.8167;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aulnoy-lez-Valenciennes 59032;E3.5288;50.3311;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aulnoye-Aymeries 59033;E3.8333;N50.2000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Avelin 59034;E3.0833;N50.5333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Avesnelles 59035;E3.9500;N50.1167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Avesnes-le-Sec 59038;E3.3833;N50.2500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Avesnes-les-Aubert 59037;E3.3833;N50.2000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Avesnes-sur-Helpe 59036;E3.9333;N50.1167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Awoingt 59039;E3.2833;N50.1500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Aymeries 59040=59033;E3.8333;N50.2000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bachant 59041;E3.8667;N50.2167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bachy 59042;E3.2667;N50.5500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bailleul 59043;E2.7333;N50.7333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Baisieux 59044;E3.2500;N50.6000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Baives 59045;E4.1833;N50.0667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bambecque 59046;E2.5500;N50.9000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Banteux 59047;E3.2000;N50.0667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bantigny 59048;E3.2333;N50.2333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bantouzelle 59049;E3.2000;N50.0500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bas-Lieu 59050;E3.9500;N50.1333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bauvin 59052;E2.8833;N50.5167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bavay 59053;E3.7833;N50.3000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bavinchove 59054;E2.4667;N50.7833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bazuel 59055;E3.5833;N50.1000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaucamps-Ligny 59056;E2.9167;N50.6000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaudignies 59057;E3.5833;N50.2333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaufort 59058;E3.9667;N50.2167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaumont-en-Cambrésis 59059;E3.4500;N50.1167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaurain 59060;E3.5500;N50.1667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaurepaire-sur-Sambre 59061;E3.8000;N50.0500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beaurieux 59062;E4.1167;N50.1833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beauvois-en-Cambrésis 59063;E3.3833;N50.1333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bellaing 59064;E3.4333;N50.3667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bellignies 59065;E3.7667;N50.3333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bérelles 59066;E4.1000;N50.2167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bergues 59067;E2.4333;N50.9667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Berlaimont 59068;E3.8167;N50.2000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bermerain 59069;E3.5333;N50.2500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bermeries 59070;E3.7667;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bersée 59071;E3.1500;N50.4833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bersillies 59072;E4.0000;N50.3167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Berthen 59073;E2.7000;N50.7833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bertry 59074;E3.4500;N50.0833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Béthencourt 59075;E3.4333;N50.1333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bettignies 59076;E3.9667;N50.3333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bettrechies 59077;E3.7500;N50.3167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beugnies 59078;E4.0167;N50.1667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beuvrages 59079;E3.5000;N50.3833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Beuvry-la-Forêt 59080;E3.3833;N50.1500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bévillers 59081;E2.4167;N50.9667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bierne 59082;E2.4167;N50.9167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bissezeele 59083;E3.6667;N50.4000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Blaringhem 59084;E2.4000;N50.7000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Blécourt 59085;E3.2167;N50.2167;13;
3;FRA;Nord-Pas-de-Calais;Nord;Boeschepe 59086;E2.7000;N50.8000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Boëseghem 59087;E2.4500;N50.6667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bois-Grenier 59088;E2.8833;N50.6500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bollezeele 59089;E2.3333;N50.8667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bondues 59090;E3.1000;N50.7000;13;
3;FRA;Nord-Pas-de-Calais;Nord;Borre 59091;E2.5833;N50.7333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bouchain 59092;E3.3167;N50.2833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Boulogne-sur-Helpe 59093;E3.9000;N50.0833;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bourbourg 59094;E2.2000;N50.9500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bourbourg-Campagne 59095=59094;E2.2000;N50.9500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bourghelles 59096;E3.2500;N50.5667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Boursies 59097;E3.0166;N50.1333;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bousbecque 59098;E3.0833;N50.7667;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bousies 59099;E3.6167;N50.1500;13;
3;FRA;Nord-Pas-de-Calais;Nord;Bousignies 59100;E3.3500;N50.4333;13;
