"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Pays de la Loire;Loire-Atlantique;;W1.59;N47.38;9;
3;FRA;Pays de la Loire;Loire-Atlantique;Abbaretz 44001;W1.5333;N47.5500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Aigrefeuille-sur-Maine 44002;W1.4000;N47.0667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Ancenis 44003;W1.1667;N47.3667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Anetz 44004;W1.1000;N47.3833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Arthon-en-Retz 44005;W1.9500;N47.1167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Assérac 44006;W2.3833;N47.4333;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Avessac 44007;W1.9833;N47.6500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Barbechat 44008;W1.2833;N47.2833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Basse-Goulaine 44009;W1.4333;N47.2167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Batz-sur-Mer 44010;W2.4833;N47.2833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Belligné 44011;W1.0333;N47.4667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Besné 44013;W2.0833;N47.4000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Blain 44015;W1.7500;N47.4833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bonnoeuvre 44017;W1.2333;N47.5333;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bouaye 44018;W1.7000;N47.1500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bouée 44019;W1.9167;N47.3167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bouguenais 44020;W1.6167;N47.1833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bourgneuf-en-Retz 44021;W1.9500;N47.0500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Boussay 44022;W1.1833;N47.0500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Bouvron 44023;W1.8500;N47.4167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Brains 44024;W1.7167;N47.1667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Campbon 44025;W1.9667;N47.4167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Carquefou 44026;W1.5000;N47.3000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Casson 44027;W1.5500;N47.3833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Château-Thébaud 44037;W1.4193;N47.1248;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Châteaubriant 44036;W1.3833;N47.7167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Chauvé 44038;W1.9833;N47.1500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Cheix-en-Retz 44039;W1.8167;N47.1833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Chéméré 44040;W1.9167;N47.1167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Clisson 44043;W1.2833;N47.0833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Conquereuil 44044;W1.7500;N47.6167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Corcoué-sur-Logne 44156;W1.5770;N46.9664;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Cordemais 44045;W1.8833;N47.2833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Corsept 44046;W2.0500;N47.2833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Couëron 44047;W1.7333;N47.2167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Couffé 44048;W1.2833;N47.4000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Crossac 44050;W2.1667;N47.4167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Derval 44051;W1.6667;N47.6667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Donges 44052;W2.0667;N47.3000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Drefféac 44053;W2.0667;N47.4667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Erbray 44054;W1.3167;N47.6500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Fay-de-Bretagne 44056;W1.8000;N47.4167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Fégréac 44057;W2.0500;N47.5833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Fercé 44058;W1.4167;N47.8000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Fresnay-en-Retz 44059;W1.8833;N47.0167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Frossay 44061;W1.9333;N47.2500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Geneston 44223;W1.5124;N47.0557;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Gétigné 44063;W1.2500;N47.0667;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Gorges 44064;W1.3000;N47.1000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Grand-Auverné 44065;W1.3333;N47.6000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Grandchamps-des-Fontaines 44066;W1.8333;N47.6333;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Guémené-Penfao 44067;W1.7667;N47.6000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Guenrouet 44068;W1.9500;N47.5167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Guérande 44069;W2.4333;N47.3333;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Haute-Goulaine 44071;W1.4333;N47.2000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Herbignac 44072;W2.3167;N47.4500;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Héric 44073;W1.6500;N47.4167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Indre 44074;W1.7000;N47.2000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Issé 44075;W1.4500;N47.6167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Jans 44076;W1.6167;N47.6167;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Joué-sur-Erdre 44077;W1.4167;N47.5000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;Juigné-des-Moutiers 44078;W1.1833;N47.6833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;La Baule-Escoublac 44055;W2.3667;N47.3000;13;
3;FRA;Pays de la Loire;Loire-Atlantique;La Bernerie-en-Retz 44012;W2.0333;N47.0833;13;
3;FRA;Pays de la Loire;Loire-Atlantique;La Boissière-du-Doré 44016;W1.2202;N47.2323;13;
