"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Poitou-Charentes;Charente;;E0.17;N45.78;9;
3;FRA;Poitou-Charentes;Charente;Abzac 16001;E0.7000;N46.1000;13;
3;FRA;Poitou-Charentes;Charente;Agris 16003;E0.3333;N45.7833;13;
3;FRA;Poitou-Charentes;Charente;Aignes-et-Puypéroux 16004;E0.1500;N45.4500;13;
3;FRA;Poitou-Charentes;Charente;Aigre 16005;E0.0167;N45.9000;13;
3;FRA;Poitou-Charentes;Charente;Aizecq 16006=16242;E0.2833;N45.9833;13;
3;FRA;Poitou-Charentes;Charente;Alloue 16007;E0.5167;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Ambérac 16008;E0.0667;N45.8500;13;
3;FRA;Poitou-Charentes;Charente;Ambernac 16009;E0.5333;N45.9833;13;
3;FRA;Poitou-Charentes;Charente;Ambleville 16010;W0.2167;N45.5500;13;
3;FRA;Poitou-Charentes;Charente;Anais 16011;E0.2083;N45.7739;13;
3;FRA;Poitou-Charentes;Charente;Angeac-Champagne 16012;W0.3000;N45.6000;13;
3;FRA;Poitou-Charentes;Charente;Angeac-Charente 16013;W0.0667;N45.6333;13;
3;FRA;Poitou-Charentes;Charente;Angeduc 16014;W0.0500;N45.4833;13;
3;FRA;Poitou-Charentes;Charente;Angoulême 16015;E0.1500;N45.6500;13;
3;FRA;Poitou-Charentes;Charente;Ansac-sur-Vienne 16016;E0.6500;N46.0000;13;
3;FRA;Poitou-Charentes;Charente;Anville 16017;W0.1000;N45.8333;13;
3;FRA;Poitou-Charentes;Charente;Ars 16018;W0.3833;N45.6500;13;
3;FRA;Poitou-Charentes;Charente;Asnières-sur-Nouère 16019;E0.0500;N45.7167;13;
3;FRA;Poitou-Charentes;Charente;Aubeterre-sur-Dronne 16020;E0.1667;N45.2667;13;
3;FRA;Poitou-Charentes;Charente;Aubeville 16021;W0.0167;N45.5000;13;
3;FRA;Poitou-Charentes;Charente;Auge 16022=16339;W0.1000;N45.8500;13;
3;FRA;Poitou-Charentes;Charente;Auge-Saint-Médard 16339;W0.0971;N45.8504;13;
3;FRA;Poitou-Charentes;Charente;Aunac 16023;E0.2500;N45.9167;13;
3;FRA;Poitou-Charentes;Charente;Aussac-Vadalle 16024;E0.1999;N45.8183;13;
3;FRA;Poitou-Charentes;Charente;Baignes-Sainte-Radegonde 16025;W0.2333;N45.3833;13;
3;FRA;Poitou-Charentes;Charente;Balzac 16026;E0.1167;N45.7000;13;
3;FRA;Poitou-Charentes;Charente;Barbezières 16027;W0.0833;N45.9167;13;
3;FRA;Poitou-Charentes;Charente;Barbezieux-Saint-Hilaire 16028;W0.1544;N45.4726;13;
3;FRA;Poitou-Charentes;Charente;Bardenac 16029;W0.0167;N45.3000;13;
3;FRA;Poitou-Charentes;Charente;Barret 16030;W0.2000;N45.4833;13;
3;FRA;Poitou-Charentes;Charente;Barro 16031;E0.2167;N46.0000;13;
3;FRA;Poitou-Charentes;Charente;Bassac 16032;W0.1000;N45.6667;13;
3;FRA;Poitou-Charentes;Charente;Bayers 16033;E0.2333;N45.9167;13;
3;FRA;Poitou-Charentes;Charente;Bazac 16034;E0.0500;N45.2167;13;
3;FRA;Poitou-Charentes;Charente;Beaulieu-sur-Sonnette 16035;E0.3833;N45.9333;13;
3;FRA;Poitou-Charentes;Charente;Bécheresse 16036;E0.0833;N45.5000;13;
3;FRA;Poitou-Charentes;Charente;Bellon 16037;E0.1167;N45.3000;13;
3;FRA;Poitou-Charentes;Charente;Benest 16038;E0.4500;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Bernac 16039;E0.1667;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Berneuil 16040;W0.0728;N45.3928;13;
3;FRA;Poitou-Charentes;Charente;Bessac 16041;W0.0333;N45.4333;13;
3;FRA;Poitou-Charentes;Charente;Bessé 16042;E0.0667;N45.9500;13;
3;FRA;Poitou-Charentes;Charente;Bignac 16043;E0.0667;N45.8000;13;
3;FRA;Poitou-Charentes;Charente;Bioussac 16044;E0.2833;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Birac 16045;W0.0667;N45.5667;13;
3;FRA;Poitou-Charentes;Charente;Blanzac-Porcheresse 16046;E0.0315;N45.4758;13;
3;FRA;Poitou-Charentes;Charente;Blanzaguet-Saint-Cybard 16047;E0.3010;N45.4841;13;
3;FRA;Poitou-Charentes;Charente;Boisbreteau 16048;W0.1500;N45.3167;13;
3;FRA;Poitou-Charentes;Charente;Bonnes 16049;E0.1503;N45.2395;13;
3;FRA;Poitou-Charentes;Charente;Bonneuil 16050;W0.1333;N45.5833;13;
3;FRA;Poitou-Charentes;Charente;Bonneville 16051;W0.0333;N45.8333;13;
3;FRA;Poitou-Charentes;Charente;Bouëx 16055;E0.3167;N45.6167;13;
3;FRA;Poitou-Charentes;Charente;Bourg-Charente 16056;W0.2333;N45.6667;13;
3;FRA;Poitou-Charentes;Charente;Bouteville 16057;W0.1333;N45.6000;13;
3;FRA;Poitou-Charentes;Charente;Boutiers-Saint-Trojan 16058;W0.3000;N45.7167;13;
3;FRA;Poitou-Charentes;Charente;Brettes 16059;E0.0333;N46.0000;13;
3;FRA;Poitou-Charentes;Charente;Bréville 16060;W0.2667;N45.8000;13;
3;FRA;Poitou-Charentes;Charente;Brie 16061;E0.2400;N45.7373;13;
3;FRA;Poitou-Charentes;Charente;Brie-sous-Barbezieux 16062;W0.0333;N45.4333;13;
3;FRA;Poitou-Charentes;Charente;Brie-sous-Chalais 16063;E0.0000;N45.3167;13;
3;FRA;Poitou-Charentes;Charente;Brigueuil 16064;E0.8588;N45.9531;13;
3;FRA;Poitou-Charentes;Charente;Brillac 16065;E0.7833;N46.0667;13;
3;FRA;Poitou-Charentes;Charente;Brossac 16066;W0.0500;N45.3333;13;
3;FRA;Poitou-Charentes;Charente;Bunzac 16067;E0.3500;N45.7000;13;
3;FRA;Poitou-Charentes;Charente;Cellefrouin 16068;E0.3833;N45.9000;13;
3;FRA;Poitou-Charentes;Charente;Cellettes 16069;E0.1500;N45.8667;13;
3;FRA;Poitou-Charentes;Charente;Chabanais 16070;E0.7167;N45.8667;13;
3;FRA;Poitou-Charentes;Charente;Chabrac 16071;E0.7333;N45.9333;13;
3;FRA;Poitou-Charentes;Charente;Chadurie 16072;E0.1333;N45.5000;13;
3;FRA;Poitou-Charentes;Charente;Chalais 16073;E0.0402;N45.2732;13;
3;FRA;Poitou-Charentes;Charente;Challignac 16074;W0.0833;N45.4167;13;
3;FRA;Poitou-Charentes;Charente;Champagne-Mouton 16076;E0.4167;N45.9833;13;
3;FRA;Poitou-Charentes;Charente;Champagne-Vigny 16075;E0.0360;N45.5073;13;
3;FRA;Poitou-Charentes;Charente;Champmillon 16077;E0.0000;N45.6333;13;
3;FRA;Poitou-Charentes;Charente;Champniers 16078;E0.2000;N45.7167;13;
3;FRA;Poitou-Charentes;Charente;Chantillac 16079;W0.2500;N45.3333;13;
3;FRA;Poitou-Charentes;Charente;Chantrezac 16080=16192;E0.5543;N45.9259;13;
3;FRA;Poitou-Charentes;Charente;Charmant 16082;E0.1833;N45.5000;13;
3;FRA;Poitou-Charentes;Charente;Charmé 16083;E0.1167;N45.9500;13;
3;FRA;Poitou-Charentes;Charente;Charras 16084;E0.4167;N45.5333;13;
3;FRA;Poitou-Charentes;Charente;Chasseneuil-sur-Bonnieure 16085;E0.4494;N45.8239;13;
3;FRA;Poitou-Charentes;Charente;Chassenon 16086;E0.7667;N45.8500;13;
3;FRA;Poitou-Charentes;Charente;Chassiecq 16087;E0.3833;N45.9500;13;
3;FRA;Poitou-Charentes;Charente;Chassors 16088;W0.2167;N45.7000;13;
3;FRA;Poitou-Charentes;Charente;Châteaubernard 16089;W0.3135;N45.6715;13;
3;FRA;Poitou-Charentes;Charente;Châteauneuf-sur-Charente 16090;W0.0500;N45.6000;13;
3;FRA;Poitou-Charentes;Charente;Châtignac 16091;E0.0000;N45.3500;13;
3;FRA;Poitou-Charentes;Charente;Chavenat 16092;E0.1667;N45.4500;13;
3;FRA;Poitou-Charentes;Charente;Chazelles 16093;E0.3667;N45.6500;13;
3;FRA;Poitou-Charentes;Charente;Chenommet 16094;E0.2500;N45.9333;13;
3;FRA;Poitou-Charentes;Charente;Chenon 16095;E0.2500;N45.9500;13;
3;FRA;Poitou-Charentes;Charente;Cherves-Châtelars 16096;E0.5500;N45.8000;13;
3;FRA;Poitou-Charentes;Charente;Cherves-Richemont 16097;W0.3653;N45.7219;13;
3;FRA;Poitou-Charentes;Charente;Chillac 16099;W0.0833;N45.3667;13;
3;FRA;Poitou-Charentes;Charente;Chirac 16100;E0.6500;N45.9167;13;
3;FRA;Poitou-Charentes;Charente;Claix 16101;E0.0500;N45.5500;13;
3;FRA;Poitou-Charentes;Charente;Cognac 16102;W0.3333;N45.7000;13;
3;FRA;Poitou-Charentes;Charente;Combiers 16103;E0.4167;N45.5000;13;
3;FRA;Poitou-Charentes;Charente;Condac 16104;E0.2333;N46.0167;13;
3;FRA;Poitou-Charentes;Charente;Condéon 16105;W0.1333;N45.4000;13;
3;FRA;Poitou-Charentes;Charente;Confolens 16106;E0.6667;N46.0167;13;
3;FRA;Poitou-Charentes;Charente;Coulgens 16107;E0.2833;N45.8167;13;
3;FRA;Poitou-Charentes;Charente;Coulonges 16108;E0.0913;N45.8333;13;
3;FRA;Poitou-Charentes;Charente;Courbillac 16109;W0.1667;N45.7667;13;
3;FRA;Poitou-Charentes;Charente;Courcôme 16110;E0.1333;N45.9833;13;
3;FRA;Poitou-Charentes;Charente;Courgeac 16111;E0.0833;N45.4000;13;
3;FRA;Poitou-Charentes;Charente;Courlac 16112;E0.0833;N45.3000;13;
3;FRA;Poitou-Charentes;Charente;Couture 16114;E0.2833;N45.9333;13;
3;FRA;Poitou-Charentes;Charente;Cressac-Saint-Genis 16115;E0.0124;N45.4466;13;
3;FRA;Poitou-Charentes;Charente;Criteuil-la-Magdeleine 16116;W0.2167;N45.5333;13;
3;FRA;Poitou-Charentes;Charente;Curac 16117;E0.0333;N45.3000;13;
3;FRA;Poitou-Charentes;Charente;Deviat 16118;E0.0167;N45.4167;13;
3;FRA;Poitou-Charentes;Charente;Dignac 16119;E0.2833;N45.5500;13;
3;FRA;Poitou-Charentes;Charente;Dirac 16120;E0.2500;N45.6000;13;
3;FRA;Poitou-Charentes;Charente;Douzat 16121;E0.0000;N45.7167;13;
3;FRA;Poitou-Charentes;Charente;Ébréon 16122;E0.0333;N45.9333;13;
3;FRA;Poitou-Charentes;Charente;Échallat 16123;W0.0333;N45.7167;13;
3;FRA;Poitou-Charentes;Charente;Écuras 16124;E0.5667;N45.6833;13;
3;FRA;Poitou-Charentes;Charente;Édon 16125;E0.3500;N45.4833;13;
3;FRA;Poitou-Charentes;Charente;Embourie 16126=16253;E0.0333;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Empuré 16127;E0.0500;N46.0167;13;
3;FRA;Poitou-Charentes;Charente;Épenède 16128;E0.5333;N46.0667;13;
3;FRA;Poitou-Charentes;Charente;Éraville 16129;W0.0833;N45.5833;13;
3;FRA;Poitou-Charentes;Charente;Esse 16131;E0.7167;N46.0333;13;
3;FRA;Poitou-Charentes;Charente;Étagnac 16132;E0.7833;N45.9000;13;
3;FRA;Poitou-Charentes;Charente;Étriac 16133;W0.0167;N45.5333;13;
