"Level";Country;"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;;E6.55;N44.22;10;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Aiglun 04001;E6.1359;N44.0685;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Ainac 04002=04167;E6.2133;N44.2117;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Albiosc 04003=04081;E6.0142;N43.7417;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Allemagne-en-Provence 04004;E6.0078;N43.7811;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Allons 04005;E6.5961;N43.9773;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Allos 04006;E6.6296;N44.2404;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Angles 04007;E6.5587;N43.9424;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Annot 04008;E6.6667;N43.9667;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Archail 04009;E6.3341;N44.1214;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Argens 04010=04136;E6.5167;N44.0500;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Astoin 04011=04023;E6.1667;N44.3667;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Aubenas-les-Alpes 04012;E5.6833;N43.9333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Aubignosc 04013;E5.9667;N44.1333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Augès 04014=04109;E5.9000;N44.0333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Auribeau 04015=04177;E6.1667;N44.2000;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Authon 04016;E6.1333;N44.2333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Auzet 04017;E6.3000;N44.3000;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Banon 04018;E5.6333;N44.0333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Barcelonnette 04019;E6.6500;N44.3833;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Barles 04020;E6.2667;N44.2667;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Barras 04021;E6.1167;N44.1000;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Barrême 04022;E6.3667;N43.9500;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Bayons 04023;E6.1667;N44.3333;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Beaujeu 04024;E6.3667;N44.2000;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Beauvezer 04025;E6.6000;N44.1500;13;
3;FRA;Provence-Alpes-Côte d'Azur;Alpes-de-Haute-Provence;Bellaffaire 04026;E6.1833;N44.4167;13;
