"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;FRA;Rhône-Alpes;Ain;;E5.24;N46.08;9;
3;FRA;Rhône-Alpes;Ain;Amareins 01003=01165;E4.7827;N46.0803;13;
3;FRA;Rhône-Alpes;Ain;Ambérieu-en-Bugey 01004;E5.3612;N45.9554;13;
3;FRA;Rhône-Alpes;Ain;Ambérieux-en-Dombes 01005;E4.9040;N45.9959;13;
3;FRA;Rhône-Alpes;Ain;Ambléon 01006;E5.6000;N45.7500;13;
3;FRA;Rhône-Alpes;Ain;Ambronay 01007;E5.3500;N46.0000;13;
3;FRA;Rhône-Alpes;Ain;Ambutrix 01008;E5.3333;N45.9333;13;
3;FRA;Rhône-Alpes;Ain;Andert-et-Condon 01009;E5.6500;N45.8000;13;
3;FRA;Rhône-Alpes;Ain;Anglefort 01010;E5.8083;N45.9167;13;
3;FRA;Rhône-Alpes;Ain;Apremont 01011;E5.6583;N46.2083;13;
3;FRA;Rhône-Alpes;Ain;Aranc 01012;E5.5000;N46.0000;13;
3;FRA;Rhône-Alpes;Ain;Arandas 01013;E5.4833;N45.9000;13;
3;FRA;Rhône-Alpes;Ain;Arbent 01014;E5.6833;N46.3000;13;
3;FRA;Rhône-Alpes;Ain;Arbignieu 01015;E5.6500;N45.7333;13;
3;FRA;Rhône-Alpes;Ain;Arbigny 01016;E4.9667;N46.4667;13;
3;FRA;Rhône-Alpes;Ain;Argis 01017;E5.4833;N45.9333;13;
3;FRA;Rhône-Alpes;Ain;Arlod 01018=01033;E5.8206;N46.0936;13;
3;FRA;Rhône-Alpes;Ain;Armix 01019;E5.5833;N45.8500;13;
3;FRA;Rhône-Alpes;Ain;Arnans 01020=01125;E5.4587;N46.2609;13;
3;FRA;Rhône-Alpes;Ain;Ars-sur-Formans 01021;E4.8167;N45.9833;13;
3;FRA;Rhône-Alpes;Ain;Artemare 01022;E5.7000;N45.8667;13;
3;FRA;Rhône-Alpes;Ain;Asnières-sur-Saône 01023;E4.8833;N46.3833;13;
3;FRA;Rhône-Alpes;Ain;Attignat 01024;E5.1667;N46.2833;13;
3;FRA;Rhône-Alpes;Ain;Bâgé-la-Ville 01025;E4.9500;N46.3167;13;
