Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
0;GLP;;;;W62;N16;5;
1;GLP;Guadeloupe;;;W61.5;N16.3;6;
2;GLP;Guadeloupe;Guadeloupe (971);;W67.2;N17.1;7;
3;GLP;Guadeloupe;Guadeloupe (971);Anse-Bertrand 97102;W61.508;N16.472;14;
3;GLP;Guadeloupe;Guadeloupe (971);Baie-Mahault 97103;W61.586;N16.267;14;
3;GLP;Guadeloupe;Guadeloupe (971);Baillif 97104;W61.745;N16.021;14;
3;GLP;Guadeloupe;Guadeloupe (971);Basse-Terre 97105;W61.732;N15.998;14;
3;GLP;Guadeloupe;Guadeloupe (971);Bouillante 97106;W61.769;N16.129;14;
3;GLP;Guadeloupe;Guadeloupe (971);Capesterre-Belle-Eau 97107;W61.566;N16.043;14;
3;GLP;Guadeloupe;Guadeloupe (971);Capesterre-de-Marie-Galante 97108;W61.222;N15.891;14;
3;GLP;Guadeloupe;Guadeloupe (971);Deshaies 97111;W61.794;N16.306;14;
3;GLP;Guadeloupe;Guadeloupe (971);Gourbeyre 97109;W61.692;N15.995;14;
3;GLP;Guadeloupe;Guadeloupe (971);Goyave 97114;W61.573;N16.136;14;
3;GLP;Guadeloupe;Guadeloupe (971);Grand-Bourg 97112;W61.312;N15.883;14;
3;GLP;Guadeloupe;Guadeloupe (971);La Désirade 97110;W61.075;N16.304;14;
3;GLP;Guadeloupe;Guadeloupe (971);Lamentin 97115;W61.632;N16.272;14;
3;GLP;Guadeloupe;Guadeloupe (971);Le Gosier 97113;W61.492;N16.206;14;
3;GLP;Guadeloupe;Guadeloupe (971);Le Moule 97117;W61.345;N16.331;14;
3;GLP;Guadeloupe;Guadeloupe (971);Les Abymes 97101;W61.504;N16.271;14;
3;GLP;Guadeloupe;Guadeloupe (971);Morne-à-l'Eau 97116;W61.457;N16.332;14;
3;GLP;Guadeloupe;Guadeloupe (971);Petit-Bourg 97118;W61.591;N16.191;14;
3;GLP;Guadeloupe;Guadeloupe (971);Petit-Canal 97119;W61.489;N16.379;14;
3;GLP;Guadeloupe;Guadeloupe (971);Pointe-à-Pitre 97120;W61.533;N16.241;13;
3;GLP;Guadeloupe;Guadeloupe (971);Pointe-Noire 97121;W61.789;N16.231;14;
3;GLP;Guadeloupe;Guadeloupe (971);Port-Louis 97122;W61.532;N16.417;14;
3;GLP;Guadeloupe;Guadeloupe (971);Saint-Barthélemy 97123;W62.849;N17.897;14;
3;GLP;Guadeloupe;Guadeloupe (971);Saint-Claude 97124;W61.698;N16.027;14;
3;GLP;Guadeloupe;Guadeloupe (971);Saint-François 97125;W61.272;N16.252;14;
3;GLP;Guadeloupe;Guadeloupe (971);Saint-Louis 97126;W61.317;N15.954;14;
3;GLP;Guadeloupe;Guadeloupe (971);Saint-Martin 97127;W63.084;N18.067;14;
3;GLP;Guadeloupe;Guadeloupe (971);Sainte-Anne 97128;W61.391;N16.225;14;
3;GLP;Guadeloupe;Guadeloupe (971);Sainte-Rose 97129;W61.698;N16.334;14;
3;GLP;Guadeloupe;Guadeloupe (971);Terre-de-Bas 97130;W61.65;N15.849;14;
3;GLP;Guadeloupe;Guadeloupe (971);Terre-de-Haut 97131;W61.582;N15.868;14;
3;GLP;Guadeloupe;Guadeloupe (971);Trois-Rivières 97132;W61.645;N15.977;14;
3;GLP;Guadeloupe;Guadeloupe (971);Vieux-Fort 97133;W61.698;N15.949;14;
3;GLP;Guadeloupe;Guadeloupe (971);Vieux-Habitants 97134;W61.764;N16.060;14;
