Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
0;GUF;;;;W53;N4;5;
1;GUF;Guyane française;;;W53;N4;6;
2;GUF;Guyane française;Guyane française (973);;W53.18;N4.06;7;
3;GUF;Guyane française;Guyane française (973);Apatou 97360;W54.343;N5.157;14;
3;GUF;Guyane française;Guyane française (973);Approuague 97351=97301;W52.133;N4.310;14;
3;GUF;Guyane française;Guyane française (973);Awala-Yalimapo 97361;W53.911;N5.737;14;
3;GUF;Guyane française;Guyane française (973);Camopi 97356;W52.344;N3.170;14;
3;GUF;Guyane française;Guyane française (973);Cayenne 97302;W52.335;N4.938;14;
3;GUF;Guyane française;Guyane française (973);Grand-Santi 97357;W54.380;N4.273;14;
3;GUF;Guyane française;Guyane française (973);Iracoubo 97303;W53.206;N5.479;14;
3;GUF;Guyane française;Guyane française (973);Kourou 97304;W52.643;N5.159;13;
3;GUF;Guyane française;Guyane française (973);La Comté 97359=97310;W52.326;N4.729;14;
3;GUF;Guyane française;Guyane française (973);Macouria 97305;W52.474;N5.013;14;
3;GUF;Guyane française;Guyane française (973);Mana 97306;W53.778;N5.667;14;
3;GUF;Guyane française;Guyane française (973);Maripasoula 97353;W54.029;N3.644;14;
3;GUF;Guyane française;Guyane française (973);Matoury 97307;W52.330;N4.850;14;
3;GUF;Guyane française;Guyane française (973);Montsinéry-Tonnegrande;W52.493;N4.893;14;
3;GUF;Guyane française;Guyane française (973);Moyenne-Mana 97355=97306;W53.778;N5.667;14;
3;GUF;Guyane française;Guyane française (973);Ouanary 97314;W51.672;N4.209;14;
3;GUF;Guyane française;Guyane française (973);Papaichton 97362;W54.15;N3.808;14;
3;GUF;Guyane française;Guyane française (973);Régina 97301;W52.133;N4.310;14;
3;GUF;Guyane française;Guyane française (973);Remire-Montjoly 97309;W52.276;N4.904;14;
3;GUF;Guyane française;Guyane française (973);Roura 97310;W52.326;N4.729;14;
3;GUF;Guyane française;Guyane française (973);Saül 97352;W53.208;N3.627;14;
3;GUF;Guyane française;Guyane française (973);Saint-Élie 97358;W53.288;N4.826;14;
3;GUF;Guyane française;Guyane française (973);Saint-Georges 97308;W51.801;N3.889;14;
3;GUF;Guyane française;Guyane française (973);Saint-Laurent-du-Maroni 97311;W54.032;N5.504;14;
3;GUF;Guyane française;Guyane française (973);Samson 97354=97352;W53.208;N3.627;14;
3;GUF;Guyane française;Guyane française (973);Sinnamary 97312;W52.956;N5.376;14;
