Level;Country;Place;void;void;Longitude;Latitude;ZoomLevel;Icon
1;IOM;Agneash;;;W4.41;N54.24;10;
1;IOM;Andreas;;;W4.44;N54.36;10;
1;IOM;Baldhoon;;;W4.44;N54.22;10;
1;IOM;Baldrine;;;W4.42;N54.20;10;
1;IOM;Baldwin;;;W4.53;N54.19;10;
1;IOM;Ballabeg;;;W4.69;N54.09;10;
1;IOM;Ballabeg;;;W4.42;N54.20;10;
1;IOM;Ballacannell;;;W4.40;N54.21;10;
1;IOM;Ballacarnane Beg;;;W4.61;N54.25;10;
1;IOM;Ballachrink;;;W4.40;N54.36;10;
1;IOM;Ballagawne;;;W4.73;N54.08;10;
1;IOM;Ballajora;;;W4.35;N54.28;10;
1;IOM;Ballaleigh;;;W4.59;N54.26;10;
1;IOM;Ballamodha;;;W4.64;N54.12;10;
1;IOM;Ballaragh;;;W4.38;N54.23;10;
1;IOM;Ballasalla;;;W4.63;N54.09;10;
1;IOM;Ballaterson;;;W4.33;N54.30;10;
1;IOM;Ballaugh;;;W4.55;N54.30;10;
1;IOM;Ballelby;;;W4.72;N54.16;10;
1;IOM;Barregarrow;;;W4.58;N54.25;10;
1;IOM;Bishop's Court;;;W4.58;N54.29;10;
1;IOM;Braaid;;;W4.57;N54.15;10;
1;IOM;Bradda East;;;W4.76;N54.09;10;
1;IOM;Bradda Head;;;W4.76;N54.09;10;
1;IOM;Bradda West;;;W4.76;N54.09;10;
1;IOM;Bride;;;W4.40;N54.38;10;
1;IOM;Calf of Man;;;W4.81;N54.05;10;
1;IOM;Castletown;;;W4.66;N54.06;10;
1;IOM;Churchtown;;;W4.43;N54.31;10;
1;IOM;Clay Head;;;W4.39;N54.19;10;
1;IOM;Colby;;;W4.70;N54.09;10;
1;IOM;Cornaa;;;W4.41;N54.27;10;
1;IOM;Corrany;;;W4.38;N54.27;10;
1;IOM;Cranstal;;;W4.37;N54.39;10;
1;IOM;Cregneash;;;W4.78;N54.06;10;
1;IOM;Cronk;;;W4.56;N54.32;10;
1;IOM;Crosby;;;W4.57;N54.17;10;
1;IOM;Dalby;;;W4.74;N54.17;10;
1;IOM;Derbyhaven;;;W4.63;N54.07;10;
1;IOM;Dhoo;;;W4.46;N54.14;10;
1;IOM;Dhoon;;;W4.38;N54.24;10;
1;IOM;Dhoor;;;W4.40;N54.33;10;
1;IOM;Douglas;;;W4.48;N54.14;10;
1;IOM;Dreemskerry;;;W4.35;N54.29;10;
1;IOM;Eairy;;;W4.62;N54.16;10;
1;IOM;Fistard;;;W4.75;N54.06;10;
1;IOM;Four Roads;;;W4.75;N54.07;10;
1;IOM;Foxdale;;;W4.65;N54.16;10;
