Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
0;MTQ;;;;W61;N15;5;
1;MTQ;Martinique;;;W61.03;N14.64;7;
2;MTQ;Martinique;Martinique (972);;W61.03;N14.64;9;
3;MTQ;Martinique;Martinique (972);Basse-Pointe 97203;W61.119;N14.869;14;
3;MTQ;Martinique;Martinique (972);Bellefontaine 97234;W61.175;N14.687;14;
3;MTQ;Martinique;Martinique (972);Case-Pilote 97205;W61.139;N14.643;14;
3;MTQ;Martinique;Martinique (972);Ducos 97207;W60.976;N14.576;14;
3;MTQ;Martinique;Martinique (972);Fonds-Saint-Denis 97208;W61.132;N14.739;14;
3;MTQ;Martinique;Martinique (972);Fort-de-France 97209;W61.069;N14.602;14;
3;MTQ;Martinique;Martinique (972);Grand'Rivière 97211;W61.180;N14.873;14;
3;MTQ;Martinique;Martinique (972);Gros-Morne 97212;W61.005;N14.710;14;
3;MTQ;Martinique;Martinique (972);L'Ajoupa-Bouillon 97201;W61.115;N14.825;14;
3;MTQ;Martinique;Martinique (972);La Trinité 97230;W60.964;N14.738;18;
3;MTQ;Martinique;Martinique (972);Le Carbet 97204;W61.181;N14.712;14;
3;MTQ;Martinique;Martinique (972);Le Diamant 97206;W61.026;N14.480;14;
3;MTQ;Martinique;Martinique (972);Le François 97210;W60.903;N14.615;14;
3;MTQ;Martinique;Martinique (972);Le Lamentin 97213;W61.003;N14.612;14;
3;MTQ;Martinique;Martinique (972);Le Lorrain 97214;W61.053;N14.830;14;
3;MTQ;Martinique;Martinique (972);Le Marigot 97216;W61.03;N14.82;14;
3;MTQ;Martinique;Martinique (972);Le Marin 97217;W60.869;N14.472;14;
3;MTQ;Martinique;Martinique (972);Le Morne-Rouge 97218;W61.135;N14.773;14;
3;MTQ;Martinique;Martinique (972);Le Morne-Vert 97233;W61.145;N14.707;14;
3;MTQ;Martinique;Martinique (972);Le Prêcheur 97219;W61.224;N14.801;14;
3;MTQ;Martinique;Martinique (972);Le Robert 97222;W60.939;N14.677;14;
3;MTQ;Martinique;Martinique (972);Le Vauclin 97232;W60.840;N14.545;14;
3;MTQ;Martinique;Martinique (972);Les Anses-d'Arlet 97202;W61.08;N14.491;14;
3;MTQ;Martinique;Martinique (972);Les Trois-Îlets 97231;W61.024;N14.538;14;
3;MTQ;Martinique;Martinique (972);Macouba 97215;W61.146;N14.876;14;
3;MTQ;Martinique;Martinique (972);Rivière-Pilote 97220;W60.904;N14.487;14;
3;MTQ;Martinique;Martinique (972);Rivière-Salée 97221;W60.981;N14.529;14;
3;MTQ;Martinique;Martinique (972);Saint-Esprit 97223;W60.937;N14.562;14;
3;MTQ;Martinique;Martinique (972);Saint-Joseph 97224;W61.038;N14.671;14;
3;MTQ;Martinique;Martinique (972);Saint-Pierre 97225;W61.175;N14.743;14;
3;MTQ;Martinique;Martinique (972);Sainte-Anne 97226;W60.881;N14.435;14;
3;MTQ;Martinique;Martinique (972);Sainte-Luce 97227;W60.922;N14.468;14;
3;MTQ;Martinique;Martinique (972);Sainte-Marie 97228;W60.994;N14.781;14;
3;MTQ;Martinique;Martinique (972);Schoelcher 97229;W61.102;N14.616;14;
