"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Drenthe;Aa en Hunze;;E6.666;N53.01;9;places/NLD/flags/DR/Aa_en_Hunze.gif
3;NLD;Drenthe;Aa en Hunze;Achter 't Hout;;;12;
3;NLD;Drenthe;Aa en Hunze;Amen;E6.61;N52.94;12;
3;NLD;Drenthe;Aa en Hunze;Anderen;E6.68;N53.00;12;
3;NLD;Drenthe;Aa en Hunze;Anloo;E6.70;N53.04;12;
3;NLD;Drenthe;Aa en Hunze;Annen;E6.72;N53.06;12;
3;NLD;Drenthe;Aa en Hunze;Annerveen;E6.77;N53.08;12;
3;NLD;Drenthe;Aa en Hunze;Annerveensche Kanaal;E6.79;N53.08;14;
3;NLD;Drenthe;Aa en Hunze;Balloërveld;E6.63;N53.02;12;
3;NLD;Drenthe;Aa en Hunze;Balloo;E6.63;N53.00;12;
3;NLD;Drenthe;Aa en Hunze;Bareveld;E6.85;N53.05;13;
3;NLD;Drenthe;Aa en Hunze;Bonnen;E6.77;N53.00;14;
3;NLD;Drenthe;Aa en Hunze;Bonnerveen;E6.83;N53.02;12;
3;NLD;Drenthe;Aa en Hunze;Bosje;E6.6;N52.9;12;
3;NLD;Drenthe;Aa en Hunze;De Hilte;E6.83;N53.04;12;
3;NLD;Drenthe;Aa en Hunze;Deurze;E6.609;N52.984;13;
3;NLD;Drenthe;Aa en Hunze;Eext;E6.735;N53.017;12;
3;NLD;Drenthe;Aa en Hunze;Eexterveen;E6.80;N53.05;12;
3;NLD;Drenthe;Aa en Hunze;Eexterveensche Kanaal;E6.82;N53.06;12;
3;NLD;Drenthe;Aa en Hunze;Eexterzandvoort;E6.78;N53.03;12;
3;NLD;Drenthe;Aa en Hunze;Ekehaar;E6.60;N52.95;12;
3;NLD;Drenthe;Aa en Hunze;Eldersloo;E6.618;N52.966;12;
3;NLD;Drenthe;Aa en Hunze;Eleveld;E6.579;N52.957;12;
3;NLD;Drenthe;Aa en Hunze;Gasselte;E6.79;N52.97;12;
3;NLD;Drenthe;Aa en Hunze;Gasselterboerveen;E6.85;N53.00;12;
3;NLD;Drenthe;Aa en Hunze;Gasselterboerveenschemond;E6.893;N53.008;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveen;E6.85;N52.98;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond;E6.898;N52.994;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond 1e Dwarsdiep;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasselternijveenschemond 2e Dwarsdiep;;;12;
3;NLD;Drenthe;Aa en Hunze;Gasteren;E6.66;N53.03;12;
3;NLD;Drenthe;Aa en Hunze;Geelbroek;E6.57;N52.95;12;
3;NLD;Drenthe;Aa en Hunze;Gieten;E6.76;N53.00;12;
3;NLD;Drenthe;Aa en Hunze;Gieterveen;E6.833;N53.027;12;
3;NLD;Drenthe;Aa en Hunze;Gieterzandvoort;;;12;
3;NLD;Drenthe;Aa en Hunze;Grolloo;E6.67;N52.93;12;
3;NLD;Drenthe;Aa en Hunze;Kostvlies;E6.80;N52.98;12;
3;NLD;Drenthe;Aa en Hunze;Marwijksoord;E6.67;N52.96;12;
3;NLD;Drenthe;Aa en Hunze;Nieuw-Annerveen;E6.778;N53.065;12;
3;NLD;Drenthe;Aa en Hunze;Nieuwediep;E6.85;N53.05;12;
3;NLD;Drenthe;Aa en Hunze;Nijlande;E6.626;N52.974;12;
3;NLD;Drenthe;Aa en Hunze;Nooitgedacht;E6.664;N52.975;13;
3;NLD;Drenthe;Aa en Hunze;Oud-Annerveen;E6.76;N53.09;12;
3;NLD;Drenthe;Aa en Hunze;Papenvoort;E6.70;N52.95;12;
3;NLD;Drenthe;Aa en Hunze;Rolde;E6.65;N52.98;12;
3;NLD;Drenthe;Aa en Hunze;Schipborg;E6.67;N53.073;12;
3;NLD;Drenthe;Aa en Hunze;Schoonlo;E6.70;N52.90;12;
3;NLD;Drenthe;Aa en Hunze;Schoonloo;E6.70;N52.90;12;
3;NLD;Drenthe;Aa en Hunze;Schreierswijk;E6.87;N52.98;12;
3;NLD;Drenthe;Aa en Hunze;Spijkerboor;E6.762;N53.076;12;
3;NLD;Drenthe;Aa en Hunze;Streek;E6.850;N53.033;12;
3;NLD;Drenthe;Aa en Hunze;Torenveen;E6.833;N53.000;12;
3;NLD;Drenthe;Aa en Hunze;Veenhof;E6.817;N53.000;12;
3;NLD;Drenthe;Aa en Hunze;Vredenheim;E6.666;N52.949;12;
2;NLD;Drenthe;Assen;;E6.52;N53.00;11;places/NLD/flags/DR/Assen.gif
3;NLD;Drenthe;Assen;Anreep;E6.584;N52.976;13;
3;NLD;Drenthe;Assen;Assen;E6.55;N53.00;12;
3;NLD;Drenthe;Assen;De Haar;E6.53;N52.97;12;
3;NLD;Drenthe;Assen;Graswijk;E6.56;N52.97;12;
3;NLD;Drenthe;Assen;Kloosterveen;E6.52;N53.00;12;
3;NLD;Drenthe;Assen;Loon;E6.62;N53.02;12;
3;NLD;Drenthe;Assen;Peelo;E6.57;N53.02;12;
3;NLD;Drenthe;Assen;Rhee;E6.57;N53.03;12;
3;NLD;Drenthe;Assen;Schieven;E6.59;N52.98;12;
3;NLD;Drenthe;Assen;Ter Aard;E6.55;N53.03;12;
3;NLD;Drenthe;Assen;Ubbena;E6.57;N53.05;12;
3;NLD;Drenthe;Assen;Witten;E6.52;N52.98;12;
3;NLD;Drenthe;Assen;Zeijerveen;E6.52;N53.01;13;
3;NLD;Drenthe;Assen;Zeijerveld;E6.52;N53.03;12;
2;NLD;Drenthe;Borger-Odoorn;;E7.025;N52.91;10;places/NLD/flags/DR/Borger-Odoorn.gif
3;NLD;Drenthe;Borger-Odoorn;Borger;E6.79;N52.92;12;
3;NLD;Drenthe;Borger-Odoorn;Bronneger;E6.814;N52.947;12;
3;NLD;Drenthe;Borger-Odoorn;Bronnegerveen;E6.833;N52.950;12;
3;NLD;Drenthe;Borger-Odoorn;Buinen;E6.83;N52.93;12;
3;NLD;Drenthe;Borger-Odoorn;Buinerveen;E6.88;N52.93;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwen;E6.80;N52.95;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwenermond;E6.884;N52.972;12;
3;NLD;Drenthe;Borger-Odoorn;Drouwenerveen;E6.851;N52.968;12;
3;NLD;Drenthe;Borger-Odoorn;Eerste Exloërmond;E6.967;N52.950;12;
3;NLD;Drenthe;Borger-Odoorn;Eerste Valthermond;E6.98;N52.88;12;
3;NLD;Drenthe;Borger-Odoorn;Ees;E6.804;N52.909;12;
3;NLD;Drenthe;Borger-Odoorn;Eesergroen;E6.78;N52.89;12;
3;NLD;Drenthe;Borger-Odoorn;Eeserveen;E6.76;N52.87;12;
3;NLD;Drenthe;Borger-Odoorn;Ellertshaar;E6.74;N52.89;12;
3;NLD;Drenthe;Borger-Odoorn;Exloërveen;E6.901;N52.915;14;
3;NLD;Drenthe;Borger-Odoorn;Exloo;E6.86;N52.88;12;
