"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Flevoland;Almere;;E5.26;N52.38;11;places/NLD/flags/FL/Almere.gif
3;NLD;Flevoland;Almere;Almere;E5.22;N52.37;12;
3;NLD;Flevoland;Almere;Almere-Buiten;E5.28;N52.40;12;
3;NLD;Flevoland;Almere;Almere-Haven;E5.22;N52.34;12;
3;NLD;Flevoland;Almere;Almere-Hout;E5.30;N52.34;12;
3;NLD;Flevoland;Almere;Almere-Stad;E5.22;N52.37;12;
3;NLD;Flevoland;Almere;Zuiderflevo;;;12;
2;NLD;Flevoland;Dronten;;E5.65;N52.52;10;
3;NLD;Flevoland;Dronten;Biddinghuizen;E5.69;N52.46;12;
3;NLD;Flevoland;Dronten;Dronten;E5.72;N52.53;12;
3;NLD;Flevoland;Dronten;Ketelhaven;E5.76;N52.58;12;
3;NLD;Flevoland;Dronten;Swifterbant;E5.65;N52.57;12;
2;NLD;Flevoland;Lelystad;;E5.48;N52.47;11;places/NLD/flags/FL/Lelystad.gif
3;NLD;Flevoland;Lelystad;Lelystad;E5.48;N52.51;12;
2;NLD;Flevoland;Noordoostpolder;;E5.77;N52.73;10;places/NLD/flags/FL/Noordoostpolder.gif
3;NLD;Flevoland;Noordoostpolder;Bant;E5.75;N52.77;12;
3;NLD;Flevoland;Noordoostpolder;Creil;E5.661;N52.764;12;
3;NLD;Flevoland;Noordoostpolder;Emmeloord;E5.75;N52.71;12;
3;NLD;Flevoland;Noordoostpolder;Ens;E5.83;N52.64;12;
3;NLD;Flevoland;Noordoostpolder;Espel;E5.642;N52.724;12;
3;NLD;Flevoland;Noordoostpolder;Kraggenburg;E5.90;N52.66;12;
3;NLD;Flevoland;Noordoostpolder;Luttelgeest;E5.855;N52.743;12;
3;NLD;Flevoland;Noordoostpolder;Marknesse;E5.86;N52.71;12;
3;NLD;Flevoland;Noordoostpolder;Nagele;E5.72;N52.64;12;
3;NLD;Flevoland;Noordoostpolder;Ramspol;;;12;
3;NLD;Flevoland;Noordoostpolder;Rutten;E5.697;N52.803;12;
3;NLD;Flevoland;Noordoostpolder;Tollebeek;E5.675;N52.678;12;
2;NLD;Flevoland;Urk;;E5.62;N52.66;11;places/NLD/flags/FL/Urk.gif
3;NLD;Flevoland;Urk;Urk;E5.61;N52.66;12;
2;NLD;Flevoland;Zeewolde;;E5.53;N52.33;11;places/NLD/flags/FL/Zeewolde.gif
3;NLD;Flevoland;Zeewolde;Zeewolde;E5.54;N52.33;12;
