"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Friesland;Achtkarspelen;;E6.05;N53.22;11;places/NLD/flags/FR/Achtkarspelen.gif
3;NLD;Friesland;Achtkarspelen;Augustinusga;E6.163;N53.217;12;
3;NLD;Friesland;Achtkarspelen;Blauwverlaat;E6.174;N53.225;12;
3;NLD;Friesland;Achtkarspelen;Boelenslaan;E6.14;N53.16;12;
3;NLD;Friesland;Achtkarspelen;Buitenpost;E6.14;N53.25;12;
3;NLD;Friesland;Achtkarspelen;Drogeham;E6.11;N53.20;12;
3;NLD;Friesland;Achtkarspelen;Gerkesklooster;E6.20;N53.24;12;
3;NLD;Friesland;Achtkarspelen;Harkema;E6.133;N53.184;12;
3;NLD;Friesland;Achtkarspelen;Kootstertille;E6.095;N53.213;12;
3;NLD;Friesland;Achtkarspelen;Stroobos;E6.210;N53.239;12;
3;NLD;Friesland;Achtkarspelen;Surhuisterveen;E6.17;N53.18;12;
3;NLD;Friesland;Achtkarspelen;Surhuizum;E6.180;N53.206;12;
3;NLD;Friesland;Achtkarspelen;Twijzel;E6.090;N53.231;12;
3;NLD;Friesland;Achtkarspelen;Twijzelerheide;E6.05;N53.24;12;
2;NLD;Friesland;Ameland;;E5.774;N53.45;11;places/NLD/flags/FR/Ameland.gif
3;NLD;Friesland;Ameland;Ameland;E5.78;N53.45;11;
3;NLD;Friesland;Ameland;Ballum;E5.689;N53.445;12;
3;NLD;Friesland;Ameland;Buren;E5.80;N53.45;12;
3;NLD;Friesland;Ameland;Hollum;E5.64;N53.44;12;
3;NLD;Friesland;Ameland;Nes;E5.774;N53.445;12;
2;NLD;Friesland;Bolsward;;E5.52;N53.05;11;places/NLD/flags/FR/Bolsward.gif
3;NLD;Friesland;Bolsward;Bolsward;E5.52;N53.06;12;
2;NLD;Friesland;Boornsterhem;;E5.85;N53.11;10;places/NLD/flags/FR/Boornsterhem.gif
3;NLD;Friesland;Boornsterhem;Abbengawier;E5.789;N53.064;12;
3;NLD;Friesland;Boornsterhem;Aegum;E5.83;N53.13;12;
3;NLD;Friesland;Boornsterhem;Akkrum;E5.83;N53.05;12;
3;NLD;Friesland;Boornsterhem;Aldeboarn;E5.896;N53.048;12;
3;NLD;Friesland;Boornsterhem;Bokkum;E5.840;N53.061;13;
3;NLD;Friesland;Boornsterhem;Dearsum;E5.714;N53.087;13;
3;NLD;Friesland;Boornsterhem;Deersum;E5.716;N53.086;12;
3;NLD;Friesland;Boornsterhem;Eagum;E5.83;N53.13;12;
3;NLD;Friesland;Boornsterhem;Friens;E5.798;N53.098;12;
3;NLD;Friesland;Boornsterhem;Grou;E5.84;N53.09;12;
3;NLD;Friesland;Boornsterhem;Grouw;E5.84;N53.09;12;
3;NLD;Friesland;Boornsterhem;Idaard;E5.81;N53.12;12;
3;NLD;Friesland;Boornsterhem;Idaerd;E5.81;N53.12;12;
3;NLD;Friesland;Boornsterhem;Irnsum;E5.79;N53.08;12;
3;NLD;Friesland;Boornsterhem;Jirnsum;E5.79;N53.08;12;
3;NLD;Friesland;Boornsterhem;Nes;E5.85;N53.05;12;
3;NLD;Friesland;Boornsterhem;Oldeboorn;E5.896;N53.048;12;
3;NLD;Friesland;Boornsterhem;Poppenwier;E5.744;N53.084;12;
3;NLD;Friesland;Boornsterhem;Poppingawier;E5.748;N53.083;12;
3;NLD;Friesland;Boornsterhem;Raerd;E5.759;N53.098;12;
3;NLD;Friesland;Boornsterhem;Rauwerd;E5.759;N53.098;12;
3;NLD;Friesland;Boornsterhem;Reduzum;;;12;
3;NLD;Friesland;Boornsterhem;Roordahuizum;E5.784;N53.118;12;
3;NLD;Friesland;Boornsterhem;Sibrandabuorren;E5.72;N53.07;12;
3;NLD;Friesland;Boornsterhem;Sijbrandaburen;E5.718;N53.068;12;
3;NLD;Friesland;Boornsterhem;Terherne;E5.783;N53.037;12;
3;NLD;Friesland;Boornsterhem;Terhorne;E5.779;N53.037;12;
3;NLD;Friesland;Boornsterhem;Tersoal;E5.737;N53.075;12;
3;NLD;Friesland;Boornsterhem;Terzool;E5.737;N53.075;12;
3;NLD;Friesland;Boornsterhem;Warga;E5.84;N53.15;12;
