"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Gelderland;Aalten;;E6.515;N51.917;11;places/NLD/flags/GE/Aalten.gif
3;NLD;Gelderland;Aalten;'t Klooster;;;12;
3;NLD;Gelderland;Aalten;Aalten;E6.582;N51.926;12;
3;NLD;Gelderland;Aalten;Achterheurne;;;12;
3;NLD;Gelderland;Aalten;Barlo;E6.591;N51.955;12;
3;NLD;Gelderland;Aalten;Bredevoort;E6.618;N51.941;12;
3;NLD;Gelderland;Aalten;Dale;E6.561;N51.942;12;
3;NLD;Gelderland;Aalten;De Heurne;E6.490;N51.888;12;
3;NLD;Gelderland;Aalten;Dinxperlo;E6.488;N51.863;12;
3;NLD;Gelderland;Aalten;Haart;E6.633;N51.917;12;
3;NLD;Gelderland;Aalten;Heurne;E6.584;N51.896;12;
3;NLD;Gelderland;Aalten;IJzerlo;E6.541;N51.886;12;
3;NLD;Gelderland;Aalten;Lintelo;E6.515;N51.925;12;
2;NLD;Gelderland;Apeldoorn;;E6.033;N52.200;10;places/NLD/flags/GE/Apeldoorn.gif
3;NLD;Gelderland;Apeldoorn;Apeldoorn;E5.967;N52.217;12;
3;NLD;Gelderland;Apeldoorn;Assel;E5.833;N52.200;12;
3;NLD;Gelderland;Apeldoorn;Beekbergen;E5.964;N52.159;12;
3;NLD;Gelderland;Apeldoorn;Beemte;E6.000;N52.250;12;
3;NLD;Gelderland;Apeldoorn;Brink en Orden;E5.932;N52.201;12;
3;NLD;Gelderland;Apeldoorn;Broekland;E6.008;N52.266;13;
3;NLD;Gelderland;Apeldoorn;De Kar;E6.057;N52.197;13;
3;NLD;Gelderland;Apeldoorn;Engeland;E5.958;N52.166;13;
3;NLD;Gelderland;Apeldoorn;Groenendaal;E5.950;N52.081;13;
3;NLD;Gelderland;Apeldoorn;Het Loo;E5.944;N52.228;12;
3;NLD;Gelderland;Apeldoorn;Hoenderloo;E5.883;N52.117;12;
3;NLD;Gelderland;Apeldoorn;Hoog Buurlo;E5.845;N52.179;13;
3;NLD;Gelderland;Apeldoorn;Hoog Soeren;E5.872;N52.218;12;
3;NLD;Gelderland;Apeldoorn;Hooilanden;;;12;
3;NLD;Gelderland;Apeldoorn;Klarenbeek;E6.062;N52.166;12;
3;NLD;Gelderland;Apeldoorn;Lieren;E5.988;N52.162;12;
3;NLD;Gelderland;Apeldoorn;Loenen;E6.017;N52.117;12;
3;NLD;Gelderland;Apeldoorn;Meerveld;E5.767;N52.233;12;
3;NLD;Gelderland;Apeldoorn;Millingen Legerplaats;;;12;
3;NLD;Gelderland;Apeldoorn;Nieuw-Milligen;E5.776;N52.221;12;
3;NLD;Gelderland;Apeldoorn;Oosterhuizen;E6.007;N52.156;12;
3;NLD;Gelderland;Apeldoorn;Radio Kootwijk;E5.840;N52.176;13;
3;NLD;Gelderland;Apeldoorn;Uddel;E5.783;N52.257;12;
3;NLD;Gelderland;Apeldoorn;Ugchelen;E5.933;N52.183;12;
3;NLD;Gelderland;Apeldoorn;Wenum;E5.949;N52.248;13;
3;NLD;Gelderland;Apeldoorn;Wenum  Wiesel;E5.964;N52.255;13;
3;NLD;Gelderland;Apeldoorn;Wiesel;E5.940;N52.252;12;
3;NLD;Gelderland;Apeldoorn;Woeste Hoeve;E5.951;N52.107;12;
