"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Groningen;Appingedam;;E6.834;N53.32;11;places/NLD/flags/GR/Appingedam.gif
3;NLD;Groningen;Appingedam;Appingedam;E6.85;N53.32;12;
3;NLD;Groningen;Appingedam;Garreweer;E6.817;N53.317;12;
3;NLD;Groningen;Appingedam;Jukwerd;E6.846;N53.336;12;
3;NLD;Groningen;Appingedam;Laskwerd;E6.849;N53.295;12;
3;NLD;Groningen;Appingedam;Marsum;E6.883;N53.333;12;
3;NLD;Groningen;Appingedam;Oling;E6.833;N53.317;13;
3;NLD;Groningen;Appingedam;Opwierde;E6.873;N53.313;12;
3;NLD;Groningen;Appingedam;Solwerd;E6.868;N53.322;12;
3;NLD;Groningen;Appingedam;Tjamsweer;E6.834;N53.323;12;
2;NLD;Groningen;Bedum;;E6.59;N53.30;10;places/NLD/flags/GR/Bedum.gif
3;NLD;Groningen;Bedum;Bedum;E6.60;N53.30;12;
3;NLD;Groningen;Bedum;Ellerhuizen;E6.61;N53.28;13;
3;NLD;Groningen;Bedum;Noordwolde;E6.589;N53.272;12;
3;NLD;Groningen;Bedum;Onderdendam;E6.586;N53.335;12;
3;NLD;Groningen;Bedum;Westerdijkshorn;E6.577;N53.311;12;
3;NLD;Groningen;Bedum;Zuidwolde;E6.59;N53.26;12;
2;NLD;Groningen;Bellingwedde;;E7.070;N53.11;10;places/NLD/flags/GR/Bellingwedde.gif
3;NLD;Groningen;Bellingwedde;Bellingwolde;E7.17;N53.12;12;
3;NLD;Groningen;Bellingwedde;Blijham;E7.07;N53.11;12;
3;NLD;Groningen;Bellingwedde;Klein-Ulsda;E7.146;N53.155;12;
3;NLD;Groningen;Bellingwedde;Oudeschans;E7.145;N53.137;12;
3;NLD;Groningen;Bellingwedde;Rhederbrug;E7.17;N53.08;12;
3;NLD;Groningen;Bellingwedde;Rhederveld;E7.185;N53.062;12;
3;NLD;Groningen;Bellingwedde;Veelerveen;E7.126;N53.057;12;
3;NLD;Groningen;Bellingwedde;Vriescheloo;E7.114;N53.068;12;
3;NLD;Groningen;Bellingwedde;Wedde;E7.076;N53.070;12;
3;NLD;Groningen;Bellingwedde;Wedderveer;E7.070;N53.088;12;
2;NLD;Groningen;De Marne;;E6.377;N53.37;10;places/NLD/flags/GR/De_Marne.gif
3;NLD;Groningen;De Marne;Broek;E6.424;N53.395;12;
3;NLD;Groningen;De Marne;Eenrum;E6.46;N53.36;12;
3;NLD;Groningen;De Marne;Hornhuizen;E6.360;N53.388;12;
3;NLD;Groningen;De Marne;Houwerzijl;E6.343;N53.336;12;
3;NLD;Groningen;De Marne;Kleine Huisjes;E6.403;N53.395;12;
3;NLD;Groningen;De Marne;Kloosterburen;E6.390;N53.387;12;
3;NLD;Groningen;De Marne;Kruisweg;E6.373;N53.388;12;
3;NLD;Groningen;De Marne;Lauwersoog;E6.22;N53.40;12;
3;NLD;Groningen;De Marne;Leens;E6.38;N53.36;12;
3;NLD;Groningen;De Marne;Maarslag;E6.45;N53.34;12;
3;NLD;Groningen;De Marne;Mensingeweer;E6.465;N53.351;12;
3;NLD;Groningen;De Marne;Molenrij;E6.404;N53.387;12;
3;NLD;Groningen;De Marne;Niekerk;E6.329;N53.343;12;
3;NLD;Groningen;De Marne;Pieterburen;E6.451;N53.401;12;
3;NLD;Groningen;De Marne;Schouwerzijl;E6.450;N53.332;12;
3;NLD;Groningen;De Marne;Ulrum;E6.334;N53.358;12;
3;NLD;Groningen;De Marne;Vierhuizen;E6.288;N53.361;12;
3;NLD;Groningen;De Marne;Vliedorp;E6.342;N53.340;12;
3;NLD;Groningen;De Marne;Warfhuizen;E6.424;N53.342;12;
3;NLD;Groningen;De Marne;Wehe;E6.416;N53.361;12;
3;NLD;Groningen;De Marne;Wehe den Hoorn;E6.417;N53.360;12;
3;NLD;Groningen;De Marne;Westernieland;E6.479;N53.401;12;
3;NLD;Groningen;De Marne;Wierhuizen;E6.445;N53.401;12;
3;NLD;Groningen;De Marne;Zoutkamp;E6.30;N53.34;12;
3;NLD;Groningen;De Marne;Zuurdijk;E6.377;N53.337;12;
2;NLD;Groningen;Delfzijl;;E6.895;N53.332;10;places/NLD/flags/GR/Delfzijl.gif
3;NLD;Groningen;Delfzijl;Amsweer;E6.902;N53.310;12;
3;NLD;Groningen;Delfzijl;Arwerd;E6.835;N53.353;12;
3;NLD;Groningen;Delfzijl;Baamsum;E7.042;N53.284;12;
3;NLD;Groningen;Delfzijl;Bierum;E6.861;N53.383;12;
3;NLD;Groningen;Delfzijl;Biessum;E6.900;N53.333;12;
3;NLD;Groningen;Delfzijl;Borgsweer;E7.014;N53.298;12;
3;NLD;Groningen;Delfzijl;Delfzijl;E6.92;N53.33;12;
3;NLD;Groningen;Delfzijl;Farmsum;E6.93;N53.32;12;
3;NLD;Groningen;Delfzijl;Godlinze;E6.814;N53.373;12;
3;NLD;Groningen;Delfzijl;Heveskes;E6.966;N53.308;12;
3;NLD;Groningen;Delfzijl;Holwierde;E6.872;N53.358;12;
3;NLD;Groningen;Delfzijl;Krewerd;E6.849;N53.354;12;
3;NLD;Groningen;Delfzijl;Losdorp;E6.835;N53.376;12;
3;NLD;Groningen;Delfzijl;Meedhuizen;E6.910;N53.284;12;
3;NLD;Groningen;Delfzijl;Oterdum;;;12;
3;NLD;Groningen;Delfzijl;Spijk;E6.84;N53.39;12;
3;NLD;Groningen;Delfzijl;Termunten;E7.047;N53.298;12;
3;NLD;Groningen;Delfzijl;Termunterzijl;E7.03;N53.30;12;
3;NLD;Groningen;Delfzijl;Tjamsweer;E6.835;N53.323;12;
3;NLD;Groningen;Delfzijl;Uitwierde;E6.897;N53.341;12;
3;NLD;Groningen;Delfzijl;Wagenborgen;E6.931;N53.256;12;
3;NLD;Groningen;Delfzijl;Weiwerd;E6.947;N53.312;12;
3;NLD;Groningen;Delfzijl;Woldendorp;E7.03;N53.27;12;
2;NLD;Groningen;Eemsmond;;E6.756;N53.43;10;places/NLD/flags/GR/Eemsmond.gif
3;NLD;Groningen;Eemsmond;Breede;E6.538;N53.387;12;
3;NLD;Groningen;Eemsmond;Eemshaven;E6.83;N53.45;12;
3;NLD;Groningen;Eemsmond;Eppenhuizen;E6.693;N53.381;12;
3;NLD;Groningen;Eemsmond;Kantens;E6.633;N53.365;12;
3;NLD;Groningen;Eemsmond;Oldenzijl;E6.717;N53.394;12;
3;NLD;Groningen;Eemsmond;Oosteinde;E6.80;N53.42;12;
3;NLD;Groningen;Eemsmond;Oosternieland;E6.75;N53.40;12;
3;NLD;Groningen;Eemsmond;Oudeschip;E6.83;N53.43;12;
3;NLD;Groningen;Eemsmond;Roodeschool;E6.76;N53.42;12;
3;NLD;Groningen;Eemsmond;Rottum;E6.62;N53.38;12;
3;NLD;Groningen;Eemsmond;Rottumeroog;E6.58;N53.54;12;
3;NLD;Groningen;Eemsmond;Rottumerplaat;E6.47;N53.54;12;
3;NLD;Groningen;Eemsmond;Startenhuizen;E6.703;N53.374;12;
3;NLD;Groningen;Eemsmond;Stitswerd;E6.60;N53.36;12;
3;NLD;Groningen;Eemsmond;Uithuizen;E6.67;N53.41;12;
3;NLD;Groningen;Eemsmond;Uithuizermeeden;E6.725;N53.416;12;
3;NLD;Groningen;Eemsmond;Usquert;E6.61;N53.40;12;
3;NLD;Groningen;Eemsmond;Warffum;E6.56;N53.39;12;
3;NLD;Groningen;Eemsmond;Zandeweer;E6.682;N53.387;12;
3;NLD;Groningen;Eemsmond;Zijldijk;E6.756;N53.394;12;
2;NLD;Groningen;Groningen;;E6.49;N53.22;11;places/NLD/flags/GR/Groningen.gif
3;NLD;Groningen;Groningen;Den Horn;E6.45;N53.23;12;
3;NLD;Groningen;Groningen;Dorkwerd;E6.513;N53.250;12;
3;NLD;Groningen;Groningen;Engelbert;E6.648;N53.209;12;
3;NLD;Groningen;Groningen;Euvelgunne;E6.60;N53.21;12;
3;NLD;Groningen;Groningen;Groningen;E6.57;N53.22;12;
3;NLD;Groningen;Groningen;Helpman;E6.58;N53.20;12;
3;NLD;Groningen;Groningen;Hoogkerk;E6.50;N53.21;12;
3;NLD;Groningen;Groningen;Kostverloren;;;12;
3;NLD;Groningen;Groningen;Leegkerk;E6.49;N53.23;12;
3;NLD;Groningen;Groningen;Middelbert;E6.63;N53.22;12;
3;NLD;Groningen;Groningen;Noorddijk;E6.627;N53.244;12;
3;NLD;Groningen;Groningen;Noorderhoogebrug;E6.565;N53.244;12;
3;NLD;Groningen;Groningen;Oosterhoogebrug;E6.600;N53.228;12;
3;NLD;Groningen;Groningen;Roodehaan;E6.63;N53.19;12;
3;NLD;Groningen;Groningen;Ruischerbrug;E6.63;N53.23;12;
3;NLD;Groningen;Groningen;Vierverlaten;E6.49;N53.21;12;
2;NLD;Groningen;Grootegast;;E6.31;N53.21;11;places/NLD/flags/GR/Grootegast.gif
3;NLD;Groningen;Grootegast;Buikstede;E6.290;N53.242;12;
3;NLD;Groningen;Grootegast;Doezum;E6.25;N53.20;12;
3;NLD;Groningen;Grootegast;Enumatil;E6.407;N53.215;12;
3;NLD;Groningen;Grootegast;Faan;E6.376;N53.233;12;
3;NLD;Groningen;Grootegast;Grootegast;E6.27;N53.21;12;
3;NLD;Groningen;Grootegast;Kornhorn;E6.245;N53.183;12;
3;NLD;Groningen;Grootegast;Lutjegast;E6.257;N53.234;12;
3;NLD;Groningen;Grootegast;Niekerk;E6.353;N53.225;12;
3;NLD;Groningen;Grootegast;Oldekerk;E6.339;N53.220;12;
3;NLD;Groningen;Grootegast;Opende;E6.200;N53.173;12;
3;NLD;Groningen;Grootegast;Sebaldeburen;E6.31;N53.22;12;
2;NLD;Groningen;Haren;;E6.57;N53.16;11;places/NLD/flags/GR/Haren.gif
3;NLD;Groningen;Haren;Essen;E6.60;N53.19;12;
3;NLD;Groningen;Haren;Glimmen;E6.63;N53.14;12;
3;NLD;Groningen;Haren;Haren;E6.60;N53.17;12;
3;NLD;Groningen;Haren;Hoornschedijk;E6.579;N53.172;15;
3;NLD;Groningen;Haren;Noordlaren;E6.667;N53.121;12;
3;NLD;Groningen;Haren;Onnen;E6.641;N53.156;12;
3;NLD;Groningen;Haren;Paterswolde;E6.57;N53.15;12;
