"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Limburg;Ambt Montfort;;E6.034;N51.131;11;places/NLD/flags/LI/Ambt_Montfoort.gif
3;NLD;Limburg;Ambt Montfort;Holst;E6.051;N51.131;13;
3;NLD;Limburg;Ambt Montfort;Lerop;E5.983;N51.167;12;
3;NLD;Limburg;Ambt Montfort;Montfort;E5.948;N51.126;12;
3;NLD;Limburg;Ambt Montfort;Paarlo;E6.036;N51.143;13;
3;NLD;Limburg;Ambt Montfort;Posterholt;E6.031;N51.126;12;
3;NLD;Limburg;Ambt Montfort;Putbroek;E5.987;N51.096;13;
3;NLD;Limburg;Ambt Montfort;Reutje;E6.008;N51.128;12;
3;NLD;Limburg;Ambt Montfort;Sint Odiliënberg;E6.002;N51.144;12;
3;NLD;Limburg;Ambt Montfort;Voorst;E6.034;N51.098;13;
3;NLD;Limburg;Ambt Montfort;Voorsterveld;E6.034;N51.099;13;
2;NLD;Limburg;Arcen en Velden;;E6.167;N51.452;11;places/NLD/flags/LI/Arcen_en_Velden.gif
3;NLD;Limburg;Arcen en Velden;Arcen;E6.180;N51.475;12;
3;NLD;Limburg;Arcen en Velden;Lomm;E6.169;N51.447;12;
3;NLD;Limburg;Arcen en Velden;Schandelo;E6.184;N51.424;12;
3;NLD;Limburg;Arcen en Velden;Velden;E6.167;N51.412;12;
2;NLD;Limburg;Beek;;E5.840;N50.940;12;places/NLD/flags/LI/Beek.gif
3;NLD;Limburg;Beek;Beek;E5.797;N50.937;12;
3;NLD;Limburg;Beek;Geverik;E5.783;N50.933;13;
3;NLD;Limburg;Beek;Groot Genhout;E5.823;N50.928;13;
3;NLD;Limburg;Beek;Kelmond;E5.802;N50.924;13;
3;NLD;Limburg;Beek;Klein Genhout;E5.803;N50.927;13;
3;NLD;Limburg;Beek;Neerbeek;E5.817;N50.950;12;
3;NLD;Limburg;Beek;Spaubeek;E5.840;N50.938;12;
2;NLD;Limburg;Beesel;;E6.083;N51.279;12;places/NLD/flags/LI/Beesel.gif
3;NLD;Limburg;Beesel;Beesel;E6.033;N51.267;12;
3;NLD;Limburg;Beesel;Offenbeek;E6.100;N51.283;13;
3;NLD;Limburg;Beesel;Reuver;E6.083;N51.283;12;
2;NLD;Limburg;Bergen;;E6.133;N51.601;10;places/NLD/flags/LI/Bergen.gif
3;NLD;Limburg;Bergen;Afferden;E6.017;N51.633;12;
3;NLD;Limburg;Bergen;Aijen;E6.043;N51.583;12;
3;NLD;Limburg;Bergen;Augustinus;;;12;
3;NLD;Limburg;Bergen;Bergen;E6.033;N51.600;12;
3;NLD;Limburg;Bergen;Hamert;E6.206;N51.513;12;
3;NLD;Limburg;Bergen;Leuken;E6.067;N51.567;13;
3;NLD;Limburg;Bergen;Nieuw Bergen;E6.054;N51.604;13;
3;NLD;Limburg;Bergen;Siebengewald;E6.106;N51.650;13;
3;NLD;Limburg;Bergen;Well;E6.093;N51.555;13;
3;NLD;Limburg;Bergen;Wellerlooi;E6.133;N51.533;12;
2;NLD;Limburg;Brunssum;;E5.938;N50.945;13;places/NLD/flags/LI/Brunssum.gif
3;NLD;Limburg;Brunssum;Bouwberg;E5.993;N50.953;12;
3;NLD;Limburg;Brunssum;Brunssum;E5.969;N50.946;12;
3;NLD;Limburg;Brunssum;Rumpen;E5.968;N50.940;13;
3;NLD;Limburg;Brunssum;Treebeek;E5.938;N50.931;12;
2;NLD;Limburg;Echt-Susteren;;E5.800;N51.087;11;places/NLD/flags/LI/Echt-Susteren.gif
3;NLD;Limburg;Echt-Susteren;Aasterberg;E5.850;N51.100;12;
3;NLD;Limburg;Echt-Susteren;Annendaal;E6.030;N51.109;12;
3;NLD;Limburg;Echt-Susteren;Baakhoven;E5.833;N51.067;12;
3;NLD;Limburg;Echt-Susteren;Berkelaar;E5.869;N51.123;12;
3;NLD;Limburg;Echt-Susteren;Dieteren;E5.842;N51.075;12;
3;NLD;Limburg;Echt-Susteren;Echt;E5.870;N51.104;12;
3;NLD;Limburg;Echt-Susteren;Echterbosch;E5.975;N51.074;13;
3;NLD;Limburg;Echt-Susteren;Gebroek;E5.817;N51.067;12;
3;NLD;Limburg;Echt-Susteren;Heide;E5.867;N51.067;13;
3;NLD;Limburg;Echt-Susteren;Hingen;E5.900;N51.111;13;
3;NLD;Limburg;Echt-Susteren;Illikhoven;E5.815;N51.064;12;
3;NLD;Limburg;Echt-Susteren;Kokkelert;E5.805;N51.084;13;
3;NLD;Limburg;Echt-Susteren;Koningsbosch;E5.960;N51.051;12;
3;NLD;Limburg;Echt-Susteren;Maria Hoop;E5.971;N51.090;12;
3;NLD;Limburg;Echt-Susteren;Nieuwstadt;E5.862;N51.035;12;
3;NLD;Limburg;Echt-Susteren;Oevereind;E5.833;N51.083;12;
3;NLD;Limburg;Echt-Susteren;Ophoven;E5.846;N51.097;13;
3;NLD;Limburg;Echt-Susteren;Oud-Roosteren;E5.831;N51.079;13;
3;NLD;Limburg;Echt-Susteren;Peij;E5.892;N51.094;12;
3;NLD;Limburg;Echt-Susteren;Roosteren;E5.817;N51.083;12;
3;NLD;Limburg;Echt-Susteren;Schilberg;E5.881;N51.099;13;
3;NLD;Limburg;Echt-Susteren;Sint Joost;E5.900;N51.117;12;
3;NLD;Limburg;Echt-Susteren;Slek;E5.883;N51.083;12;
3;NLD;Limburg;Echt-Susteren;Susteren;E5.850;N51.062;12;
3;NLD;Limburg;Echt-Susteren;Visserweert;E5.800;N51.067;13;
2;NLD;Limburg;Eijsden;;E5.720;N50.788;12;places/NLD/flags/LI/Eijsden.gif
3;NLD;Limburg;Eijsden;Breust;E5.720;N50.780;13;
3;NLD;Limburg;Eijsden;Eijsden;E5.710;N50.778;12;
3;NLD;Limburg;Eijsden;Gronsveld;E5.732;N50.810;12;
3;NLD;Limburg;Eijsden;Maarland;E5.714;N50.794;12;
3;NLD;Limburg;Eijsden;Mariadorp;E5.724;N50.774;12;
3;NLD;Limburg;Eijsden;Mesch;E5.731;N50.763;12;
3;NLD;Limburg;Eijsden;Oost-Maarland;;;12;
3;NLD;Limburg;Eijsden;Rijckholt;E5.733;N50.800;12;
3;NLD;Limburg;Eijsden;Withuis;E5.720;N50.767;13;
2;NLD;Limburg;Gennep;;E6.017;N51.707;11;places/NLD/flags/LI/Gennep.gif
3;NLD;Limburg;Gennep;Aaldonk;E6.000;N51.717;13;
3;NLD;Limburg;Gennep;Dam;E6.033;N51.714;12;
3;NLD;Limburg;Gennep;De Looi;E6.017;N51.700;13;
3;NLD;Limburg;Gennep;Diekendaal;;;12;
3;NLD;Limburg;Gennep;Gennep;E5.977;N51.694;13;
3;NLD;Limburg;Gennep;Heijen;E5.979;N51.675;12;
3;NLD;Limburg;Gennep;Hekkens;;;12;
3;NLD;Limburg;Gennep;Milsbeek;E5.950;N51.727;12;
3;NLD;Limburg;Gennep;Ottersum;E5.983;N51.700;12;
3;NLD;Limburg;Gennep;Smele;;;12;
3;NLD;Limburg;Gennep;Ven-Zelderheide;E6.022;N51.712;13;
3;NLD;Limburg;Gennep;Zelder;E6.017;N51.700;13;
2;NLD;Limburg;Gulpen-Wittem;;E5.912;N50.813;11;places/NLD/flags/LI/Gulpen-Wittem.gif
3;NLD;Limburg;Gulpen-Wittem;Beertsenhoven;E5.883;N50.833;13;
3;NLD;Limburg;Gulpen-Wittem;Berghem;E5.900;N50.800;13;
3;NLD;Limburg;Gulpen-Wittem;Berghof;;;12;
3;NLD;Limburg;Gulpen-Wittem;Beutenaken;E5.854;N50.781;12;
3;NLD;Limburg;Gulpen-Wittem;Billinghuizen;E5.867;N50.800;13;
3;NLD;Limburg;Gulpen-Wittem;Bissen;E5.900;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;Bommerig;;;12;
3;NLD;Limburg;Gulpen-Wittem;Broek;E5.917;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;Cartils;E5.901;N50.823;12;
3;NLD;Limburg;Gulpen-Wittem;Crapoel;E5.881;N50.794;12;
3;NLD;Limburg;Gulpen-Wittem;Dal;E5.900;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;De Hut;E5.847;N50.815;12;
3;NLD;Limburg;Gulpen-Wittem;Diependal;E5.917;N50.767;13;
3;NLD;Limburg;Gulpen-Wittem;Dijk;;;12;
3;NLD;Limburg;Gulpen-Wittem;Elkenrade;E5.918;N50.841;12;
3;NLD;Limburg;Gulpen-Wittem;Elzet;E5.939;N50.789;13;
3;NLD;Limburg;Gulpen-Wittem;Epen;E5.911;N50.775;12;
3;NLD;Limburg;Gulpen-Wittem;Eperheide;E5.892;N50.772;12;
3;NLD;Limburg;Gulpen-Wittem;Etenaken;E5.883;N50.850;13;
3;NLD;Limburg;Gulpen-Wittem;Euverem;E5.868;N50.803;13;
3;NLD;Limburg;Gulpen-Wittem;Eys;E5.935;N50.825;12;
3;NLD;Limburg;Gulpen-Wittem;Eyserheide;E5.932;N50.839;13;
3;NLD;Limburg;Gulpen-Wittem;Gracht;;;12;
3;NLD;Limburg;Gulpen-Wittem;Gulpen;E5.888;N50.817;12;
3;NLD;Limburg;Gulpen-Wittem;Höfke;E5.917;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;Heijenrath;;;12;
3;NLD;Limburg;Gulpen-Wittem;Helle;E5.933;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;Hilleshagen;E5.943;N50.799;13;
3;NLD;Limburg;Gulpen-Wittem;Hurpesch;;;12;
3;NLD;Limburg;Gulpen-Wittem;Ingber;E5.858;N50.818;13;
3;NLD;Limburg;Gulpen-Wittem;Kapolder;E5.900;N50.833;13;
3;NLD;Limburg;Gulpen-Wittem;Kleeberg;E5.929;N50.791;13;
3;NLD;Limburg;Gulpen-Wittem;Kosberg;E5.900;N50.783;13;
3;NLD;Limburg;Gulpen-Wittem;Kuttingen;E5.917;N50.767;13;
3;NLD;Limburg;Gulpen-Wittem;Landsrade;E5.883;N50.783;12;
3;NLD;Limburg;Gulpen-Wittem;Mechelen;E5.925;N50.795;12;
3;NLD;Limburg;Gulpen-Wittem;Mingersberg;E5.950;N50.850;13;
3;NLD;Limburg;Gulpen-Wittem;Nijswiller;E5.959;N50.808;12;
3;NLD;Limburg;Gulpen-Wittem;Overeys;E5.946;N50.826;13;
3;NLD;Limburg;Gulpen-Wittem;Overgeul;E5.918;N50.796;13;
3;NLD;Limburg;Gulpen-Wittem;Partij;E5.921;N50.809;13;
3;NLD;Limburg;Gulpen-Wittem;Pesaken;E5.867;N50.800;12;
3;NLD;Limburg;Gulpen-Wittem;Piepert;E5.917;N50.833;13;
3;NLD;Limburg;Gulpen-Wittem;Plaat;E5.917;N50.767;13;
3;NLD;Limburg;Gulpen-Wittem;Reijmerstok;E5.833;N50.800;12;
3;NLD;Limburg;Gulpen-Wittem;Schilberg;E5.846;N50.770;13;
3;NLD;Limburg;Gulpen-Wittem;Schweiberg;E5.906;N50.786;13;
3;NLD;Limburg;Gulpen-Wittem;Sinselbeek;E5.919;N50.811;13;
3;NLD;Limburg;Gulpen-Wittem;Slenaken;E5.867;N50.767;12;
3;NLD;Limburg;Gulpen-Wittem;Stokhem;E5.883;N50.833;13;
3;NLD;Limburg;Gulpen-Wittem;Terlinden;E5.832;N50.788;12;
3;NLD;Limburg;Gulpen-Wittem;Terpoorten;E5.917;N50.771;13;
3;NLD;Limburg;Gulpen-Wittem;Terziet;E5.910;N50.765;12;
3;NLD;Limburg;Gulpen-Wittem;Trintelen;E5.948;N50.840;12;
3;NLD;Limburg;Gulpen-Wittem;Wahlwiller;E5.937;N50.810;12;
3;NLD;Limburg;Gulpen-Wittem;Wijlre;E5.895;N50.832;12;
3;NLD;Limburg;Gulpen-Wittem;Wittem;E5.912;N50.812;12;
2;NLD;Limburg;Haelen;;E5.962;N51.229;12;places/NLD/flags/LI/Haelen.gif
3;NLD;Limburg;Haelen;Buggenum;E5.977;N51.232;12;
3;NLD;Limburg;Haelen;Haelen;E5.956;N51.234;12;
3;NLD;Limburg;Haelen;Horn;E5.946;N51.209;12;
3;NLD;Limburg;Haelen;Nunhem;E5.962;N51.243;12;
2;NLD;Limburg;Heel;;E5.881;N51.178;12;places/NLD/flags/LI/Heel.gif
3;NLD;Limburg;Heel;Beegden;E5.921;N51.189;12;
3;NLD;Limburg;Heel;Heel;E5.898;N51.179;12;
3;NLD;Limburg;Heel;Panheel;E5.874;N51.175;12;
3;NLD;Limburg;Heel;Wessem;E5.881;N51.161;12;
2;NLD;Limburg;Heerlen;;E5.963;N50.883;11;places/NLD/flags/LI/Heerlen.gif
3;NLD;Limburg;Heerlen;Beersdal;E5.962;N50.903;13;
3;NLD;Limburg;Heerlen;Beitel;E6.004;N50.846;12;
3;NLD;Limburg;Heerlen;Benzenrade;E5.977;N50.865;12;
3;NLD;Limburg;Heerlen;Heerlen;E5.981;N50.881;12;
3;NLD;Limburg;Heerlen;Heerlerbaan;E5.995;N50.869;13;
3;NLD;Limburg;Heerlen;Heerlerheide;E5.956;N50.915;12;
3;NLD;Limburg;Heerlen;Hoensbroek;E5.927;N50.920;12;
3;NLD;Limburg;Heerlen;Nieuw Einde;;;12;
3;NLD;Limburg;Heerlen;Onderste Locht;;;12;
3;NLD;Limburg;Heerlen;Palemig;E5.971;N50.902;13;
3;NLD;Limburg;Heerlen;Welten;E5.963;N50.874;12;
2;NLD;Limburg;Helden;;E5.982;N51.341;12;places/NLD/flags/LI/Helden.gif
3;NLD;Limburg;Helden;Beringe;E5.946;N51.336;12;
3;NLD;Limburg;Helden;Egchel;E5.970;N51.313;12;
3;NLD;Limburg;Helden;Grashoek;E5.943;N51.361;12;
3;NLD;Limburg;Helden;Helden;E6.000;N51.317;12;
3;NLD;Limburg;Helden;Koningslust;E5.997;N51.356;12;
3;NLD;Limburg;Helden;Panningen;E5.982;N51.327;12;
2;NLD;Limburg;Heythuysen;;E5.828;N51.221;12;places/NLD/flags/LI/Heythuysen.gif
3;NLD;Limburg;Heythuysen;Baexem;E5.884;N51.225;12;
3;NLD;Limburg;Heythuysen;Grathem;E5.856;N51.192;12;
