"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Noord-Brabant;'s-Hertogenbosch;;E5.367;N51.719;12;places/NLD/flags/NB/'s-Hertogenbosch.gif
3;NLD;Noord-Brabant;'s-Hertogenbosch;'s-Hertogenbosch;E5.303;N51.693;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Bokhoven;E5.231;N51.737;13;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Coudewater;E5.366;N51.702;13;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Den Bosch;E5.309;N51.694;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Empel;E5.327;N51.731;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Engelen;E5.267;N51.717;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Hintham;E5.343;N51.699;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Kruisstraat;E5.397;N51.729;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Maliskamp;E5.383;N51.700;13;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Meerwijk;E5.333;N51.733;13;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Orthen;E5.305;N51.704;12;
3;NLD;Noord-Brabant;'s-Hertogenbosch;Rosmalen;E5.367;N51.717;12;
2;NLD;Noord-Brabant;Aalburg;;E5.128;N51.760;12;places/NLD/flags/NB/Aalburg.gif
3;NLD;Noord-Brabant;Aalburg;Aalburg;E5.133;N51.751;13;
3;NLD;Noord-Brabant;Aalburg;Babyloniënbroek;E5.019;N51.744;13;
3;NLD;Noord-Brabant;Aalburg;Biesheuvel;E5.052;N51.761;13;
3;NLD;Noord-Brabant;Aalburg;Drongelen;E5.051;N51.715;12;
3;NLD;Noord-Brabant;Aalburg;Eethen;E5.052;N51.730;12;
3;NLD;Noord-Brabant;Aalburg;Genderen;E5.090;N51.736;13;
3;NLD;Noord-Brabant;Aalburg;Meeuwen;E5.013;N51.728;13;
3;NLD;Noord-Brabant;Aalburg;Veen;E5.110;N51.779;12;
3;NLD;Noord-Brabant;Aalburg;Wijk en Aalburg;E5.128;N51.756;12;
2;NLD;Noord-Brabant;Alphen-Chaam;;E4.869;N51.516;11;places/NLD/flags/NB/Alphen-Chaam.gif
3;NLD;Noord-Brabant;Alphen-Chaam;'t Zand;;;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Alphen;E4.960;N51.482;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Alphen en Riel;;;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Alphen-Boshoven;E4.950;N51.467;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Alphen-Oosterwijk;E4.983;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Balleman;E4.767;N51.517;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Boslust;E4.967;N51.483;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Chaam;E4.859;N51.506;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Chaamdijk;E4.833;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Couwelaar;E4.800;N51.533;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Dassemus;E4.850;N51.517;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Druisdijk;E4.983;N51.517;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Galder;E4.774;N51.515;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Geersbroek;E4.817;N51.550;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Ginderdoor;E4.833;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Grazen;E4.833;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Heerstaaien;E4.783;N51.517;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Heikant;E4.883;N51.517;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Hondseind;;;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Houtgoor;E4.867;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Kalishoek;E4.871;N51.522;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Klooster;E4.867;N51.533;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Kwaalburg;E4.933;N51.467;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Leg;E4.867;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Looneind;E4.983;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Meijsberg;E4.883;N51.500;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Notsel;E4.784;N51.531;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Rakens;E4.833;N51.533;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Sas;E4.983;N51.467;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Snijders-Chaam;E4.850;N51.533;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Strijbeek;E4.800;N51.500;12;
3;NLD;Noord-Brabant;Alphen-Chaam;Terover;E4.967;N51.467;13;
3;NLD;Noord-Brabant;Alphen-Chaam;Venweg;;;12;
2;NLD;Noord-Brabant;Asten;;E5.746;N51.406;12;places/NLD/flags/NB/Asten.gif
3;NLD;Noord-Brabant;Asten;Asten;E5.746;N51.402;12;
3;NLD;Noord-Brabant;Asten;Heusden;E5.764;N51.383;12;
3;NLD;Noord-Brabant;Asten;Ommel;E5.746;N51.423;13;
2;NLD;Noord-Brabant;Baarle-Nassau;;E4.856;N51.438;11;places/NLD/flags/NB/Baarle-Nassau.gif
