"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Noord-Holland;Aalsmeer;;E4.761;N52.258;12;places/NLD/flags/NH/Aalsmeer.gif
3;NLD;Noord-Holland;Aalsmeer;Aalsmeer;E4.753;N52.263;12;
3;NLD;Noord-Holland;Aalsmeer;Kalslagen;E4.734;N52.233;13;
3;NLD;Noord-Holland;Aalsmeer;Kudelstaart;E4.747;N52.233;12;
3;NLD;Noord-Holland;Aalsmeer;Oosteinde;E4.792;N52.280;13;
3;NLD;Noord-Holland;Aalsmeer;Vrouwentroost;E4.762;N52.251;12;
2;NLD;Noord-Holland;Alkmaar;;E4.753;N52.656;12;places/NLD/flags/NH/Alkmaar.gif
3;NLD;Noord-Holland;Alkmaar;Alkmaar;E4.748;N52.633;12;
3;NLD;Noord-Holland;Alkmaar;De Hoef;E4.717;N52.633;14;
3;NLD;Noord-Holland;Alkmaar;Koedijk;E4.756;N52.671;12;
3;NLD;Noord-Holland;Alkmaar;Oudorp;E4.771;N52.631;12;
2;NLD;Noord-Holland;Amstelveen;;E4.868;N52.284;12;places/NLD/flags/NH/Amstelveen.gif
3;NLD;Noord-Holland;Amstelveen;Amstelveen;E4.861;N52.303;12;
3;NLD;Noord-Holland;Amstelveen;Bovenkerk;E4.834;N52.292;12;
3;NLD;Noord-Holland;Amstelveen;Nes aan de Amstel;E4.872;N52.260;12;
3;NLD;Noord-Holland;Amstelveen;Ouderkerk aan de Amstel;E4.904;N52.296;12;
2;NLD;Noord-Holland;Amsterdam;;E4.892;N52.373;12;places/NLD/flags/NH/Amsterdam.gif
3;NLD;Noord-Holland;Amsterdam;Amsterdam;E4.892;N52.373;12;
2;NLD;Noord-Holland;Andijk;;E5.218;N52.743;12;places/NLD/flags/NH/Andijk.gif
3;NLD;Noord-Holland;Andijk;Andijk;E5.220;N52.744;12;
2;NLD;Noord-Holland;Anna Paulowna;;E4.833;N52.865;12;places/NLD/flags/NH/Anna_Paulowna.gif
3;NLD;Noord-Holland;Anna Paulowna;Anna Paulowna;E4.827;N52.860;12;
3;NLD;Noord-Holland;Anna Paulowna;Breezand;E4.807;N52.889;12;
3;NLD;Noord-Holland;Anna Paulowna;Gelderse Buurt;E4.793;N52.876;12;
3;NLD;Noord-Holland;Anna Paulowna;Kleine Sluis;E4.839;N52.856;12;
3;NLD;Noord-Holland;Anna Paulowna;Spoorbuurt;E4.8166667;N52.8666667;13;
3;NLD;Noord-Holland;Anna Paulowna;Van Ewijcksluis;E4.874;N52.882;12;
3;NLD;Noord-Holland;Anna Paulowna;Wieringerwaard;E4.863;N52.836;12;
2;NLD;Noord-Holland;Beemster;;E4.927;N52.551;11;places/NLD/flags/NH/Beemster.gif
3;NLD;Noord-Holland;Beemster;Middenbeemster;E4.911;N52.548;12;
3;NLD;Noord-Holland;Beemster;Noordbeemster;E4.933;N52.580;12;
3;NLD;Noord-Holland;Beemster;Westbeemster;E4.898;N52.573;12;
3;NLD;Noord-Holland;Beemster;Zuidoostbeemster;E4.942;N52.515;12;
2;NLD;Noord-Holland;Bennebroek;;E4.594;N52.323;13;places/NLD/flags/NH/Bennebroek.gif
3;NLD;Noord-Holland;Bennebroek;Bennebroek;E4.594;N52.324;13;
2;NLD;Noord-Holland;Bergen;;E4.666;N52.674;10;
3;NLD;Noord-Holland;Bergen;Aagtdorp;E4.700;N52.688;12;
3;NLD;Noord-Holland;Bergen;Bergen;E4.709;N52.668;12;
3;NLD;Noord-Holland;Bergen;Bergen aan Zee;E4.632;N52.661;12;
3;NLD;Noord-Holland;Bergen;Bregtdorp;E4.683;N52.717;13;
3;NLD;Noord-Holland;Bergen;Camperduin;E4.644;N52.725;13;
3;NLD;Noord-Holland;Bergen;Catrijp;E4.682;N52.713;12;
3;NLD;Noord-Holland;Bergen;Egmond aan den Hoef;E4.651;N52.620;12;
3;NLD;Noord-Holland;Bergen;Egmond aan Zee;E4.626;N52.617;12;
3;NLD;Noord-Holland;Bergen;Egmond-Binnen;E4.654;N52.595;12;
3;NLD;Noord-Holland;Bergen;Egmondermeer;;;12;
3;NLD;Noord-Holland;Bergen;Groet;E4.666;N52.720;12;
3;NLD;Noord-Holland;Bergen;Hargen;E4.655;N52.725;12;
3;NLD;Noord-Holland;Bergen;Het Woud;E4.661;N52.645;12;
3;NLD;Noord-Holland;Bergen;Rinnegom;E4.649;N52.609;12;
3;NLD;Noord-Holland;Bergen;Schoorl;E4.695;N52.700;12;
3;NLD;Noord-Holland;Bergen;Schoorldam;E4.716;N52.706;12;
2;NLD;Noord-Holland;Beverwijk;;E4.625;N52.487;12;places/NLD/flags/NH/Beverwijk.gif
3;NLD;Noord-Holland;Beverwijk;Beverwijk;E4.655;N52.484;12;
3;NLD;Noord-Holland;Beverwijk;Wijk aan Zee;E4.592;N52.491;12;
2;NLD;Noord-Holland;Blaricum;;E5.223;N52.271;12;places/NLD/flags/NH/Blaricum.gif
3;NLD;Noord-Holland;Blaricum;Blaricum;E5.244;N52.271;12;
3;NLD;Noord-Holland;Blaricum;Craailo;E5.208;N52.268;12;
2;NLD;Noord-Holland;Bloemendaal;;E4.584;N52.375;11;places/NLD/flags/NH/Bloemendaal.gif
3;NLD;Noord-Holland;Bloemendaal;Aerdenhout;E4.594;N52.367;13;
3;NLD;Noord-Holland;Bloemendaal;Bloemendaal;E4.624;N52.402;12;
3;NLD;Noord-Holland;Bloemendaal;Bloemendaal aan Zee;;;12;
3;NLD;Noord-Holland;Bloemendaal;Overveen;E4.612;N52.390;12;
3;NLD;Noord-Holland;Bloemendaal;Santpoort-Zuid;E4.629;N52.417;12;
3;NLD;Noord-Holland;Bloemendaal;Vogelenzang;E4.578;N52.319;12;
2;NLD;Noord-Holland;Bussum;;E5.166;N52.270;12;places/NLD/flags/NH/Bussum.gif
3;NLD;Noord-Holland;Bussum;Bussum;E5.167;N52.272;12;
2;NLD;Noord-Holland;Castricum;;E4.694;N52.564;11;places/NLD/flags/NH/Castricum.gif
3;NLD;Noord-Holland;Castricum;Akersloot;E4.732;N52.560;12;
3;NLD;Noord-Holland;Castricum;Bakkum;E4.657;N52.558;13;
3;NLD;Noord-Holland;Castricum;Bakkum-Noord;E4.656;N52.565;12;
3;NLD;Noord-Holland;Castricum;Boekel;E4.753;N52.589;12;
