"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Utrecht;Abcoude;;E4.991;N52.258;12;
3;NLD;Utrecht;Abcoude;Abcoude;E4.975;N52.270;12;
3;NLD;Utrecht;Abcoude;Baambrugge;E4.991;N52.245;12;
2;NLD;Utrecht;Amersfoort;;E5.433;N52.175;12;places/NLD/flags/UT/Amersfoort.gif
3;NLD;Utrecht;Amersfoort;Amersfoort;E5.388;N52.157;12;
3;NLD;Utrecht;Amersfoort;Coelhorst;E5.350;N52.183;12;
3;NLD;Utrecht;Amersfoort;Hoogland;E5.376;N52.188;13;
3;NLD;Utrecht;Amersfoort;Hooglanderveen;E5.433;N52.187;12;
2;NLD;Utrecht;Baarn;;E5.283;N52.201;12;places/NLD/flags/UT/Baarn.gif
3;NLD;Utrecht;Baarn;Baarn;E5.291;N52.209;12;
3;NLD;Utrecht;Baarn;Eembrugge;E5.311;N52.224;12;
3;NLD;Utrecht;Baarn;Lage Vuursche;E5.231;N52.178;12;
3;NLD;Utrecht;Baarn;Soestdijk;E5.283;N52.183;12;
2;NLD;Utrecht;Breukelen;;E4.918;N52.172;11;places/NLD/flags/UT/Breukelen.gif
3;NLD;Utrecht;Breukelen;Breukelen;E5.001;N52.171;12;
3;NLD;Utrecht;Breukelen;Geer;E4.918;N52.164;12;
3;NLD;Utrecht;Breukelen;Gieltjesdorp;E4.983;N52.133;12;
3;NLD;Utrecht;Breukelen;Kockengen;E4.950;N52.149;12;
3;NLD;Utrecht;Breukelen;Kortrijk;E4.985;N52.157;12;
3;NLD;Utrecht;Breukelen;Laagnieuwkoop;E4.984;N52.128;12;
3;NLD;Utrecht;Breukelen;Nieuwer ter Aa;E4.979;N52.191;12;
3;NLD;Utrecht;Breukelen;Oud Aa;E4.974;N52.179;12;
3;NLD;Utrecht;Breukelen;Oukoop;E4.967;N52.200;12;
3;NLD;Utrecht;Breukelen;Portengen;E4.963;N52.156;12;
3;NLD;Utrecht;Breukelen;Portengense Brug;E4.963;N52.161;13;
3;NLD;Utrecht;Breukelen;Scheendijk;;;12;
3;NLD;Utrecht;Breukelen;Spengen;E4.918;N52.157;12;
2;NLD;Utrecht;Bunnik;;E5.245;N52.043;12;places/NLD/flags/UT/Bunnik.gif
3;NLD;Utrecht;Bunnik;Bunnik;E5.200;N52.067;12;
3;NLD;Utrecht;Bunnik;Odijk;E5.233;N52.050;12;
3;NLD;Utrecht;Bunnik;Werkhoven;E5.245;N52.024;12;
2;NLD;Utrecht;Bunschoten;;E5.389;N52.235;12;places/NLD/flags/UT/Bunschoten.gif
3;NLD;Utrecht;Bunschoten;Bunschoten;E5.373;N52.234;12;
3;NLD;Utrecht;Bunschoten;Bunschoten-Spakenburg;E5.366;N52.240;12;
3;NLD;Utrecht;Bunschoten;Eemdijk;E5.328;N52.253;12;
3;NLD;Utrecht;Bunschoten;Spakenburg;E5.380;N52.251;12;
3;NLD;Utrecht;Bunschoten;Zevenhuizen;E5.389;N52.209;12;
2;NLD;Utrecht;De Bilt;;E5.183;N52.142;11;places/NLD/flags/UT/De_Bilt.gif
3;NLD;Utrecht;De Bilt;Achttienhoven;E5.167;N52.150;13;
3;NLD;Utrecht;De Bilt;Bilthoven;E5.200;N52.127;12;
3;NLD;Utrecht;De Bilt;Blauwkapel;E5.147;N52.114;13;
3;NLD;Utrecht;De Bilt;de Bilt;E5.183;N52.110;12;
3;NLD;Utrecht;De Bilt;Groenekan;E5.150;N52.123;13;
3;NLD;Utrecht;De Bilt;Hollandsche Rading;E5.179;N52.176;13;
3;NLD;Utrecht;De Bilt;Maartensdijk;E5.177;N52.155;13;
3;NLD;Utrecht;De Bilt;Westbroek;E5.126;N52.150;13;
2;NLD;Utrecht;De Ronde Venen;;E4.906;N52.214;11;places/NLD/flags/UT/De_Ronde_Venen.gif
3;NLD;Utrecht;De Ronde Venen;Aan de Zuwe;E4.900;N52.167;13;
3;NLD;Utrecht;De Ronde Venen;Amstelhoek;E4.834;N52.231;13;
