"Level";"Country";"State";"County";"Place";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;NLD;Zeeland;Borsele;;E3.824;N51.443;11;places/NLD/flags/ZL/Borsele.gif
3;NLD;Zeeland;Borsele;'s-Gravenpolder;E3.902;N51.460;12;
3;NLD;Zeeland;Borsele;'s-Heer Abtskerke;E3.883;N51.467;12;
3;NLD;Zeeland;Borsele;'s-Heerenhoek;E3.767;N51.450;12;
3;NLD;Zeeland;Borsele;Baarland;E3.884;N51.408;12;
3;NLD;Zeeland;Borsele;Baarsdorp;E3.833;N51.483;12;
3;NLD;Zeeland;Borsele;Bakendorp;E3.905;N51.409;13;
3;NLD;Zeeland;Borsele;Borssele;E3.736;N51.424;12;
3;NLD;Zeeland;Borsele;Coudorpe;E3.779;N51.410;12;
3;NLD;Zeeland;Borsele;Driewegen;E3.800;N51.417;12;
3;NLD;Zeeland;Borsele;Ellewoutsdijk;E3.813;N51.387;12;
3;NLD;Zeeland;Borsele;Heinkenszand;E3.816;N51.471;12;
3;NLD;Zeeland;Borsele;Hoedekenskerke;E3.912;N51.422;12;
3;NLD;Zeeland;Borsele;Kwadendamme;E3.876;N51.433;12;
3;NLD;Zeeland;Borsele;Lewedorp;E3.752;N51.495;12;
3;NLD;Zeeland;Borsele;Nieuwdorp;E3.733;N51.467;12;
3;NLD;Zeeland;Borsele;Nisse;E3.853;N51.456;13;
3;NLD;Zeeland;Borsele;Oudelande;E3.853;N51.408;12;
3;NLD;Zeeland;Borsele;Ovezande;E3.821;N51.429;12;
2;NLD;Zeeland;Goes;;E3.871;N51.513;11;places/NLD/flags/ZL/Goes.gif
3;NLD;Zeeland;Goes;'s-Heer Arendskerke;E3.822;N51.491;12;
3;NLD;Zeeland;Goes;'s-Heer Hendrikskinderen;E3.862;N51.502;13;
3;NLD;Zeeland;Goes;Goes;E3.883;N51.500;12;
3;NLD;Zeeland;Goes;Kattendijke;E3.946;N51.521;12;
3;NLD;Zeeland;Goes;Kloetinge;E3.913;N51.498;12;
3;NLD;Zeeland;Goes;Oud Sabbinge;E3.800;N51.533;13;
3;NLD;Zeeland;Goes;Wilhelminadorp;E3.895;N51.528;12;
3;NLD;Zeeland;Goes;Wolphaartsdijk;E3.818;N51.531;12;
2;NLD;Zeeland;Hulst;;E4.058;N51.332;10;places/NLD/flags/ZL/Hulst.gif
3;NLD;Zeeland;Hulst;Absdale;E4.000;N51.267;12;
3;NLD;Zeeland;Hulst;Boschkapelle;;;12;
3;NLD;Zeeland;Hulst;Clinge;E4.089;N51.271;12;
3;NLD;Zeeland;Hulst;Graauw;E4.104;N51.328;12;
3;NLD;Zeeland;Hulst;Heikant;E4.026;N51.252;12;
3;NLD;Zeeland;Hulst;Hengstdijk;E3.994;N51.344;12;
3;NLD;Zeeland;Hulst;Hulst;E4.053;N51.278;10;
3;NLD;Zeeland;Hulst;Kapellebrug;E4.066;N51.254;12;
3;NLD;Zeeland;Hulst;Kloosterzande;E4.011;N51.370;12;
3;NLD;Zeeland;Hulst;Kuitaart;E4.034;N51.341;12;
3;NLD;Zeeland;Hulst;Lamswaarde;E4.05;N51.35;12;
3;NLD;Zeeland;Hulst;Nieuw-Namen;E4.164;N51.293;12;
3;NLD;Zeeland;Hulst;Ossenisse;E3.980;N51.387;12;
3;NLD;Zeeland;Hulst;Paal;E4.108;N51.352;12;
3;NLD;Zeeland;Hulst;Sint Jansteen;E4.051;N51.264;12;
3;NLD;Zeeland;Hulst;Terhole;E4.035;N51.315;12;
3;NLD;Zeeland;Hulst;Vogelwaarde;E3.974;N51.325;12;
3;NLD;Zeeland;Hulst;Walsoorden;E4.029;N51.380;12;
