Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
1;NZL;Auckland;;;E174.7833333;S36.85;6;
1;NZL;Bay of Plenty;;;E175.5;S38;6;
1;NZL;Canterbury;;;E171.5;S43.5;6;
1;NZL;Chatham Islands;;;W176.5;S44;6;
1;NZL;East Cape;;;E178;S38.65;6;
1;NZL;Hawkes Bay;;;E176.5;S39.6666667;6;
1;NZL;Manawatu-Wanganui;;;E175.0166667;S39.95;6;
1;NZL;Marlborough;;;E173.5;S41.6666667;6;
1;NZL;Nelson;;;E173.28246116638;S41.270581680526;6;
1;NZL;Northland;;;E174.3333333;S35.7333333;6;
1;NZL;Otago;;;E170.51107406616;S45.884451928488;6;
1;NZL;Southland;;;E16;S45.6666667;6;
1;NZL;Taranaki;;;E174.6666667;S39.1666667;6;
1;NZL;Tasman;;;E173.014722;S41.123333;6;
1;NZL;Waikato;;;E175.3333333;S37.5;6;
1;NZL;Wellington;;;E174.7666667;S41.2833333;6;
1;NZL;West Coast;;;E171.22080802918;S42.456584220211;6;
