Level;Country;State;County;Place;Longitude;Latitude;ZoomLevel;Icon
0;REU;;;;E55;N21;5;
1;REU;Réunion;;;E55.5;N21.1;7;
2;REU;Réunion;Réunion (974);;E55.5;N21.1;9;
3;REU;Réunion;Réunion (974);Bras-Panon 97402;E55.678;S20.996;14;
3;REU;Réunion;Réunion (974);Cilaos 97424;E55.472;S21.135;14;
3;REU;Réunion;Réunion (974);Entre-Deux 97403;E55.470;S21.248;14;
3;REU;Réunion;Réunion (974);L'Étang-Salé 97404;E55.366;S21.265;14;
3;REU;Réunion;Réunion (974);La Plaine-des-Palmistes 97406;E55.626;S21.135;14;
3;REU;Réunion;Réunion (974);La Possession 97408;E55.336;S20.928;14;
3;REU;Réunion;Réunion (974);Le Port 97407;E55.291;S20.938;14;
3;REU;Réunion;Réunion (974);Le Tampon 97422;E55.515;S21.279;14;
3;REU;Réunion;Réunion (974);Les Avirons 97401;E55.334;S21.243;14;
3;REU;Réunion;Réunion (974);Les Trois-Bassins 97423;E55.295;S21.106;14;
3;REU;Réunion;Réunion (974);Petite-Île 97405;E55.566;S21.356;14;
3;REU;Réunion;Réunion (974);Saint-André 97409;E55.651;S20.960;14;
3;REU;Réunion;Réunion (974);Saint-Benoît 97410;E55.713;S21.034;14;
3;REU;Réunion;Réunion (974);Saint-Denis 97411;E55.46;S20.87;12;
3;REU;Réunion;Réunion (974);Saint-Joseph 97412;E55.619;S21.379;14;
3;REU;Réunion;Réunion (974);Saint-Leu 97413;E55.287;S21.166;14;
3;REU;Réunion;Réunion (974);Saint-Louis 97414;E55.409;S21.287;14;
3;REU;Réunion;Réunion (974);Saint-Paul 97415;E55.270;S21.010;14;
3;REU;Réunion;Réunion (974);Saint-Philippe 97417;E55.768;S21.36;14;
3;REU;Réunion;Réunion (974);Saint-Pierre 97416;E55.477;S21.341;14;
3;REU;Réunion;Réunion (974);Sainte-Marie 97418;E55.549;S20.897;14;
3;REU;Réunion;Réunion (974);Sainte-Rose 97419;E55.793;S21.126;14;
3;REU;Réunion;Réunion (974);Sainte-Suzanne 97420;E55.608;S20.906;14;
3;REU;Réunion;Réunion (974);Salazie 97421;E55.540;S21.027;14;
