Level;Country;Longitude;Latitude;ZoomLevel;Icon
0;ABW;W69.9667;N12.5;4;places/flags/ABW.gif
0;AFG;E65;N33;4;places/flags/AFG.gif
0;AGO;E18.5;S12.5;4;places/flags/AGO.gif
0;AIA;W63.1667;N18.25;4;places/flags/AIA.gif
0;ALA;E20;N60;7;places/flags/ALA.gif
0;ALB;E20;N41;4;places/flags/ALB.gif
0;AND;E1.5;N42.5;4;places/flags/AND.gif
0;ANT;W68.75;N12.25;6;places/flags/ANT.gif
0;ARE;E54;N24;4;places/flags/ARE.gif
0;ARG;W64;S34;4;places/flags/ARG.gif
0;ARM;E45;N40;4;places/flags/ARM.gif
0;ASM;W170;S14.3333;4;places/flags/ASM.gif
0;ATA;E1;S85;4;places/flags/ATA.gif
0;ATF;E70;S48;5;places/flags/ATF.gif
0;ATG;W61.8;N17.05;4;places/flags/ATG.gif
0;AUS;E133;S27;4;places/flags/AUS.gif
0;AUT;E13.3333;N47.3333;4;places/flags/AUT.gif
0;AZE;E47.5;N40.5;4;places/flags/AZE.gif
0;BDI;E30;S3.5;4;places/flags/BDI.gif
0;BEL;E4;N50.8333;4;places/flags/BEL.gif
0;BEN;E2.25;N9.5;4;places/flags/BEN.gif
0;BFA;W2;N13;4;places/flags/BFA.gif
0;BGD;E90;N25;5;places/flags/BGD.gif
0;BGR;E25;N43;4;places/flags/BGR.gif
0;BHR;E51;N26;7;places/flags/BHR.gif
0;BHS;W76;N24.25;6;places/flags/BHS.gif
0;BIH;E18;N44;5;places/flags/BIH.gif
0;BLR;E28;N53;4;places/flags/BLR.gif
0;BLZ;W89;N17;7;places/flags/BLZ.gif
0;BMU;W64.75;N32.3333;4;places/flags/BMU.gif
0;BOL;W65;S17;4;places/flags/BOL.gif
0;BRA;W55;S10;4;places/flags/BRA.gif
0;BRB;W59;N13;6;places/flags/BRB.gif
0;BRN;E115;N4;6;places/flags/BRN.gif
0;BTN;E90.5;N27.5;4;places/flags/BTN.gif
0;BVT;E3.4;S54.4333;5;places/flags/BVT.gif
0;BWA;E24;S22;4;places/flags/BWA.gif
0;CAF;E21;N7;4;places/flags/CAF.gif
