<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Abjat-sur-Bandiat 24001
Agonac 24002
Aillac 24003=24082
Ajat 24004
Allas-les-Mines 24006
Allemans 24007
Alles-sur-Dordogne 24005
Angoisse 24008
Anlhiac 24009
Annesse-et-Beaulieu 24010
Antonne-et-Trigonant 24011
Archignac 24012
Atur 24013
Aubas 24014
Audrix 24015
Augignac 24016
Auriac-de-Bourzac 24017=24303
Auriac-du-Périgord 24018
Azerat 24019
Badefols-d'Ans 24021
Badefols-sur-Dordogne 24022
Baneuil 24023
Bardou 24024
Bars 24025
Bassillac 24026
Bayac 24027
Beaumont-du-Périgord 24028
Beaupouyet 24029
Beauregard-de-Terrasson 24030
Beauregard-et-Bassac 24031
Beauronne 24032
Beaussac 24033
Beleymas 24034
Belvès 24035
Berbiguières 24036
Bergerac 24037
Bertric-Burée 24038
Besse 24039
Beynac-et-Cazenac 24040
Bézenac 24041
Biras 24042
Biron 24043
Blis-et-Born 24044
Boisse 24045
Boisseuilh 24046
Born-de-Champs 24049=24497
Borrèze 24050
Bosset 24051
Bouillac 24052
Boulazac 24053
Bouniagues 24054
Bourdeilles 24055
Bourg-des-Maisons 24057
Bourg-du-Bost 24058
Bourgnac 24059
Bourniquel 24060
Bourrou 24061
Bouteilles-Saint-Sébastien 24062
Bouzic 24063
Brantôme 24064
Breuilh 24065
Brouchaud 24066
Bussac 24069
Busserolles 24070
Bussière-Badil 24071
Cadouin 24072=24068
Calès 24073
Calviac-en-Périgord 24074
Campagnac-lès-Quercy 24075
Campagne 24076
Campsegret 24077
Cantillac 24079
Capdrot 24080
Carlux 24081
Carsac-Aillac 24082
Carsac-de-Gurson 24083
Carves 24084
Castelnaud-la-Chapelle 24086
Castels 24087
Cause-de-Clérans 24088
Cazoulès 24089
Celles 24090
Cénac-et-Saint-Julien 24091
Cendrieux 24092
Cercles 24093
Chalagnac 24094
Chaleix 24095
Champagnac-de-Belair 24096
