<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Acqueville 50001
Agneaux 50002
Agon-Coutainville 50003
Airel 50004
Amfreville 50005
Amigny 50006
Ancteville 50007
Anctoville-sur-Boscq 50008
Angey 50009
Angoville-au-Plain 50010
Angoville-en-Saire 50011=50142
Angoville-sur-Ay 50012
Anneville-en-Saire 50013
Anneville-sur-Mer 50014
Annoville 50015
Appeville 50016
Ardevon 50017=50410
Argouges 50018
Aucey-la-Plaine 50019
Auderville 50020
Audouville-la-Hubert 50021
Aumeville-Lestre 50022
Auvers 50023
Auxais 50024
Avranches 50025
Azeville 50026
Bacilly 50027
Barenton 50029
Barfleur 50030
Barneville-Carteret 50031
Baubigny 50033
Baudre 50034
Baudreville 50035
Baupte 50036
Beauchamps 50038
Beaucoudray 50039
Beauficel 50040
Beaumont-Hague 50041
Beauvoir 50042
Bellefontaine 50043
Belval 50044
Benoîtville 50045
Bérigny 50046
Beslon 50048
Besneville 50049
Beuvrigny 50050
Beuzeville-au-Plain 50051
Beuzeville-la-Bastille 50052
Biéville 50054
Biniville 50055
Bion 50056
Biville 50057
Blainville-sur-Mer 50058
Blosville 50059
Boisroger 50061
Boisyvon 50062
Bolleville 50063
Boucey 50065=50410
Bourey 50068=50109
Bourguenolles 50069
Boutteville 50070
Braffais 50071
Brainville 50072
Branville-Hague 50073
Brécey 50074
Brectouville 50075
Bréhal 50076
Bretteville 50077
Bretteville-sur-Ay 50078
Breuville 50079
Brévands 50080
Bréville-sur-Mer 50081
Bricquebec 50082
Bricquebosq 50083
Bricqueville-la-Blouette 50084
Bricqueville-sur-Mer 50085
Brillevast 50086
Brix 50087
Brouains 50088
Brucheville 50089
Buais 50090
Cambernon 50092
Cametours 50093
Camprond 50094
Canisy 50095
Canteloup 50096
Canville-la-Rocque 50097
Carantilly 50098
Carentan 50099
Carnet 50100
Carneville 50101
Carolles 50102
Carquebut 50103
Carteret 50104=50031
Catteville 50105
Catz 50107
Cavigny 50106
Céaux 50108
Cérences 50109
Cerisy-la-Forêt 50110
Cerisy-la-Salle 50111
Chalandrey 50113=50256
Champcervon 50115
Champcey 50116
Champeaux 50117
Champrepus 50118
Chanteloup 50120
Chasseguey 50125
Chaulieu 50514
Chavoy 50126
Chef-du-Pont 50127
Cherbourg-Octeville 50129
Chérencé-le-Héron 50130
Chérencé-le-Roussel 50131
Chèvreville 50133
Chevry 50134
Clitourps 50135
Coigny 50136
Colomby 50138
Condé-sur-Vire 50139
Contrières 50140
Cormeray 50141=50410
Cosqueville 50142
Coudeville-sur-Mer 50143
Coulouvray-Boisbenâtre 50144
Courcy 50145
Courtils 50146
Coutances 50147
Couvains 50148
Couville 50149
Crasville 50150
Créances 50151
Cretteville 50153
Crollon 50155
Crosville-sur-Douve 50156
Curey 50157=50410
Cuves 50158
Dangy 50159
Denneville 50160
Digosville 50162
Digulleville 50163
Domjean 50164
Donville-les-Bains 50165
Doville 50166
Dragey-Ronthon 50167
Ducey 50168
Écausseville 50169
Écoquenéauville 50170
Éculleville 50171
Émondeville 50172
Équeurdreville-Hainneville 50173
Équilly 50174
Éroudeville 50175
Étienville 50177
Fermanville 50178
Ferrières 50179
Fervaches 50180
Feugères 50181
Fierville-les-Mines 50183
Flamanville 50184
Fleury 50185
Flottemanville 50186
Flottemanville-Hague 50187
Folligny 50188
Fontenay 50189
Fontenay-sur-Mer 50190
Foucarville 50191
Fourneaux 50192
Fresville 50194
Gathemo 50195
Gatteville-le-Phare 50196
Gavray 50197
Geffosses 50198
Genêts 50199
Ger 50200
Gerville-la-Forêt 50201=50629
Giéville 50202
Glatigny 50204
Golleville 50207
Gonfreville 50208
Gonneville 50209
Gorges 50210
Gouberville 50211
Gourbesville 50212
Gourfaleur 50213
Gouvets 50214
Gouville-sur-Mer 50215
Graignes 50216
Granville 50218
Gratot 50219
Gréville-Hague 50220
Grimesnil 50221
Grosville 50222
Guéhébert 50223
Guilberville 50224
Hainneville 50226=50173
Hambye 50228
Hamelin 50229
Hardinvast 50230
Hauteville-la-Guichard 50232
Hauteville-sur-Mer 50231
Hautteville-Bocage 50233
Héauville 50238
Hébécrevon 50239
Helleville 50240
Hémevez 50241
Hérenguerville 50244
Herqueville 50242
Heugueville-sur-Sienne 50243
Heussé 50245
Hiesville 50246
Hocquigny 50247
Houesville 50249
Houtteville 50250
Huberville 50251
Hudimesnil 50252
Huisnes-sur-Mer 50253
Husson 50254
Hyenville 50255
Isigny-le-Buat 50256
Jobourg 50257
Joganville 50258
Juilley 50259
Jullouville 50066
Juvigny-le-Tertre 50260
L'Étang-Bertrand 50176
La Baleine 50028
La Barre-de-Semilly 50032
La Bazoge 50037
La Beslière 50047=50188
La Bloutière 50060
La Bonneville 50064
La Boulouze 50067=50531
La Chaise-Baudouin 50112
La Chapelle-Cécelin 50121
La Chapelle-du-Fest 50122=50444
La Chapelle-en-Juger 50123
La Chapelle-Urée 50124
La Colombe 50137
La Croix-Avranchin 50154
La Feuillie 50182
La Glacerie 50203
La Godefroy 50205
La Gohannière 50206
La Haye-Bellefond 50234
La Haye-d'Ectot 50235
La Haye-du-Puits 50236
La Haye-Pesnel 50237
La Lande-d'Airou 50262
La Lucerne-d'Outremer 50281
La Luzerne 50283
La Mancellière 50286=50256
La Mancellière-sur-Vire 50287
La Meauffe 50297
La Meurdraquière 50327
La Mouche 50361
La Pernelle 50395
La Rochelle-Normande 50434
La Ronde-Haye 50438
La Trinité 50607
La Vendelée 50624
Lamberville 50261
Lapenty 50263
Lastelle 50264=50405
Laulne 50265
Le Buat 50091=50256
Le Chefresne 50128
Le Dézert 50161
Le Fresne-Poret 50193
Le Grand-Celland 50217
Le Guislain 50225
Le Ham 50227
Le Hommet-d'Arthenay 50248
Le Loreur 50278
Le Lorey 50279
Le Luot 50282
Le Mesnil 50299
Le Mesnil-Adelée 50300
Le Mesnil-Amand 50301
Le Mesnil-Amey 50302
Le Mesnil-Angot 50303
Le Mesnil-au-Val 50305
Le Mesnil-Aubert 50304
Le Mesnil-Bonant 50307=50197
Le Mesnil-Boeufs 50306=50256
Le Mesnil-Drey 50309=50188
Le Mesnil-Eury 50310
Le Mesnil-Garnier 50311
Le Mesnil-Gilbert 50312
Le Mesnil-Herman 50313
Le Mesnil-Hue 50314=50197
Le Mesnil-Opac 50316
Le Mesnil-Ozenne 50317
Le Mesnil-Rainfray 50318
Le Mesnil-Raoult 50319
Le Mesnil-Rogues 50320
Le Mesnil-Rouxelin 50321
Le Mesnil-Thébault 50322=50256
Le Mesnil-Tôve 50323
Le Mesnil-Véneron 50324
Le Mesnil-Vigot 50325
Le Mesnil-Villeman 50326
Le Mesnilbus 50308
Le Mesnillard 50315
Le Mont-Saint-Michel 50353
Le Neufbourg 50371
Le Perron 50398
Le Petit-Celland 50399
Le Plessis-Lastelle 50405
