<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Alençon 61001
Almenêches 61002
Anceins 61003
Antoigny 61004
Appenai-sous-Bellême 61005
Argentan 61006
Athis-de-l'Orne 61007
Aube 61008
Aubry-en-Exmes 61009
Aubry-le-Panthou 61010
Aubusson 61011
Auguaise 61012
Aunay-les-Bois 61013
Aunou-le-Faucon 61014
Aunou-sur-Orne 61015
Autheuil 61016
Avernes-Saint-Gourgon 61018
Avernes-sous-Exmes 61019
Avoine 61020
Avrilly 61021
Bagnoles-de-l'Orne 61022=61483
Bagnoles-de-l'Orne 61483
Bailleul 61023
Banvou 61024
Barville 61026
Batilly 61027
Bazoches-au-Houlme 61028
Bazoches-sur-Hoëne 61029
Beauchêne 61031
Beaufai 61032
Beaulandais 61033
Beaulieu 61034
Beauvain 61035
Belfonds 61036
Bellavilliers 61037
Bellême 61038
Bellou-en-Houlme 61040
Bellou-le-Trichard 61041
Bellou-sur-Huisne 61042
Berd'huis 61043
Berjou 61044
Bivilliers 61045
Bizou 61046
Bocquencé 61047
Boëcé 61048
Boissei-la-Lande 61049
Boissy-Maugis 61050
Boitron 61051
Bonnefoi 61052
Bonsmoulins 61053
Boucé 61055
Bréel 61058
Bresolettes 61059
Brethel 61060
Bretoncelles 61061
Brieux 61062
Briouze 61063
Brullemail 61064
Bubertré 61065
Buré 61066
Bures 61067
Bursard 61068
Cahan 61069
Caligny 61070
Camembert 61071
Canapville 61072
Carrouges 61074
Ceaucé 61075
Cerisé 61077
Cerisy-Belle-Étoile 61078
Ceton 61079
Chahains 61080
Chailloué 61081
Chambois 61083
Champ-Haut 61088
Champcerie 61084
Champeaux-sur-Sarthe 61087
Champosoult 61089
Champs 61090
Champsecret 61091
Chandai 61092
Chanu 61093
Chaumont 61103
Chemilli 61105
Chênedouit 61106
