<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Acy-Romance 08001
Adon 08002=08113
Aiglemont 08003
Aire 08004
Alincourt 08005
Alland'Huy-et-Sausseuil 08006
Amagne 08008
Amblimont 08009
Ambly-Fleury 08010
Anchamps 08011
Andevanne 08012=08437
Angecourt 08013
Annelles 08014
Antheny 08015
Aouste 08016
Apremont 08017
Ardeuil-et-Montfauxelles 08018
Arnicourt 08021
Arreux 08022
Artaise-le-Vivier 08023
Asfeld 08024
Attigny 08025
Aubigny-les-Pothées 08026
Auboncourt-Vauzelles 08027
Aubrives 08028
Auflance 08029
Auge 08030
Aure 08031
Aussonce 08032
Authe 08033
Autrecourt-et-Pourron 08034
Autruche 08035
Autry 08036
Auvillers-les-Forges 08037
Avançon 08038
Avaux 08039
Baâlons 08041
Balaives-et-Butz 08042
Balan 08043
Balham 08044
Ballay 08045
Banogne-Recouvrance 08046
Bar-lès-Buzancy 08049
Barbaise 08047
Barby 08048
Barricourt 08050=08437
Bay 08051=08069
Bayonville 08052
Bazeilles 08053
Beaulieu 08054=08319
Beaumont-en-Argonne 08055
Beffu-et-le-Morthomme 08056
Belleville-et-Châtillon-sur-Bar 08057
Belval 08058
Belval-Bois-des-Dames 08059
Bergnicourt 08060
Bertoncourt 08062
Biermes 08064
Bièvres 08065
Bignicourt 08066
Blagny 08067
Blaise 08068=08490
Blanchefosse-et-Bay 08069
Blanzy-la-Salonnaise 08070
Blombay 08071
Bogny-sur-Meuse 08081
Bosseval-et-Briancourt 08072
Bossus-lès-Rumigny 08073
Bouconville 08074
Boult-aux-Bois 08075
Boulzicourt 08076
Bourcq 08077
Bourg-Fidèle 08078
Boutancourt 08079
Bouvellemont 08080
Brécy-Brières 08082
Brévilly 08083
Brienne-sur-Aisne 08084
Brieulles-sur-Bar 08085
Briquenay 08086
Brognon 08087
Bulson 08088
Buzancy 08089
Carignan 08090
Cauroy 08092
Cernion 08094
Chagny 08095
Chalandry-Elaire 08096
Challerange 08097
Champigneul-sur-Vence 08099
Champigneulle 08098
Champlin 08100
Chappes 08102
Charbogne 08103
Chardeny 08104
Charleville-Mézières 08105
Charnois 08106
Château-Porcien 08107
Château-Regnault-Bogny 08108=08081
Chatel-Chéhéry 08109
Châtillon-sur-Bar 08112=08057
Chaumont-Porcien 08113
Chéhéry 08114
Chémery-sur-Bar 08115
Chesnois-Auboncourt 08117
Chestres 08118=08490
Cheveuges 08119
Chevières 08120
Chilly 08121
Chooz 08122
Chuffilly-Roche 08123
Clavy-Warby 08124
Cliron 08125
Condé-lès-Autry 08128
Condé-lès-Herpy 08126
Condé-lès-Vouziers 08127=08490
Connage 08129=08115
Contreuve 08130
Cornay 08131
Corny-Machéroménil 08132
Coucy 08133
Coulommes-et-Marqueny 08134
Daigny 08136
Damouzy 08137
Deville 08139
Dom-le-Mesnil 08140
Dommery 08141
Donchery 08142
Doumely-Bégny 08143
Doux 08144
Douzy 08145
Draize 08146
Dricourt 08147
Écly 08150
Écordal 08151
Élan 08152
Escombres-et-le-Chesnois 08153
Estrebay 08154
Étalle 08155
Éteignières 08156
Étion 08157=08105
Étrépigny 08158
Euilly-et-Lombut 08159
Évigny 08160
Exermont 08161
