<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Ageville 52001
Aigremont 52002
Aillianville 52003
Aingoulaincourt 52004
Aizanville 52005
Allichamps 52006
Ambonville 52007
Andelot-Blancheville 52008
Andilly-en-Bassigny 52009
Anglus 52010=52088
Annéville-la-Prairie 52011
Annonville 52012
Anrosey 52013
Aprey 52014
Arbigny-sous-Varennes 52015
Arbot 52016
Arc-en-Barrois 52017
Argentolles 52018=52140
Arnancourt 52019
Arnoncourt-sur-Apance 52020=52273
Attancourt 52021
Aubepierre-sur-Aube 52022
Auberive 52023
Aubigny-sur-Badin 52024=52509
Audeloncourt 52025
Augeville 52026=52379
Aujeurres 52027
Aulnoy-sur-Aube 52028
Autigny-le-Grand 52029
Autigny-le-Petit 52030
Autreville-sur-la-Renne 52031
Avrainville 52032=52497
Avrecourt 52033=52332
Bailly-aux-Forges 52034
Baissey 52035
Balesmes-sur-Marne 52036
Bannes 52037
Bassoncourt 52038
Baudrecourt 52039
Bay-sur-Aube 52040
Bayard-sur-Marne 52265
Beaucharmoy 52041=52400
Beauchemin 52042
Belmont 52043
Bettancourt-la-Ferrée 52045
Bettoncourt-le-Haut 52046=52187
Beurville 52047
Bienville 52048=52194
Biernes 52049=52140
Biesles 52050
Bize 52051
Blaise 52052=52140
Blaisy 52053
Blancheville 52054=52008
Blécourt 52055
Blessonville 52056
Blumeray 52057
Bologne 52058
Bonnecourt 52059
Bourbonne-les-Bains 52060
Bourdons-sur-Rognon 52061
Bourg 52062
Bourg-Sainte-Marie 52063
Bourmont 52064
Bouzancourt 52065
Brachay 52066
Brainville-sur-Meuse 52067
Braucourt 52068=52182
Braux-le-Châtel 52069
Brennes 52070
Bressoncourt 52071=52491
Brethenay 52072
Breuil-sur-Marne 52073=52123
Breuvannes-en-Bassigny 52074
Briaucourt 52075
Bricon 52076
Broncourt 52077=52197
Brottes 52078=52121
Brousseval 52079
Brouthières 52080=52491
Buchey 52081=52426
Bugnières 52082
Busson 52084
Buxières-lès-Clefmont 52085
Buxières-lès-Froncles 52086=52211
Buxières-lès-Villiers 52087
Ceffonds 52088
Celles-en-Bassigny 52089
Celsoy 52090
Cerisières 52091
Chalancey 52092
Chalindrey 52093
Chalvraines 52095
Chamarandes 52096=52125
Chamarandes-Choignes 52125
Chambroncourt 52097
Chameroy 52098=52431
Chamouilley 52099
Champcourt 52100=52140
Champigneulles-en-Bassigny 52101
Champigny-lès-Langres 52102
Champigny-sous-Varennes 52103
Champsevraine 52083
Chancenay 52104
Changey 52105
Chanoy 52106
Chantraines 52107
Charmes 52108
Charmes-en-l'Angle 52109
Charmes-la-Grande 52110
Charmoilles 52111=52432
Charmoy 52112=52197
Chassigny 52113
Châteauvillain 52114
Chatenay-Mâcheron 52115
Chatenay-Vaudin 52116
Chatoillenot 52117=52189
Chatonrupt-Sommermont 52118
Chaudenay 52119
Chauffourt 52120
Chaumont 52121
Chaumont-la-Ville 52122
Chevillon 52123
Chézeaux 52124=52504
Choilley-Dardenay 52126
Choiseul 52127
Cirey-lès-Mareilles 52128
Cirey-sur-Blaise 52129
Cirfontaines-en-Azois 52130
Cirfontaines-en-Ornois 52131
Clefmont 52132
Clinchamp 52133
Cohons 52134
Coiffy-le-Bas 52135
Coiffy-le-Haut 52136
Colmier-le-Bas 52137
Colmier-le-Haut 52138
Colombey-lès-Choiseul 52139=52074
Colombey-les-Deux-Églises 52140
Condes 52141
Consigny 52142
Corgirnon 52143=52083
Corlée 52144=52269
Coublanc 52145
Coupray 52146
Cour-l'Évêque 52151
Courcelles-en-Montagne 52147
Courcelles-sur-Aujon 52148=52450
Courcelles-sur-Blaise 52149
Courcelles-Val-d'Esnoms 52150=52189
Couzon-sur-Coulange 52152=52509
Créancey 52153=52114
Crenay 52154=52205
Culmont 52155
Curel 52156
Curmont 52157
Cusey 52158
Cuves 52159
Daillancourt 52160
Daillecourt 52161
Dammartin-sur-Meuse 52162
Dampierre 52163
Damrémont 52164
Dancevoir 52165
Dardenay 52166=52126
Darmannes 52167
Dinteville 52168
Domblain 52169
Dommarien 52170
Dommartin-le-Franc 52171
Dommartin-le-Saint-Père 52172
Domremy-Landéville 52173
Doncourt-sur-Meuse 52174
Donjeux 52175
Donnemarie 52176=52353
Doulaincourt-Saucourt 52177
Doulevant-le-Château 52178
Doulevant-le-Petit 52179
Droyes 52180
Échenay 52181
Éclaron-Braucourt-Sainte-Livière 52182
Ecot-la-Combe 52183
Effincourt 52184
Enfonvelle 52185
Épinant 52186=52332
Épizon 52187
Ériseul 52188=52450
Esnouveaux 52190
Essey-les-Eaux 52191=52353
Essey-les-Ponts 52192=52114
Euffigneix 52193
Eurville-Bienville 52194
Farincourt 52195
Faverolles 52196
Fayl-Billot 52197
Fays 52198
Ferrière-et-Lafolie 52199
Flagey 52200
Flammerécourt 52201
Flornoy 52202=52497
Fontaines-sur-Marne 52203
Forcey 52204
Foulain 52205
Frampas 52206
Frécourt 52207
Fresnes-sur-Apance 52208
Fresnoy-en-Bassigny 52209=52377
Frettes 52210=70122
Froncles 52211
Fronville 52212
Genevrières 52213
Genrupt 52215=52060
Germaines 52216
Germainvilliers 52217
Germay 52218
Germisay 52219
Giey-sur-Aujon 52220
Gillancourt 52221
Gillaumé 52222
Gilley 52223
Gonaincourt 52224=52064
Goncourt 52225
Gourzon 52226=52265
Graffigny-Chemin 52227
Grandchamp 52228
Grenant 52229
Gudmont-Villiers 52230
Guindrecourt-aux-Ormes 52231
Guindrecourt-sur-Blaise 52232
Guyonvelle 52233
Hâcourt 52234
Hallignicourt 52235
