<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Abainville 55001
Abaucourt-Hautecourt 55002
Ailly-sur-Meuse 55003=55229
Aincreville 55004
Amanty 55005
Amblaincourt 55006=55040
Ambly-sur-Meuse 55007
Amel-sur-l'Étang 55008
Ancemont 55009
Ancerville 55010
Andernay 55011
Apremont-la-Forêt 55012
Arrancy-sur-Crusne 55013
Aubréville 55014
Aulnois-en-Perthois 55015
Aulnois-sous-Vertuzey 55016=55184
Autrécourt-sur-Aire 55017
Autréville-Saint-Lambert 55018
Auzécourt 55019=55388
Auzéville-en-Argonne 55020=55117
Avillers-Sainte-Croix 55021
Avioth 55022
Avocourt 55023
Azannes-et-Soumazannes 55024
Baâlon 55025
Badonvilliers-Gérauvilliers 55026
Bannoncourt 55027
Bantheville 55028
Bar-le-Duc 55029
Baudignécourt 55030
Baudonvilliers 55031
Baudrémont 55032
Baulny 55033
Bazeilles-sur-Othain 55034
Bazincourt-sur-Saulx 55035
Beauclair 55036
Beaufort-en-Argonne 55037
Beaulieu-en-Argonne 55038
Beaumont-en-Verdunois 55039
Beausite 55040
Behonne 55041
Belleray 55042
Belleville-sur-Meuse 55043
Belrain 55044
Belrupt-en-Verdunois 55045
Beney-en-Woëvre 55046
Béthelainville 55047
Béthincourt 55048
Beurey-sur-Saulx 55049
Bezonvaux 55050
Biencourt-sur-Orge 55051
Billy-sous-les-Côtes 55052=55551
Billy-sous-Mangiennes 55053
Bislée 55054
Blanzée 55055
Blercourt 55056=55385
Boinville-en-Woëvre 55057
Boncourt-sur-Meuse 55058
Bonnet 55059
Bonzée 55060
Bouconville-sur-Madt 55062
Bouligny 55063
Bouquemont 55064
Boureuilles 55065
Bovée-sur-Barboure 55066
Boviolles 55067
Brabant-en-Argonne 55068
Brabant-le-Roi 55069
Brabant-sur-Meuse 55070
Brandeville 55071
Braquis 55072
Bras-sur-Meuse 55073
Brasseitte 55074=55229
Brauvilliers 55075
Bréhéville 55076
Breux 55077
Brieulles-sur-Meuse 55078
Brillon-en-Barrois 55079
Brixey-aux-Chanoines 55080
Brizeaux 55081
Brocourt-en-Argonne 55082
Brouennes 55083
Broussey-en-Blois 55084
Broussey-Raulecourt 55085
Bulainville 55086=55389
Bure 55087
Burey-en-Vaux 55088
Burey-la-Côte 55089
Bussy-la-Côte 55090=55366
Butgnéville 55091=55457
Buxerulles 55092=55093
Buxières-sous-les-Côtes 55093
Buzy-Darmont 55094
Cesse 55095
Chaillon 55096
Chalaines 55097
Champlon 55098=55473
Champneuville 55099
Champougny 55100
Chanteraine 55358
Chardogne 55101
Charny-sur-Meuse 55102
Charpentry 55103
Chassey-Beaupré 55104
Châtillon-sous-les-Côtes 55105
Chattancourt 55106
Chaumont-devant-Damvillers 55107
Chaumont-sur-Aire 55108
Chauvency-le-Château 55109
Chauvency-Saint-Hubert 55110
Chauvoncourt 55111
Chennevières 55112=55358
Cheppy 55113
Chonville-Malaumont 55114
Cierges-sous-Montfaucon 55115
Clermont-en-Argonne 55117
Cléry-le-Grand 55118
Cléry-le-Petit 55119
Combles-en-Barrois 55120
Combres-sous-les-Côtes 55121
Commercy 55122
Consenvoye 55124
Contrisson 55125
Corniéville 55126=55258
Courcelles-en-Barrois 55127
Courcelles-sur-Aire 55128
Courouvre 55129
Cousancelles 55130=55132
Cousances-au-Bois 55131=55518
Cousances-les-Forges 55132
Cousances-lès-Triconville 55518
Couvertpuis 55133
Couvonges 55134
Crépion 55135=55341
Creuë 55136=55551
Cuisy 55137
Culey 55138=55298
Cumières-le-Mort-Homme 55139
Cunel 55140
Dagonville 55141
Dainville-Bertheléville 55142
Damloup 55143
Dammarie-sur-Saulx 55144
Damvillers 55145
Dannevoux 55146
Darmont 55147=55094
Delouze-Rosières 55148
Delut 55149
Demange-aux-Eaux 55150
Deuxnouds-aux-Bois 55151=55274
Deuxnouds-devant-Beauzée 55152=55040
Dieppe-sous-Douaumont 55153
Dieue-sur-Meuse 55154
Dombasle-en-Argonne 55155
Dombras 55156
Dommartin-la-Montagne 55157
Dommary-Baroncourt 55158
Dompcevrin 55159
Dompierre-aux-Bois 55160
Domremy-aux-Bois 55161=55179
Domremy-la-Canne 55162
Doncourt-aux-Templiers 55163
Douaumont 55164
Doulcon 55165
Dugny-sur-Meuse 55166
Dun-sur-Meuse 55167
Duzey 55168
Écouviez 55169
Écurey-en-Verdunois 55170
Eix 55171
Épiez-sur-Meuse 55173
Épinonville 55174
Érize-la-Brûlée 55175
Érize-la-Grande 55176=55442
Érize-la-Petite 55177
Érize-Saint-Dizier 55178
Erneville-aux-Bois 55179
Esnes-en-Argonne 55180
Étain 55181
Éton 55182
Étraye 55183
Euville 55184
Èvres 55185
Fains-Véel 55186
Flabas 55187=55341
Flassigny 55188
Fleury-devant-Douaumont 55189
Fleury-sur-Aire 55190=55389
Foameix-Ornel 55191
Fontaines-Saint-Clair 55192
Forges-sur-Meuse 55193
Foucaucourt-sur-Thabas 55194
Fouchères-aux-Bois 55195
Frémeréville-sous-les-Côtes 55196
Fresnes-au-Mont 55197
Fresnes-en-Woëvre 55198
Froidos 55199
Fromeréville-les-Vallons 55200
Fromezey 55201
Futeau 55202
Génicourt-sous-Condé 55203=55123
Génicourt-sur-Meuse 55204
Gérauvilliers 55205=55026
Gercourt-et-Drillancourt 55206
Géry 55207
Gesnes-en-Argonne 55208
Geville 55258
Gibercy 55209=55145
Gimécourt 55210
Gincrey 55211
Girauvoisin 55212
Gironville-sous-les-Côtes 55213=55258
Givrauval 55214
Gondrecourt-le-Château 55215
Gouraincourt 55216
Goussaincourt 55217
Gremilly 55218
Grimaucourt-en-Woëvre 55219
Grimaucourt-près-Sampigny 55220
Guerpont 55221
Gussainville 55222
Hadonville-lès-Lachaussée 55223=55267
Haironville 55224
Halles-sous-les-Côtes 55225
Han-devant-Pierrepont 55227=54602
Han-lès-Juvigny 55226
Han-sur-Meuse 55229
Hannonville-sous-les-Côtes 55228
Haraumont 55230=55571
Hargeville-sur-Chée 55231=55123
Harville 55232
Hattonchâtel 55233=55551
Hattonville 55234=55551
Haucourt-la-Rigole 55235=55500
Haudainville 55236
Haudiomont 55237
Haumont-lès-Lachaussée 55238=55267
Haumont-près-Samogneux 55239
Hautecourt-lès-Broville 55240=55002
Heippes 55241
Hennemont 55242
Herbeuville 55243
Herméville-en-Woëvre 55244
Heudicourt-sous-les-Côtes 55245
Hévilliers 55246
Horville-en-Ornois 55247
Houdelaincourt 55248
Houdelaucourt-sur-Othain 55249=55500
Inor 55250
Ippécourt 55251
Iré-le-Sec 55252
Jametz 55255
Jonville-en-Woëvre 55256
Jouy-en-Argonne 55257
Jubécourt 55259=55117
Julvécourt 55260
Juvigny-en-Perthois 55261
Juvigny-sur-Loison 55262
Koeur-la-Grande 55263
Koeur-la-Petite 55264
Labeuville 55265
Lachalade 55266
Lachaussée 55267
Lacroix-sur-Meuse 55268
Lahaymeix 55269
Lahayville 55270
Laheycourt 55271
Laimont 55272
Lamarche-en-Woëvre 55273=55386
Lamorville 55274
Lamouilly 55275
Landrecourt-Lempire 55276
Landzécourt 55277=55410
Laneuville-au-Rupt 55278
Laneuville-sur-Meuse 55279
Lanhères 55280
Latour-en-Woëvre 55281
Lavallée 55282
Lavignéville 55283=55274
Lavincourt 55284
Lavoye 55285
Le Bouchon-sur-Saulx 55061
Le Claon 55116
Le Neufour 55379
Lemmes 55286
Lempire-aux-Bois 55287=55276
Lérouville 55288
Les Éparges 55172
Les Hauts-de-Chée 55123
Les Islettes 55253
Les Marats 55318=55123
Les Monthairons 55347
Les Paroches 55401
Les Roises 55436
Les Souhesmes-Rampont 55497
Les Trois-Domaines 55254
Levoncourt 55289
Lignières-sur-Aire 55290
Ligny-en-Barrois 55291
Liny-devant-Dun 55292
Lion-devant-Dun 55293
Liouville 55294=55012
Lisle-en-Barrois 55295
Lisle-en-Rigault 55296
Lissey 55297
Loisey-Culey 55298
Loison 55299
Longchamps-sur-Aire 55301
Longeaux 55300
Longeville-en-Barrois 55302
Loupmont 55303
Louppy-le-Château 55304
Louppy-sur-Chée 55305=55123
Louppy-sur-Loison 55306
Louvemont-Côte-du-Poivre 55307
Loxéville 55308=55179
Luméville-en-Ornois 55309=55215
Luzy-Saint-Martin 55310
Maizeray 55311
Maizey 55312
Malancourt 55313
