<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Allonnes 49002
Ambillou-Château 49003
Andard 49004
Andigné 49005
Andrezé 49006
Angers 49007
Angrie 49008
Antoigné 49009
Armaillé 49010
Artannes-sur-Thouet 49011
Aubigné-sur-Layon 49012
Auverse 49013
Aviré 49014
Avrillé 49015
Bagneux 49016=49328
Baracé 49017
Baugé 49018
Bauné 49019
Beaucouzé 49020
Beaufort-en-Vallée 49021
Beaulieu-sur-Layon 49022
Beaupréau 49023
Beausse 49024
Beauvau 49025
Bécon-les-Granits 49026
Bégrolles-en-Mauges 49027
Béhuard 49028
Blaison-Gohier 49029
Blou 49030
Bocé 49031
Botz-en-Mauges 49034
Bouchemaine 49035
Bouillé-Ménard 49036
Bourg-l'Évêque 49038
Bourgneuf-en-Mauges 49039
Bouzillé 49040
Brain-sur-Allonnes 49041
Brain-sur-l'Authion 49042
Brain-sur-Longuenée 49043
Breil 49044
Brézé 49046
Brigné 49047
Briollay 49048
Brion 49049
Brissac-Quincé 49050
Brissarthe 49051
Broc 49052
Brossay 49053
Candé 49054
Cantenay-Épinard 49055
Carbay 49056
Cernusson 49057
Chacé 49060
Challain-la-Potherie 49061
Chalonnes-sous-le-Lude 49062
Chalonnes-sur-Loire 49063
Chambellay 49064
Champ-sur-Layon 49066
Champigné 49065
Champteussé-sur-Baconne 49067
Champtocé-sur-Loire 49068
Champtoceaux 49069
Chanteloup-les-Bois 49070
Chanzeaux 49071
Charcé-Saint-Ellier-sur-Aubance 49078
Chartrené 49079
Châteauneuf-sur-Sarthe 49080
Châtelais 49081
Chaudefonds-sur-Layon 49082
Chaudron-en-Mauges 49083
Chaumont-d'Anjou 49084
Chavagnes 49086
Chavaignes 49087
Chazé-Henry 49088
Chazé-sur-Argos 49089
Cheffes 49090
Chemellier 49091
Chemillé 49092
Chemiré-sur-Sarthe 49093
Chênehutte-Trèves-Cunault 49094
Chenillé-Changé 49095
Cherré 49096
Cheviré-le-Rouge 49097
Chigné 49098
Cholet 49099
Cizay-la-Madeleine 49100
Clefs 49101
Cléré-sur-Layon 49102
Combrée 49103
Concourson-sur-Layon 49104
Contigné 49105
Corné 49106
Cornillé-les-Caves 49107
Coron 49109
Corzé 49110
Cossé-d'Anjou 49111
Courchamps 49113
Courléon 49114
Coutures 49115
Cuon 49116
Dampierre-sur-Loire 49118=49328
Daumeray 49119
Denée 49120
