<!-- THIS FILE MUST BE SAVED IN UTF-8 ENCODING (or some special characters will be lost) -->
<!-- @version $Id$ -->
<!-- @see http://www.insee.fr/fr/nom_def_met/nomenclatures/cog/donnees/france_txt.zip -->
Agonnay 17001=17397
Agudelle 17002
Aigrefeuille-d'Aunis 17003
Allas-Bocage 17005
Allas-Champagne 17006
Anais 17007
Andilly 17008
Angliers 17009
Angoulins 17010
Annepont 17011
Annezay 17012
Antezant-la-Chapelle 17013
Antignac 17014=17332
Arces 17015
Archiac 17016
Archingeay 17017
Ardillières 17018
Ars-en-Ré 17019
Arthenac 17020
Arvert 17021
Asnières-la-Giraud 17022
Aujac 17023
Aulnay 17024
Aumagne 17025
Authon-Ébéon 17026
Avy 17027
Aytré 17028
Bagnizeau 17029
Balanzac 17030
Ballans 17031
Ballon 17032
Barzan 17034
Bazauges 17035
Beaugeay 17036
Beauvais-sur-Matha 17037
Bedenac 17038
Belluire 17039
Benon 17041
Bercloux 17042
Bernay-Saint-Martin 17043
Berneuil 17044
Beurlay 17045
Bignay 17046
Biron 17047
Blanzac-lès-Matha 17048
Blanzay-sur-Boutonne 17049
Bois 17050
Boisredon 17052
Bords 17053
Boresse-et-Martron 17054
Boscamnant 17055
Bougneau 17056
Bouhet 17057
Bourcefranc-le-Chapus 17058
Bourgneuf 17059
Boutenac-Touvent 17060
Bran 17061
Bresdon 17062
Breuil-la-Réorte 17063
Breuil-Magné 17065
Breuillet 17064
Brie-sous-Archiac 17066
Brie-sous-Matha 17067
Brie-sous-Mortagne 17068
Brives-sur-Charente 17069
Brizambourg 17070
Burie 17072
Bussac-Forêt 17074
Bussac-sur-Charente 17073
Cabariot 17075
Celles 17076
Cercoux 17077
Chadenac 17078
Chaillevette 17079
Chambon 17080
Chamouillac 17081
Champagnac 17082
Champagne 17083
Champagnolles 17084
Champdolent 17085
Chaniers 17086
Chantemerle-sur-la-Soie 17087
Chardes 17090=17240
Charron 17091
Chartuzac 17092
Châtelaillon-Plage 17094
Chatenet 17095
Chaunac 17096
Chenac-Saint-Seurin-d'Uzet 17098
Chepniers 17099
Chérac 17100
Cherbonnières 17101
Chermignac 17102
Chervettes 17103
Chevanceaux 17104
Chives 17105
Cierzac 17106
Ciré-d'Aunis 17107
Clam 17108
Clavette 17109
Clérac 17110
Clion 17111
Coivert 17114
Colombiers 17115
Consac 17116
Contré 17117
Corignac 17118
Corme-Écluse 17119
Corme-Royal 17120
Coulonge-sur-Charente 17123=17397
Coulonges 17122
Courant 17124
Courcelles 17125
Courcerac 17126
Courçon 17127
Courcoury 17128
Courpignac 17129
Coux 17130
Cozes 17131
Cramchaban 17132
Cravans 17133
Crazannes 17134
Cressé 17135
Croix-Chapeau 17136
Dampierre-sur-Boutonne 17138
Dolus-d'Oléron 17140
Dompierre-sur-Charente 17141
Dompierre-sur-Mer 17142
Doeuil-sur-le-Mignon 17139
Ébéon 17144=17026
Échebrune 17145
Échillais 17146
Écoyeux 17147
Écurat 17148
Épargnes 17152
Esnandes 17153
Étaules 17155
Expiremont 17156
Fenioux 17157
Ferrières 17158
Fléac-sur-Seugne 17159
Floirac 17160
Fontaine-Chalendray 17162
Fontaines-d'Ozillac 17163
Fontcouverte 17164
Fontenet 17165
Forges 17166
Fouras 17168
Geay 17171
Gémozac 17172
Genouillé 17174
Germignac 17175
Gibourne 17176
Givrezac 17178
Gourvillette 17180
Grandjean 17181
Grézac 17183
Guitinières 17187
Haimps 17188
Hiers-Brouage 17189
Île-d'Aix 17004
Jarnac-Champagne 17192
Jazennes 17196
Jonzac 17197
Juicq 17198
Jussas 17199
L'Éguille 17151
L'Houmeau 17190
La Barde 17033
La Benâte 17040
La Brée-les-Bains 17486
La Brousse 17071
La Chapelle-Bâton 17088=17013
La Chapelle-des-Pots 17089
La Clisse 17112
La Clotte 17113
La Couarde-sur-Mer 17121
La Croix-Comtesse 17137
La Flotte 17161
La Frédière 17169
La Garde 17170=17243
La Genétouze 17173
La Grève-sur-Mignon 17182
La Gripperie-Saint-Symphorien 17184
La Jard 17191
La Jarne 17193
La Jarrie 17194
La Jarrie-Audouin 17195
La Laigne 17201
La Rochelle 17300
La Ronde 17303
La Tremblade 17452
La Vallée 17455
La Vergne 17465
La Villedieu 17471
Lagord 17200
Landes 17202
